#wvl [um]      Flux [erg/s/cm]
11             12308.2738        
10.99697583    12312.6411        
10.99395333    12317.0079        
10.99093248    12321.3743        
10.9879133     12325.7403        
10.98489577    12330.1059        
10.9818799     12334.4711        
10.97886568    12338.8359        
10.97585312    12343.2002        
10.97284222    12347.5641        
10.96983296    12351.9276        
10.96682535    12356.2907        
10.9638194     12360.6534        
10.96081509    12365.0156        
10.95781242    12369.3775        
10.9548114     12373.7389        
10.95181203    12378.0999        
10.94881429    12382.4604        
10.9458182     12386.8206        
10.94282375    12391.1803        
10.93983093    12395.5396        
10.93683975    12399.8984        
10.93385021    12404.2569        
10.9308623     12408.6149        
10.92787602    12412.9725        
10.92489137    12417.3296        
10.92190836    12421.6864        
10.91892697    12426.0427        
10.91594721    12430.3986        
10.91296907    12434.754         
10.90999256    12439.109         
10.90701767    12443.4636        
10.90404441    12447.8178        
10.90107276    12452.1715        
10.89810274    12456.5248        
10.89513433    12460.8777        
10.89216754    12465.2301        
10.88920237    12469.5821        
10.8862388     12473.9337        
10.88327686    12478.2848        
10.88031652    12482.6355        
10.87735779    12486.9858        
10.87440067    12491.3356        
10.87144516    12495.685         
10.86849126    12500.034         
10.86553896    12504.3825        
10.86258826    12508.7306        
10.85963916    12513.0783        
10.85669167    12517.4255        
10.85374578    12521.7723        
10.85080148    12526.1186        
10.84785878    12530.4645        
10.84491768    12534.81          
10.84197817    12539.155         
10.83904025    12543.4996        
10.83610393    12547.8437        
10.83316919    12552.1874        
10.83023605    12556.5306        
10.82730449    12560.8734        
10.82437452    12565.2158        
10.82144614    12569.5577        
10.81851934    12573.8992        
10.81559412    12578.2402        
10.81267048    12582.5808        
10.80974843    12586.9209        
10.80682795    12591.2606        
10.80390905    12595.5999        
10.80099173    12599.9387        
10.79807598    12604.277         
10.7951618     12608.6149        
10.7922492     12612.9524        
10.78933817    12617.2894        
10.78642871    12621.6259        
10.78352082    12625.962         
10.7806145     12630.2977        
10.77770974    12634.6329        
10.77480654    12638.9676        
10.77190491    12643.3019        
10.76900485    12647.6358        
10.76610634    12651.9692        
10.76320939    12656.3021        
10.76031401    12660.6346        
10.75742018    12664.9666        
10.7545279     12669.2982        
10.75163718    12673.6293        
10.74874802    12677.9599        
10.7458604     12682.2901        
10.74297434    12686.6199        
10.74008983    12690.9492        
10.73720686    12695.278         
10.73432545    12699.6064        
10.73144557    12703.9343        
10.72856725    12708.2617        
10.72569047    12712.5887        
10.72281523    12716.9153        
10.71994153    12721.2413        
10.71706937    12725.5669        
10.71419875    12729.8921        
10.71132967    12734.2167        
10.70846212    12738.541         
10.70559611    12742.8647        
10.70273163    12747.188         
10.69986868    12751.5108        
10.69700727    12755.8332        
10.69414738    12760.1551        
10.69128903    12764.4765        
10.6884322     12768.7975        
10.6855769     12773.118         
10.68272312    12777.438         
10.67987087    12781.7576        
10.67702014    12786.0766        
10.67417093    12790.3953        
10.67132324    12794.7134        
10.66847707    12799.0311        
10.66563242    12803.3483        
10.66278929    12807.665         
10.65994767    12811.9813        
10.65710756    12816.2971        
10.65426897    12820.6124        
10.65143189    12824.9273        
10.64859632    12829.2417        
10.64576226    12833.5556        
10.64292971    12837.869         
10.64009866    12842.182         
10.63726912    12846.4944        
10.63444109    12850.8064        
10.63161456    12855.118         
10.62878953    12859.429         
10.625966      12863.7396        
10.62314397    12868.0497        
10.62032344    12872.3593        
10.6175044     12876.6684        
10.61468687    12880.9771        
10.61187082    12885.2853        
10.60905628    12889.593         
10.60624322    12893.9002        
10.60343166    12898.2069        
10.60062158    12902.5132        
10.597813      12906.819         
10.5950059     12911.1243        
10.59220029    12915.4291        
10.58939616    12919.7334        
10.58659352    12924.0372        
10.58379237    12928.3406        
10.58099269    12932.6435        
10.57819449    12936.9458        
10.57539778    12941.2477        
10.57260254    12945.5492        
10.56980878    12949.8501        
10.5670165     12954.1505        
10.56422569    12958.4505        
10.56143636    12962.7499        
10.55864849    12967.0489        
10.5558621     12971.3474        
10.55307718    12975.6454        
10.55029373    12979.9429        
10.54751175    12984.2399        
10.54473123    12988.5365        
10.54195218    12992.8325        
10.53917459    12997.128         
10.53639847    13001.4231        
10.53362381    13005.7176        
10.53085061    13010.0117        
10.52807886    13014.3053        
10.52530858    13018.5983        
10.52253976    13022.8909        
10.51977239    13027.183         
10.51700648    13031.4746        
10.51424202    13035.7657        
10.51147901    13040.0563        
10.50871746    13044.3464        
10.50595736    13048.636         
10.5031987     13052.9251        
10.5004415     13057.2137        
10.49768574    13061.5018        
10.49493143    13065.7894        
10.49217856    13070.0765        
10.48942713    13074.3631        
10.48667715    13078.6492        
10.48392861    13082.9348        
10.48118152    13087.2199        
10.47843586    13091.5045        
10.47569163    13095.7886        
10.47294885    13100.0722        
10.4702075     13104.3553        
10.46746759    13108.6379        
10.46472911    13112.92          
10.46199206    13117.2016        
10.45925644    13121.4826        
10.45652226    13125.7632        
10.4537895     13130.0433        
10.45105817    13134.3228        
10.44832827    13138.6018        
10.44559979    13142.8804        
10.44287274    13147.1584        
10.44014711    13151.4359        
10.43742291    13155.7129        
10.43470012    13159.9894        
10.43197876    13164.2654        
10.42925881    13168.5409        
10.42654028    13172.8159        
10.42382317    13177.0903        
10.42110748    13181.3643        
10.4183932     13185.6377        
10.41568033    13189.9106        
10.41296888    13194.183         
10.41025884    13198.4549        
10.4075502     13202.7263        
10.40484298    13206.9972        
10.40213717    13211.2675        
10.39943276    13215.5373        
10.39672976    13219.8067        
10.39402816    13224.0755        
10.39132796    13228.3437        
10.38862917    13232.6115        
10.38593178    13236.8787        
10.38323579    13241.1455        
10.3805412     13245.4117        
10.37784801    13249.6774        
10.37515622    13253.9425        
10.37246582    13258.2072        
10.36977681    13262.4713        
10.3670892     13266.7349        
10.36440299    13270.998         
10.36171816    13275.2606        
10.35903473    13279.5226        
10.35635268    13283.7841        
10.35367202    13288.0451        
10.35099275    13292.3056        
10.34831487    13296.5655        
10.34563837    13300.825         
10.34296326    13305.0839        
10.34028953    13309.3422        
10.33761718    13313.6001        
10.33494621    13317.8574        
10.33227662    13322.1142        
10.32960841    13326.3704        
10.32694158    13330.6262        
10.32427613    13334.8814        
10.32161205    13339.1361        
10.31894934    13343.3902        
10.31628801    13347.6438        
10.31362805    13351.8969        
10.31096947    13356.1495        
10.30831225    13360.4015        
10.3056564     13364.653         
10.30300192    13368.904         
10.30034881    13373.1544        
10.29769706    13377.4043        
10.29504668    13381.6537        
10.29239766    13385.9025        
10.28975001    13390.1508        
10.28710371    13394.3985        
10.28445878    13398.6458        
10.28181521    13402.8925        
10.27917299    13407.1386        
10.27653214    13411.3842        
10.27389264    13415.6293        
10.27125449    13419.8739        
10.2686177     13424.1179        
10.26598227    13428.3613        
10.26334818    13432.6043        
10.26071545    13436.8466        
10.25808407    13441.0885        
10.25545404    13445.3298        
10.25282535    13449.5706        
10.25019802    13453.8108        
10.24757202    13458.0505        
10.24494738    13462.2896        
10.24232408    13466.5282        
10.23970212    13470.7663        
10.2370815     13475.0038        
10.23446223    13479.2408        
10.23184429    13483.4772        
10.22922769    13487.7131        
10.22661243    13491.9484        
10.22399851    13496.1832        
10.22138593    13500.4175        
10.21877468    13504.6512        
10.21616476    13508.8843        
10.21355617    13513.1169        
10.21094892    13517.349         
10.208343      13521.5805        
10.20573841    13525.8115        
10.20313515    13530.0419        
10.20053321    13534.2718        
10.1979326     13538.5011        
10.19533332    13542.7298        
10.19273536    13546.958         
10.19013872    13551.1857        
10.18754341    13555.4128        
10.18494942    13559.6394        
10.18235675    13563.8654        
10.1797654     13568.0908        
10.17717537    13572.3157        
10.17458666    13576.5401        
10.17199926    13580.7639        
10.16941318    13584.9871        
10.16682841    13589.2098        
10.16424496    13593.4319        
10.16166282    13597.6535        
10.15908199    13601.8745        
10.15650247    13606.095         
10.15392426    13610.3149        
10.15134736    13614.5342        
10.14877177    13618.753         
10.14619748    13622.9712        
10.1436245     13627.1889        
10.14105283    13631.406         
10.13848245    13635.6226        
10.13591338    13639.8385        
10.13334562    13644.054         
10.13077915    13648.2688        
10.12821398    13652.4831        
10.12565011    13656.6969        
10.12308754    13660.9101        
10.12052627    13665.1227        
10.11796629    13669.3347        
10.1154076     13673.5462        
10.11285021    13677.7572        
10.11029412    13681.9675        
10.10773931    13686.1773        
10.1051858     13690.3865        
10.10263357    13694.5952        
10.10008264    13698.8033        
10.09753299    13703.0108        
10.09498463    13707.2178        
10.09243755    13711.4242        
10.08989176    13715.63          
10.08734726    13719.8353        
10.08480403    13724.04          
10.08226209    13728.2441        
10.07972143    13732.4477        
10.07718205    13736.6506        
10.07464395    13740.8531        
10.07210713    13745.0549        
10.06957159    13749.2562        
10.06703732    13753.4569        
10.06450432    13757.657         
10.0619726     13761.8565        
10.05944216    13766.0555        
10.05691298    13770.2539        
10.05438508    13774.4518        
10.05185845    13778.649         
