#wvl [um]        modulation
11               0.0239924004      
10.9969758       0.0241265986      
10.9939533       0.0242116469      
10.9909325       0.0241184888      
10.9879133       0.0246050235      
10.9848958       0.0240826983      
10.9818799       0.0240406483      
10.9788657       0.0240523425      
10.9758531       0.0242456136      
10.9728422       0.0239906601      
10.969833        0.0244309183      
10.9668254       0.0239831539      
10.9638194       0.0240989266      
10.9608151       0.0240659526      
10.9578124       0.0239871549      
10.9548114       0.0240155452      
10.951812        0.0242595277      
10.9488143       0.0240174617      
10.9458182       0.0240666853      
10.9428237       0.0243137691      
10.9398309       0.0241097578      
10.9368398       0.0240000586      
10.9338502       0.0246340194      
10.9308623       0.0242766498      
10.927876        0.0240464354      
10.9248914       0.024034834       
10.9219084       0.0239922825      
10.918927        0.0240076115      
10.9159472       0.0241210806      
10.9129691       0.0243939563      
10.9099926       0.0240214876      
10.9070177       0.024211284       
10.9040444       0.0240056042      
10.9010728       0.0240943181      
10.8981027       0.0240081121      
10.8951343       0.0240149086      
10.8921675       0.0240285062      
10.8892024       0.0241141198      
10.8862388       0.0241451524      
10.8832769       0.0244901686      
10.8803165       0.0240469253      
10.8773578       0.024036242       
10.8744007       0.0240024778      
10.8714452       0.0242059072      
10.8684913       0.0240482554      
10.865539        0.0240339396      
10.8625883       0.0239970595      
10.8596392       0.0239940281      
10.8566917       0.0241956718      
10.8537458       0.0240093773      
10.8508015       0.0240781307      
10.8478588       0.024121708       
10.8449177       0.024170039       
10.8419782       0.0239927615      
10.8390403       0.0240273877      
10.8361039       0.0241640468      
10.8331692       0.0241419139      
10.830236        0.0240954116      
10.8273045       0.0241133042      
10.8243745       0.0239923182      
10.8214461       0.0240522169      
10.8185193       0.0239990226      
10.8155941       0.024029656       
10.8126705       0.0240209495      
10.8097484       0.0239991502      
10.806828        0.0240124052      
10.8039091       0.0244685257      
10.8009917       0.024162115       
10.798076        0.0240785266      
10.7951618       0.0239924142      
10.7922492       0.02424193        
10.7893382       0.0241832695      
10.7864287       0.0239990402      
10.7835208       0.0241414063      
10.7806145       0.0243411708      
10.7777097       0.0240901104      
10.7748065       0.0240391149      
10.7719049       0.0240706154      
10.7690048       0.0241104432      
