#wvl [um]      Flux [erg/s/cm]
10             13865.2893        
9.9990001      13866.9633        
9.9980004      13868.6372        
9.9970009      13870.311         
9.996001599    13871.9847        
9.995002499    13873.6583        
9.994003598    13875.3318        
9.993004897    13877.0053        
9.992006395    13878.6786        
9.991008093    13880.3518        
9.99000999     13882.025         
9.989012087    13883.698         
9.988014383    13885.371         
9.987016878    13887.0438        
9.986019573    13888.7166        
9.985022466    13890.3893        
9.984025559    13892.0619        
9.983028851    13893.7344        
9.982032342    13895.4067        
9.981036032    13897.079         
9.98003992     13898.7513        
9.979044008    13900.4234        
9.978048294    13902.0954        
9.977052779    13903.7673        
9.976057462    13905.4391        
9.975062344    13907.1109        
9.974067425    13908.7825        
9.973072704    13910.4541        
9.972078181    13912.1255        
9.971083857    13913.7969        
9.970089731    13915.4681        
9.969095803    13917.1393        
9.968102073    13918.8104        
9.967108542    13920.4814        
9.966115208    13922.1523        
9.965122073    13923.8231        
9.964129135    13925.4938        
9.963136395    13927.1644        
9.962143853    13928.8349        
9.961151509    13930.5053        
9.960159363    13932.1756        
9.959167414    13933.8459        
9.958175662    13935.516         
9.957184108    13937.186         
9.956192752    13938.856         
9.955201593    13940.5258        
9.954210631    13942.1956        
9.953219867    13943.8652        
9.952229299    13945.5348        
9.951238929    13947.2043        
9.950248756    13948.8737        
9.94925878     13950.5429        
9.948269001    13952.2121        
9.947279419    13953.8812        
9.946290034    13955.5502        
9.945300845    13957.2191        
9.944311854    13958.8879        
9.943323059    13960.5566        
9.94233446     13962.2253        
9.941346058    13963.8938        
9.940357853    13965.5622        
9.939369844    13967.2305        
9.938382031    13968.8988        
9.937394415    13970.5669        
9.936406995    13972.235         
9.935419771    13973.9029        
9.934432744    13975.5708        
9.933445912    13977.2386        
9.932459277    13978.9062        
9.931472837    13980.5738        
9.930486594    13982.2413        
9.929500546    13983.9087        
9.928514694    13985.5759        
9.927529038    13987.2431        
9.926543578    13988.9102        
9.925558313    13990.5772        
9.924573243    13992.2441        
9.92358837     13993.911         
9.922603691    13995.5777        
9.921619208    13997.2443        
9.920634921    13998.9108        
9.919650828    14000.5772        
9.918666931    14002.2436        
9.917683229    14003.9098        
9.916699722    14005.576         
9.915716411    14007.242         
9.914733294    14008.908         
9.913750372    14010.5738        
9.912767645    14012.2396        
9.911785112    14013.9052        
9.910802775    14015.5708        
9.909820632    14017.2363        
9.908838684    14018.9016        
9.907856931    14020.5669        
9.906875372    14022.2321        
9.905894007    14023.8972        
9.904912837    14025.5622        
9.903931861    14027.2271        
9.902951079    14028.8919        
9.901970492    14030.5566        
9.900990099    14032.2212        
9.9000099      14033.8857        
9.899029895    14035.5501        
9.898050084    14037.2145        
9.897070467    14038.8787        
9.896091044    14040.5428        
9.895111815    14042.2068        
9.894132779    14043.8708        
9.893153937    14045.5346        
9.892175289    14047.1984        
9.891196835    14048.862         
9.890218574    14050.5256        
9.889240506    14052.189         
9.888262632    14053.8524        
9.887284952    14055.5156        
9.886307464    14057.1788        
9.88533017     14058.8419        
9.884353069    14060.5049        
9.883376161    14062.1677        
9.882399447    14063.8305        
9.881422925    14065.4932        
9.880446596    14067.1558        
9.87947046     14068.8183        
9.878494517    14070.4807        
9.877518767    14072.143         
9.87654321     14073.8052        
9.875567845    14075.4673        
9.874592673    14077.1293        
9.873617694    14078.7912        
9.872642907    14080.453         
9.871668312    14082.1147        
9.87069391     14083.7763        
9.8697197      14085.4379        
9.868745682    14087.0993        
9.867771857    14088.7606        
9.866798224    14090.4219        
9.865824783    14092.083         
9.864851534    14093.744         
9.863878477    14095.405         
9.862905612    14097.0658        
9.861932939    14098.7266        
9.860960458    14100.3872        
9.859988168    14102.0478        
9.85901607     14103.7082        
9.858044164    14105.3686        
9.857072449    14107.0288        
9.856100926    14108.689         
9.855129595    14110.3491        
9.854158455    14112.009         
9.853187506    14113.6689        
9.852216749    14115.3287        
9.851246183    14116.9884        
9.850275808    14118.648         
9.849305624    14120.3074        
9.848335631    14121.9668        
9.84736583     14123.6261        
9.846396219    14125.2853        
9.845426799    14126.9444        
9.84445757     14128.6034        
9.843488532    14130.2623        
9.842519685    14131.9211        
9.841551028    14133.5798        
9.840582562    14135.2384        
9.839614287    14136.8969        
9.838646202    14138.5553        
9.837678308    14140.2136        
9.836710604    14141.8719        
9.83574309     14143.53          
9.834775767    14145.188         
9.833808634    14146.8459        
9.832841691    14148.5037        
9.831874939    14150.1615        
9.830908376    14151.8191        
9.829942003    14153.4766        
9.828975821    14155.1341        
9.828009828    14156.7914        
9.827044025    14158.4486        
9.826078412    14160.1058        
9.825112989    14161.7628        
9.824147755    14163.4197        
9.823182711    14165.0766        
9.822217857    14166.7333        
9.821253192    14168.39          
9.820288716    14170.0465        
9.81932443     14171.703         
9.818360334    14173.3593        
9.817396426    14175.0156        
9.816432708    14176.6718        
9.815469179    14178.3278        
9.81450584     14179.9838        
9.813542689    14181.6396        
9.812579727    14183.2954        
9.811616954    14184.9511        
9.810654371    14186.6066        
9.809691976    14188.2621        
9.808729769    14189.9175        
9.807767752    14191.5727        
9.806805923    14193.2279        
9.805844283    14194.883         
9.804882832    14196.538         
9.803921569    14198.1928        
9.802960494    14199.8476        
9.801999608    14201.5023        
9.80103891     14203.1569        
9.800078401    14204.8114        
9.799118079    14206.4658        
9.798157946    14208.12          
9.797198001    14209.7742        
9.796238245    14211.4283        
9.795278676    14213.0823        
9.794319295    14214.7362        
9.793360102    14216.39          
9.792401097    14218.0437        
9.791442279    14219.6973        
9.79048365     14221.3508        
9.789525208    14223.0042        
9.788566954    14224.6575        
9.787608887    14226.3107        
9.786651008    14227.9637        
9.785693316    14229.6167        
9.784735812    14231.2696        
9.783778495    14232.9224        
9.782821366    14234.5752        
9.781864423    14236.2278        
9.780907668    14237.8803        
9.7799511      14239.5327        
9.778994719    14241.185         
9.778038525    14242.8372        
9.777082519    14244.4893        
9.776126699    14246.1413        
9.775171065    14247.7932        
9.774215619    14249.445         
9.77326036     14251.0967        
9.772305287    14252.7483        
9.771350401    14254.3998        
9.770395701    14256.0512        
9.769441188    14257.7025        
9.768486861    14259.3538        
9.767532721    14261.0049        
9.766578767    14262.6559        
9.765625       14264.3068        
9.764671419    14265.9576        
9.763718024    14267.6083        
9.762764815    14269.2589        
9.761811792    14270.9095        
9.760858956    14272.5599        
9.759906305    14274.2102        
9.75895384     14275.8604        
9.758001561    14277.5105        
9.757049468    14279.1605        
9.756097561    14280.8104        
9.755145839    14282.4603        
9.754194304    14284.11          
9.753242953    14285.7596        
9.752291789    14287.4091        
9.751340809    14289.0585        
9.750390016    14290.7078        
9.749439407    14292.357         
9.748488984    14294.0062        
9.747538746    14295.6552        
9.746588694    14297.3041        
9.745638827    14298.9529        
9.744689144    14300.6016        
9.743739647    14302.2502        
9.742790335    14303.8987        
9.741841208    14305.5472        
9.740892266    14307.1955        
9.739943508    14308.8437        
9.738994936    14310.4918        
9.738046548    14312.1398        
9.737098345    14313.7877        
9.736150326    14315.4355        
9.735202492    14317.0832        
9.734254843    14318.7309        
9.733307378    14320.3784        
9.732360097    14322.0258        
9.731413001    14323.6731        
9.730466089    14325.3203        
9.729519362    14326.9674        
9.728572818    14328.6144        
9.727626459    14330.2613        
9.726680284    14331.9081        
9.725734293    14333.5548        
9.724788486    14335.2014        
9.723842863    14336.8479        
9.722897423    14338.4943        
9.721952168    14340.1406        
9.721007096    14341.7869        
9.720062208    14343.433         
9.719117504    14345.079         
9.718172983    14346.7249        
9.717228646    14348.3707        
