#wvl [um]        modulation
10               0.0242086629      
9.9990001        0.0240812431      
9.9980004        0.0244105419      
9.9970009        0.0241815668      
9.9960016        0.0241912869      
9.9950025        0.0240945731      
9.9940036        0.0240157182      
9.9930049        0.0240493577      
9.99200639       0.024333925       
9.99100809       0.0241660385      
9.99000999       0.0240278585      
9.98901209       0.0241631007      
9.98801438       0.0240147148      
9.98701688       0.0241608996      
9.98601957       0.0240252062      
9.98502247       0.0240345162      
9.98402556       0.0240711423      
9.98302885       0.0240626487      
9.98203234       0.0242244513      
9.98103603       0.0241343523      
9.98003992       0.0240357945      
9.97904401       0.024035573       
9.97804829       0.0241476037      
9.97705278       0.0242016725      
9.97605746       0.024050094       
9.97506234       0.0240824471      
9.97406742       0.0240691024      
9.9730727        0.0240230118      
9.97207818       0.0240889026      
9.97108386       0.0240442865      
9.97008973       0.0243869884      
9.9690958        0.0240047971      
9.96810207       0.024018232       
9.96710854       0.0240494902      
9.96611521       0.0241082306      
9.96512207       0.0240574857      
9.96412914       0.0242991079      
9.9631364        0.0243877613      
9.96214385       0.0240508122      
9.96115151       0.0240664566      
9.96015936       0.0240539434      
9.95916741       0.024140681       
9.95817566       0.0240407013      
9.95718411       0.0240376938      
9.95619275       0.0241302506      
9.95520159       0.0241005657      
9.95421063       0.0240314348      
9.95321987       0.0240732916      
9.9522293        0.0240339453      
9.95123893       0.0240937385      
9.95024876       0.0242643448      
9.94925878       0.0240094968      
9.948269         0.0240776325      
9.94727942       0.0240318367      
9.94629003       0.0241297141      
9.94530085       0.024058275       
9.94431185       0.0240242593      
9.94332306       0.0245140669      
9.94233446       0.0240917362      
9.94134606       0.0240168904      
9.94035785       0.0240933399      
9.93936984       0.0240829515      
9.93838203       0.0240771778      
9.93739442       0.0240168844      
9.936407         0.0242523356      
9.93541977       0.0241463992      
9.93443274       0.0240037247      
9.93344591       0.0241028747      
9.93245928       0.0241777147      
9.93147284       0.0240529241      
9.93048659       0.0241521423      
9.92950055       0.0240965465      
9.92851469       0.0243064892      
9.92752904       0.0240209264      
9.92654358       0.0240840675      
9.92555831       0.0240875895      
9.92457324       0.0241075926      
9.92358837       0.0240324651      
9.92260369       0.0240862007      
9.92161921       0.0241112853      
9.92063492       0.0240523331      
9.91965083       0.0241079488      
9.91866693       0.0240464423      
9.91768323       0.0243423766      
9.91669972       0.024029722       
9.91571641       0.0240364764      
9.91473329       0.0242221546      
9.91375037       0.0240963704      
9.91276764       0.0241720193      
9.91178511       0.0241565908      
9.91080278       0.0240483061      
9.90982063       0.0240496193      
9.90883868       0.0241042083      
9.90785693       0.0244210716      
9.90687537       0.0240082034      
9.90589401       0.0243127637      
9.90491284       0.0242704451      
9.90393186       0.0240382995      
9.90295108       0.024022034       
9.90197049       0.0241260368      
9.9009901        0.0241085364      
9.9000099        0.0243348643      
9.8990299        0.0243109984      
9.89805008       0.0246190552      
9.89707047       0.0241257738      
9.89609104       0.0244063016      
9.89511181       0.0242778228      
9.89413278       0.0243373696      
9.89315394       0.02428699        
9.89217529       0.0242836519      
9.89119683       0.0241085455      
9.89021857       0.0240251897      
9.88924051       0.0246538511      
9.88826263       0.0241334999      
9.88728495       0.0243863535      
9.88630746       0.0240832412      
9.88533017       0.0243196491      
9.88435307       0.0240563567      
9.88337616       0.0240563943      
9.88239945       0.0240675759      
9.88142292       0.0243655201      
9.8804466        0.024040659       
9.87947046       0.0242710482      
9.87849452       0.0241348931      
9.87751877       0.0240871785      
9.87654321       0.0245355626      
9.87556785       0.0240907933      
9.87459267       0.024104262       
9.87361769       0.0240392143      
9.87264291       0.0240499001      
9.87166831       0.0241446356      
9.87069391       0.0242807806      
9.8697197        0.0243995154      
9.86874568       0.0241497898      
9.86777186       0.0241624327      
9.86679822       0.0240289819      
9.86582478       0.0241319762      
9.86485153       0.0243108391      
9.86387848       0.0240461074      
9.86290561       0.0240351255      
9.86193294       0.0241121888      
9.86096046       0.0240387338      
9.85998817       0.0240882021      
9.85901607       0.0240814887      
