#wvl [um]      Flux [erg/s/cm]
11             15701.3082        
10.99697583    12749.63          
10.99395333    11189.1326        
10.99093248    12189.1457        
10.9879133     8801.5751         
10.98489577    13113.3812        
10.9818799     13780.0645        
10.97886568    13832.9195        
10.97585312    11520.8529        
10.97284222    13829.5078        
10.96983296    11864.257         
10.96682535    15670.2245        
10.9638194     13552.084         
10.96081509    13747.4892        
10.95781242    15404.6482        
10.9548114     15080.2593        
10.95181203    11394.3034        
10.94881429    15206.8289        
10.9458182     13944.7055        
10.94282375    10133.9965        
10.93983093    13803.4138        
10.93683975    15231.7006        
10.93385021    8778.35477        
10.9308623     13138.7663        
10.92787602    14947.7628        
10.92489137    15215.584         
10.92190836    15496.7515        
10.91892697    15567.4871        
10.91594721    13357.8081        
10.91296907    10389.3099        
10.90999256    15277.6706        
10.90701767    11453.66          
10.90404441    15118.7498        
10.90107276    13489.1251        
10.89810274    14384.133         
10.89513433    13870.1249        
10.89216754    15291.5312        
10.88920237    14486.5721        
10.8862388     13530.2951        
10.88327686    9446.40237        
10.88031652    14679.5495        
10.87735779    14442.5837        
10.87440067    15164.6452        
10.87144516    11612.3627        
10.86849126    14700.2595        
10.86553896    15485.3136        
10.86258826    15948.3908        
10.85963916    16003.1153        
10.85669167    14349.4277        
10.85374578    12568.5188        
10.85080148    14835.3743        
10.84785878    14161.7994        
10.84491768    12004.8248        
10.84197817    15830.1335        
10.83904025    15218.3184        
10.83610393    14767.512         
10.83316919    12507.8054        
10.83023605    14039.3552        
10.82730449    12517.0517        
10.82437452    15875.9783        
10.82144614    13465.2344        
10.81851934    15655.301         
10.81559412    15712.851         
10.81267048    15495.323         
10.80974843    15709.4068        
10.80682795    15939.2706        
10.80390905    10789.8961        
10.80099173    13050.1401        
10.79807598    13758.982         
10.7951618     15988.9943        
10.7922492     14402.2043        
10.78933817    12982.226         
10.78642871    15795.6902        
10.78352082    12764.9979        
10.7806145     12046.3472        
10.77770974    14483.5738        
10.77480654    14952.6682        
10.77190491    15462.4846        
10.76900485    13527.8565        
10.76610634    13141.6352        
10.76320939    11521.1065        
10.76031401    14197.7636        
10.75742018    14314.8821        
10.7545279     14589.0548        
10.75163718    13800.3797        
10.74874802    15105.6816        
10.7458604     14530.5002        
10.74297434    11623.3212        
10.74008983    14569.822         
10.73720686    12718.3583        
10.73432545    13933.1187        
10.73144557    15083.3939        
10.72856725    11255.2162        
10.72569047    13870.0059        
10.72281523    15725.8581        
10.71994153    15884.5815        
10.71706937    13520.9755        
10.71419875    14509.7366        
10.71132967    12683.5749        
10.70846212    13023.812         
10.70559611    13744.3227        
10.70273163    15813.7459        
10.69986868    14729.1542        
10.69700727    13381.6443        
10.69414738    13657.9015        
10.69128903    16226.4206        
10.6884322     12208.0255        
10.6855769     12660.9821        
10.68272312    16055.8171        
10.67987087    14566.7531        
10.67702014    15342.9657        
10.67417093    16317.6677        
10.67132324    11100.6259        
10.66847707    10934.319         
10.66563242    15251.5943        
10.66278929    11962.9913        
10.65994767    12955.8813        
10.65710756    16327.7243        
10.65426897    9465.96955        
10.65143189    15685.0515        
10.64859632    15779.9065        
10.64576226    16076.055         
10.64292971    8854.76305        
10.64009866    14313.2213        
10.63726912    14941.3483        
10.63444109    15007.308         
10.63161456    14333.4407        
10.62878953    15675.599         
10.625966      14693.4915        
10.62314397    15847.4413        
10.62032344    15752.8283        
10.6175044     13959.3108        
10.61468687    10968.0602        
10.61187082    15020.1967        
10.60905628    14090.9194        
10.60624322    15265.2459        
10.60343166    15413.0956        
10.60062158    15738.1653        
10.597813      15487.5295        
10.5950059     8733.9179         
10.59220029    13181.9021        
10.58939616    15289.8552        
10.58659352    15948.0108        
10.58379237    10712.5622        
10.58099269    10557.0696        
10.57819449    14143.1762        
10.57539778    11073.8158        
10.57260254    14535.082         
10.56980878    11433.2708        
10.5670165     12430.9944        
10.56422569    11123.2068        
10.56143636    10600.6841        
10.55864849    13082.1796        
10.5558621     12369.5639        
10.55307718    14264.9142        
10.55029373    12298.1814        
10.54751175    16451.2564        
10.54473123    14397.2818        
10.54195218    15201.8623        
10.53917459    12683.6708        
10.53639847    14484.3029        
10.53362381    11029.4321        
10.53085061    13393.6319        
10.52807886    16184.7198        
10.52530858    16133.7461        
10.52253976    15424.2238        
10.51977239    14740.4586        
10.51700648    16774.3704        
10.51424202    11409.7323        
10.51147901    13730.3535        
10.50871746    14833.2931        
10.50595736    13295.1108        
10.5031987     15885.8988        
10.5004415     15480.6644        
10.49768574    15390.5155        
10.49493143    15825.811         
10.49217856    15166.6109        
10.48942713    11319.7214        
10.48667715    14986.5254        
10.48392861    14361.2963        
10.48118152    14069.7777        
10.47843586    12000.4342        
10.47569163    12949.7987        
10.47294885    13527.9764        
10.4702075     14912.9132        
10.46746759    16439.1994        
10.46472911    12325.6896        
10.46199206    12503.6608        
10.45925644    15976.0937        
10.45652226    14260.7036        
10.4537895     14546.8012        
10.45105817    10490.5658        
10.44832827    12638.1905        
10.44559979    15959.5986        
10.44287274    16054.0141        
10.44014711    9556.77787        
10.43742291    10298.6883        
10.43470012    11574.874         
10.43197876    11740.2008        
10.42925881    8786.24751        
10.42654028    14465.6714        
10.42382317    13933.1416        
10.42110748    15994.2479        
10.4183932     11108.7971        
10.41568033    15305.6866        
10.41296888    14383.3706        
10.41025884    14490.5505        
10.4075502     12812.1123        
10.40484298    9163.54362        
10.40213717    15071.3699        
10.39943276    16919.6351        
10.39672976    15757.9672        
10.39402816    13138.54          
10.39132796    15994.0758        
10.38862917    16313.898         
10.38593178    15527.2075        
10.38323579    15085.7679        
10.3805412     14796.0887        
10.37784801    12326.0011        
10.37515622    14823.5735        
10.37246582    16703.7985        
10.36977681    15353.5576        
10.3670892     10624.2111        
10.36440299    15511.7526        
10.36171816    13754.5758        
10.35903473    12799.2104        
10.35635268    16369.8696        
10.35367202    15606.2           
10.35099275    16029.1382        
10.34831487    16351.0972        
10.34563837    16164.6346        
10.34296326    12674.4153        
10.34028953    16127.6103        
10.33761718    10847.3662        
10.33494621    15381.3445        
10.33227662    15080.0402        
10.32960841    11539.5557        
10.32694158    12615.1258        
10.32427613    16877.3828        
10.32161205    16687.9795        
10.31894934    12022.5497        
10.31628801    16594.056         
10.31362805    17168.1104        
10.31096947    15747.7063        
10.30831225    13447.1379        
10.3056564     13756.0866        
10.30300192    10727.4813        
10.30034881    16758.5031        
10.29769706    16242.9472        
10.29504668    14337.0697        
10.29239766    13623.3161        
10.28975001    16681.6093        
10.28710371    17140.1779        
10.28445878    14178.0587        
10.28181521    13699.826         
10.27917299    16747.7679        
10.27653214    10006.3245        
10.27389264    14735.8791        
10.27125449    15579.9332        
10.2686177     15978.6427        
10.26598227    15226.6643        
10.26334818    16342.975         
10.26071545    13816.2253        
10.25808407    16603.0945        
10.25545404    16488.931         
10.25282535    17305.1756        
10.25019802    17001.2703        
10.24757202    16187.6792        
10.24494738    14954.3978        
10.24232408    15552.394         
10.23970212    15868.3165        
10.2370815     16844.4397        
10.23446223    17393.973         
10.23184429    16300.7105        
10.22922769    16571.775         
10.22661243    9242.28144        
10.22399851    16541.1118        
10.22138593    15560.9207        
10.21877468    16559.2849        
10.21616476    10532.9282        
10.21355617    11356.8015        
10.21094892    16809.9182        
10.208343      17142.9424        
10.20573841    17391.8652        
10.20313515    16090.4568        
10.20053321    14185.3858        
10.1979326     17388.0918        
10.19533332    17373.9193        
10.19273536    11406.4379        
10.19013872    16706.0109        
10.18754341    16228.4836        
10.18494942    17496.1945        
10.18235675    16815.4761        
10.1797654     16335.834         
10.17717537    16348.8065        
10.17458666    11394.8948        
10.17199926    14791.1665        
10.16941318    14824.5791        
10.16682841    17105.4903        
10.16424496    14665.7123        
10.16166282    13920.0297        
10.15908199    17088.3784        
10.15650247    16926.1928        
10.15392426    17321.5244        
10.15134736    17308.7775        
10.14877177    9702.72207        
10.14619748    13291.917         
10.1436245     17383.6607        
10.14105283    16370.2659        
10.13848245    17184.6821        
10.13591338    14455.7482        
10.13334562    16726.2103        
10.13077915    16164.0396        
10.12821398    15873.6897        
10.12565011    16425.0327        
10.12308754    17190.667         
10.12052627    17350.2994        
10.11796629    15495.4358        
10.1154076     16898.4792        
10.11285021    11632.6908        
10.11029412    16194.3889        
10.10773931    16514.8802        
10.1051858     16678.7317        
10.10263357    17575.2556        
10.10008264    14773.3879        
10.09753299    15535.2973        
10.09498463    16030.1166        
10.09243755    14277.3576        
10.08989176    16012.3728        
10.08734726    14976.6862        
10.08480403    16168.6578        
10.08226209    12968.9408        
10.07972143    15293.7496        
10.07718205    15094.7307        
10.07464395    16532.9883        
10.07210713    15422.7092        
10.06957159    14605.1557        
10.06703732    11298.7789        
10.06450432    13481.0508        
10.0619726     16036.5739        
10.05944216    16984.3103        
10.05691298    13233.7542        
10.05438508    16829.3259        
10.05185845    12095.5348        
10.04933309    17094.7765        
10.046809      15961.2932        
10.04428617    17636.1852        
10.04176461    17075.1839        
10.03924432    9228.5419         
10.03672529    17478.5703        
10.03420753    17045.4678        
10.03169102    16475.343         
10.02917578    16013.8083        
10.02666181    13558.9559        
10.02414909    12640.4513        
10.02163763    15019.1672        
10.01912743    16149.307         
10.01661848    12991.0234        
10.01411079    17235.5855        
10.01160436    13516.0741        
10.00909918    17176.6187        
10.00659526    15341.8189        
10.00409258    17973.1493        
10.00159116    15659.0995        
9.999090992    16308.2845        
9.996592071    13713.3544        
9.994094399    17705.4865        
9.991597974    14276.7687        
9.989102797    13884.6033        
9.986608865    17092.8359        
9.984116179    16909.7778        
9.981624736    16250.864         
9.979134537    16879.932         
9.97664558     17793.7242        
9.974157864    17503.2934        
9.971671388    13844.4339        
9.969186152    17849.5448        
9.966702154    16021.1439        
9.964219394    14590.6326        
9.96173787     16301.546         
9.959257583    13721.7955        
9.95677853     16664.5062        
9.95430071     17632.7447        
9.951824124    12556.601         
9.94934877     17471.9819        
9.946874647    17900.4574        
9.944401754    17333.229         
9.94193009     18101.6345        
9.939459655    17184.2765        
9.936990447    15798.0047        
9.934522466    17680.6362        
9.93205571     17761.901         
9.929590179    15652.1603        
9.927125871    17008.4832        
9.924662787    15881.9772        
9.922200925    17568.8761        
9.919740283    16029.6762        
9.917280862    17034.1698        
9.91482266     14380.1149        
9.912365676    14834.985         
9.90990991     17503.4412        
9.90745536     16777.0408        
9.905002026    14491.7848        
9.902549907    17903.1666        
9.900099001    14549.7975        
9.897649308    12900.2502        
9.895200828    10430.5461        
9.892753558    11500.1209        
9.890307499    17612.8617        
