#wvl [um]        modulation
11               0.0239832888      
10.9969758       0.0240740567      
10.9939533       0.0241602629      
10.9909325       0.0241157231      
10.9879133       0.0244431091      
10.9848958       0.0240436383      
10.9818799       0.023999309       
10.9788657       0.0240341476      
10.9758531       0.024145698       
10.9728422       0.0239900683      
10.969833        0.0241754695      
10.9668254       0.023981572       
10.9638194       0.024121556       
10.9608151       0.0240585619      
10.9578124       0.0239838363      
10.9548114       0.0240103963      
10.951812        0.0241346219      
10.9488143       0.0240059153      
10.9458182       0.0240397782      
10.9428237       0.024232372       
10.9398309       0.0240306785      
10.9368398       0.0240013638      
10.9338502       0.0244639666      
10.9308623       0.0241261713      
10.927876        0.0240015925      
10.9248914       0.0240117497      
10.9219084       0.0239928019      
10.918927        0.0239942835      
10.9159472       0.0241621887      
10.9129691       0.0242702804      
10.9099926       0.0240216765      
10.9070177       0.0241448698      
10.9040444       0.0239948654      
10.9010728       0.0240356701      
10.8981027       0.0240111672      
10.8951343       0.0240051515      
10.8921675       0.0240368027      
10.8892024       0.0240485644      
10.8862388       0.0241092188      
10.8832769       0.024312164       
10.8803165       0.0240616819      
10.8773578       0.0240052511      
10.8744007       0.0240074565      
10.8714452       0.0241368295      
10.8684913       0.0240159644      
10.865539        0.0240094941      
10.8625883       0.0239847902      
10.8596392       0.0239908614      
10.8566917       0.0240421262      
10.8537458       0.0240062842      
10.8508015       0.0240496089      
10.8478588       0.0240608923      
10.8449177       0.0241486373      
10.8419782       0.0239850757      
10.8390403       0.0240024401      
10.8361039       0.0240438865      
10.8331692       0.0241226141      
10.830236        0.0240344266      
10.8273045       0.0241064409      
10.8243745       0.0239875885      
10.8214461       0.0240776632      
10.8185193       0.0239880823      
10.8155941       0.0240032897      
10.8126705       0.0239958601      
10.8097484       0.0239982046      
10.806828        0.0240337171      
10.8039091       0.024272053       
10.8009917       0.0241463713      
10.798076        0.0240455059      
10.7951618       0.0239872777      
10.7922492       0.0240559589      
10.7893382       0.0241060139      
10.7864287       0.0239935223      
10.7835208       0.0241247776      
10.7806145       0.0241284087      
10.7777097       0.024130905       
10.7748065       0.0240194979      
10.7719049       0.0240335884      
10.7690048       0.0240733568      
10.7661063       0.0240673524      
10.7632094       0.0241630012      
10.760314        0.0240704945      
10.7574202       0.024031236       
10.7545279       0.0240855199      
10.7516372       0.024068933       
10.748748        0.0240260479      
10.7458604       0.0240243994      
10.7429743       0.0242137352      
10.7400898       0.0240464776      
10.7372069       0.0241349712      
10.7343254       0.0241149525      
10.7314456       0.0240020412      
10.7285672       0.0242261209      
10.7256905       0.0240012372      
10.7228152       0.0240006938      
10.7199415       0.0239967802      
10.7170694       0.0240787651      
10.7141987       0.0240322402      
10.7113297       0.0240501175      
10.7084621       0.0241780467      
10.7055961       0.0240860362      
10.7027316       0.0240071774      
10.6998687       0.02401842        
10.6970073       0.0241011914      
10.6941474       0.0240590965      
10.691289        0.0239887098      
10.6884322       0.0242235683      
10.6855769       0.0241483194      
10.6827231       0.0239977391      
10.6798709       0.0240298566      
10.6770201       0.0240067417      
10.6741709       0.0239891662      
10.6713232       0.0241862508      
10.6684771       0.0242017827      
10.6656324       0.0240277323      
10.6627893       0.0241791387      
10.6599477       0.0241490313      
10.6571076       0.02398522        
10.654269        0.0243797978      
10.6514319       0.0240058116      
10.6485963       0.0239984556      
10.6457623       0.0239967979      
10.6429297       0.024575402       
10.6400987       0.0240391813      
10.6372691       0.024020673       
10.6344411       0.024017721       
10.6316146       0.0240310188      
10.6287895       0.0240317059      
10.625966        0.0239933026      
10.623144        0.024016936       
10.6203234       0.024021514       
10.6175044       0.0240553755      
10.6146869       0.0242031518      
10.6118708       0.0240124572      
10.6090563       0.024057337       
10.6062432       0.0240068893      
10.6034317       0.0240047302      
10.6006216       0.0240192119      
10.597813        0.0240317945      
10.5950059       0.0246531959      
10.5922003       0.024065076       
10.5893962       0.0240211357      
10.5865935       0.0240113291      
10.5837924       0.02422493        
10.5809927       0.0242645137      
10.5781945       0.0240780633      
10.5753978       0.0241878183      
10.5726025       0.0240471365      
10.5698088       0.0242254927      
10.5670165       0.0241234975      
10.5642257       0.0243044186      
10.5614364       0.02429986        
10.5586485       0.0240840757      
10.5558621       0.0241511637      
10.5530772       0.0241313611      
10.5502937       0.0242285716      
10.5475117       0.0239920226      
10.5447312       0.0240937248      
10.5419522       0.0240599664      
10.5391746       0.024247197       
10.5363985       0.0241274357      
10.5336238       0.0242291303      
10.5308506       0.0240235183      
10.5280789       0.0239891555      
10.5253086       0.0239978654      
10.5225398       0.0240130436      
10.5197724       0.0240476145      
10.5170065       0.0239876349      
10.514242        0.0242248332      
10.511479        0.024074046       
10.5087175       0.0240466672      
10.5059574       0.0241225294      
10.5031987       0.0239989266      
10.5004415       0.0240342322      
10.4976857       0.0240396899      
10.4949314       0.0240359859      
10.4921786       0.0240131472      
10.4894271       0.0241974927      
10.4866772       0.0240234598      
10.4839286       0.0240856437      
10.4811815       0.0240909102      
10.4784359       0.0241603955      
10.4756916       0.0241101318      
10.4729488       0.0240756711      
10.4702075       0.0240818663      
10.4674676       0.0240124938      
10.4647291       0.0241761645      
10.4619921       0.0241238905      
10.4592564       0.0239963175      
10.4565223       0.0240575961      
10.4537895       0.0240558201      
10.4510582       0.0242734565      
10.4483283       0.0242289888      
10.4455998       0.0240354254      
10.4428727       0.0240163515      
10.4401471       0.0243295631      
10.4374229       0.0242794865      
10.4347001       0.0242347246      
10.4319788       0.024164114       
10.4292588       0.0247621472      
10.4265403       0.0240196439      
10.4238232       0.0241064084      
10.4211075       0.0240155358      
10.4183932       0.0242116323      
10.4156803       0.0240357866      
10.4129689       0.0240294364      
10.4102588       0.0240433952      
10.4075502       0.0241060648      
10.404843        0.024503233       
10.4021372       0.0240413901      
10.3994328       0.0239919582      
10.3967298       0.0240222343      
10.3940282       0.0241018797      
10.391328        0.0240442604      
10.3886292       0.0240000822      
10.3859318       0.0239904443      
10.3832358       0.0239965729      
10.3805412       0.0240673451      
10.377848        0.0241323628      
10.3751562       0.0240340579      
10.3724658       0.0239967914      
10.3697768       0.0240278065      
10.3670892       0.0242427402      
10.364403        0.0240032435      
10.3617182       0.024092057       
10.3590347       0.0241194456      
10.3563527       0.0239888571      
10.353672        0.0240442557      
10.3509928       0.0240729468      
10.3483149       0.0240145069      
10.3456384       0.0240207605      
10.3429633       0.0241458138      
10.3402895       0.0240003898      
10.3376172       0.0242263877      
10.3349462       0.0239929849      
10.3322766       0.0240591371      
10.3296084       0.024180213       
10.3269416       0.0241206048      
10.3242761       0.0239880276      
10.321612        0.0239888073      
10.3189493       0.0241492648      
10.316288        0.023992825       
10.3136281       0.0239866937      
10.3109695       0.0240028147      
10.3083122       0.0240990052      
10.3056564       0.0240893093      
10.3030019       0.024246086       
