#wvl [um]      Flux [erg/s/cm]
11             16318.0018        
10.99879013    9648.38567        
10.99758053    14920.815         
10.9963712     14342.5429        
10.99516213    8961.31323        
10.99395333    12563.7422        
10.99274479    13326.2929        
10.99153652    15477.6139        
10.99032851    14227.7653        
10.98912077    14003.1126        
10.9879133     9972.12435        
10.98670609    9681.19953        
10.98549914    11909.0351        
10.98429246    15627.161         
10.98308605    11339.5439        
10.9818799     15085.8877        
10.98067401    10479.4973        
10.97946839    13936.6073        
10.97826304    15432.36          
10.97705795    12890.7099        
10.97585312    14143.9863        
10.97464856    12139.231         
10.97344426    11456.0678        
10.97224023    15444.9049        
10.97103646    14841.1105        
10.96983296    11767.7402        
10.96862972    14802.1558        
10.96742674    15749.1717        
10.96622403    15831.3543        
10.96502158    15701.8951        
10.9638194     10776.6559        
10.96261747    15449.7063        
10.96141582    14613.6674        
10.96021442    8630.26904        
10.95901329    15753.7881        
10.95781242    16243.0316        
10.95661182    10620.2559        
10.95541148    15363.1529        
10.9542114     10807.7157        
10.95301158    15442.1004        
10.95181203    12871.3315        
10.95061274    15052.7363        
10.94941371    8423.85215        
10.94821494    15647.4493        
10.94701644    13581.7522        
10.9458182     14217.4298        
10.94462022    13807.9047        
10.94342251    15256.1185        
10.94222505    14235.8129        
10.94102786    9804.95821        
10.93983093    15522.358         
10.93863426    14515.8521        
10.93743786    13413.4303        
10.93624171    14175.4858        
10.93504583    13401.8394        
10.93385021    9795.52062        
10.93265485    12479.4673        
10.93145975    10039.8388        
10.93026491    14848.6235        
10.92907033    14118.6505        
10.92787602    15456.6385        
10.92668196    14054.1333        
10.92548817    8997.49308        
10.92429464    11386.3313        
10.92310137    13942.7924        
10.92190836    14588.6257        
10.9207156     12853.1069        
10.91952311    13371.1054        
10.91833088    14757.7393        
10.91713892    13524.8133        
10.91594721    9973.33133        
10.91475576    15313.5534        
10.91356457    15825.0481        
10.91237364    13626.7302        
10.91118297    14109.4854        
10.90999256    13602.2775        
10.90880241    16320.6981        
10.90761252    12741.9574        
10.90642289    14273.9997        
10.90523352    13997.7919        
10.90404441    15349.242         
10.90285556    15779.1078        
10.90166696    15255.6798        
10.90047863    16043.0804        
10.89929056    12291.0804        
10.89810274    14472.9758        
10.89691518    14300.1598        
10.89572788    10814.8453        
10.89454084    12899.1342        
10.89335406    11972.1426        
10.89216754    12698.8981        
10.89098128    13442.5717        
10.88979527    12644.9535        
10.88860952    14038.4377        
10.88742404    11818.5414        
10.8862388     11624.016         
10.88505383    14608.0635        
10.88386912    12121.2856        
10.88268466    13897.8729        
10.88150046    14748.9579        
10.88031652    13023.1051        
10.87913283    15326.4626        
10.87794941    12689.8535        
10.87676624    13244.5272        
10.87558333    13915.9093        
10.87440067    14657.2545        
10.87321827    14331.5291        
10.87203613    11335.5502        
10.87085425    12667.8448        
10.86967263    15821.1631        
10.86849126    15256.9372        
10.86731014    15420.2132        
10.86612929    8468.82592        
10.86494869    15938.0273        
