#wvl [um]      Flux [erg/s/cm]
10             17681.5872        
9.997500625    16933.3862        
9.995002499    17865.0605        
9.992505621    17091.2801        
9.99000999     18227.1956        
9.987515605    17887.8359        
9.985022466    18008.3351        
9.982530571    17982.5936        
9.98003992     18069.9553        
9.977550511    18268.6783        
9.975062344    17965.629         
9.972575418    14578.5335        
9.970089731    14824.6685        
9.967605283    18329.0425        
9.965122073    16656.7557        
9.9626401      16746.068         
9.960159363    18250.3619        
9.957679861    17070.7016        
9.955201593    18160.8789        
9.952724558    13093.0693        
9.950248756    16831.7848        
9.947774186    18091.8199        
9.945300845    17668.6847        
9.942828735    17812.4886        
9.940357853    17433.8387        
9.937888199    17998.2657        
9.935419771    17496.4494        
9.93295257     18585.9429        
9.930486594    16855.7578        
9.928021842    13409.7568        
9.925558313    16876.776         
9.923096006    17707.8354        
9.920634921    18018.6668        
9.918175056    18534.3255        
9.915716411    18394.9778        
9.913258984    17042.0106        
9.910802775    17815.1859        
9.908347783    18539.9597        
9.905894007    12221.1832        
9.903441446    18653.6928        
9.900990099    16399.9817        
9.898539965    15582.9434        
9.896091044    13725.631         
9.893643334    11672.1878        
9.891196835    17237.7918        
9.888751545    16161.9188        
9.886307464    17511.6783        
9.883864591    15407.1774        
9.881422925    14484.0081        
9.878982465    18201.9967        
9.87654321     11848.0869        
9.874105159    17589.0043        
9.871668312    16635.594         
9.869232667    16974.0123        
9.866798224    18046.8289        
9.864364982    18681.3845        
9.861932939    17592.8121        
9.859502095    16391.399         
9.857072449    12855.2298        
9.854644001    18697.8844        
9.852216749    18239.4255        
9.849790692    18768.9899        
9.84736583     18222.087         
9.844942161    18685.7444        
9.842519685    15608.2292        
9.840098401    16589.3604        
9.837678308    18698.0591        
9.835259405    10672.5001        
9.832841691    17807.976         
9.830425166    18027.9115        
9.828009828    17046.0983        
9.825595677    18124.1785        
9.823182711    17565.0876        
9.820770931    18174.9358        
9.818360334    18113.6118        
9.81595092     16832.82          
9.813542689    15341.091         
9.811135639    18688.919         
9.808729769    17726.2218        
9.80632508     17259.7609        
9.803921569    18843.2205        
9.801519235    18424.7271        
9.799118079    18251.1455        
9.796718099    18675.412         
9.794319295    18880.8315        
9.791921665    18070.7234        
9.789525208    17733.2644        
9.787129924    15638.8629        
9.784735812    18774.0019        
9.782342871    16812.5192        
9.7799511      18329.6846        
9.777560499    12973.7954        
9.775171065    17930.5761        
9.7727828      16516.0014        
9.770395701    18031.7395        
9.768009768    18817.5983        
9.765625       12255.3602        
9.763241396    18877.9244        
9.760858956    18249.8032        
9.758477677    13907.877         
9.756097561    18255.1928        
9.753718605    17783.5597        
9.751340809    18892.3161        
9.748964173    16229.4707        
9.746588694    16709.8473        
9.744214373    15684.9123        
9.741841208    16880.6047        
9.739469199    18448.0861        
9.737098345    17379.9626        
9.734728644    18804.1472        
9.732360097    18617.2016        
9.729992703    17684.2235        
9.727626459    17581.9625        
9.725261366    17816.0936        
9.722897423    19163.8122        
9.720534629    18065.0711        
9.718172983    16034.7314        
9.715812485    13329.5041        
9.713453133    14250.5838        
9.711094926    17269.1339        
9.708737864    15341.0207        
9.706381946    15839.8543        
9.704027171    17141.3763        
9.701673539    19133.0793        
9.699321048    17212.9405        
9.696969697    18893.0314        
9.694619486    16999.7629        
9.692270414    18585.2135        
9.689922481    17212.1544        
9.687575684    14935.0481        
9.685230024    16627.5093        
9.6828855      16834.5113        
9.68054211     18569.0341        
9.678199855    18620.696         
9.675858732    15438.0713        
9.673518742    11813.485         
9.671179884    14035.5695        
9.668842156    9987.46933        
9.666505558    18481.5036        
9.664170089    18938.7654        
9.661835749    18652.9481        
9.659502536    13839.9833        
9.657170449    14735.2695        
9.654839488    18351.1758        
9.652509653    15243.5011        
9.650180941    16484.5654        
9.647853353    14785.3797        
9.645526887    17261.0361        
9.643201543    18756.582         
9.64087732     17549.9292        
9.638554217    17926.66          
9.636232233    14035.4557        
9.633911368    16895.1436        
9.631591621    18373.9385        
9.62927299     17563.2666        
9.626955475    18996.0911        
9.624639076    12764.4129        
9.622323791    18498.3641        
9.62000962     13753.6039        
9.617696562    18185.0456        
9.615384615    16828.8671        
9.61307378     17433.502         
9.610764056    17592.873         
9.608455441    18651.9575        
9.606147935    18217.4318        
9.603841537    17543.2729        
9.601536246    15977.8552        
9.599232061    17059.7913        
9.596928983    18004.308         
9.594627009    18016.7686        
9.592326139    16518.3542        
9.590026373    19302.625         
9.587727709    18326.1063        
9.585430146    15792.9411        
9.583133685    18345.4766        
9.580838323    18524.9629        
9.578544061    19404.2446        
9.576250898    16506.7054        
9.573958832    19438.1604        
9.571667863    17089.4375        
9.56937799     18003.1412        
9.567089213    18636.1582        
9.56480153     17764.5977        
9.562514941    17466.8092        
9.560229446    19289.9602        
9.557945042    17581.9008        
9.55566173     18341.5103        
9.553379508    19541.9898        
9.551098376    18061.9712        
9.548818334    18812.0119        
9.546539379    18795.1889        
9.544261513    19310.0404        
9.541984733    17255.7644        
9.539709039    12285.9474        
9.53743443     18490.1332        
9.535160906    19640.9184        
9.532888465    18379.4388        
9.530617107    19208.0262        
9.528346832    19261.7968        
9.526077638    19360.377         
9.523809524    19015.2023        
9.52154249     17630.7384        
9.519276535    18439.1875        
9.517011658    18252.3079        
9.514747859    17745.107         
9.512485137    16923.8417        
9.51022349     14529.7315        
9.507962919    18039.7141        
9.505703422    16665.8233        
9.503444999    18285.0717        
9.501187648    18560.0597        
9.49893137     13613.75          
9.496676163    19087.6107        
9.494422027    18232.0424        
9.492168961    14082.7816        
9.489916963    18596.5569        
9.487666034    18908.9668        
9.485416173    9823.18503        
9.483167378    17548.5798        
9.480919649    19081.2862        
9.478672986    19135.7282        
9.476427387    15708.7692        
9.474182852    17667.7572        
9.47193938     19327.6227        
9.46969697     18610.0257        
9.467455621    19101.6019        
9.465215334    17953.7473        
9.462976106    16186.6957        
9.460737938    19465.2166        
9.458500828    17354.6257        
9.456264775    15735.7746        
9.45402978     18777.4308        
9.451795841    17441.1522        
9.449562958    17030.1328        
9.447331129    18963.047         
9.445100354    17789.5891        
9.442870633    18709.7294        
9.440641964    13702.248         
9.438414346    15221.5821        
9.43618778     17739.0851        
9.433962264    18259.033         
9.431737798    17618.8511        
9.42951438     16801.4994        
9.42729201     18905.0545        
9.425070688    19174.0881        
9.422850412    18470.2465        
9.420631182    17023.7633        
9.418412997    19263.2532        
9.416195857    19157.2145        
9.41397976     19504.605         
9.411764706    18951.3286        
9.409550694    18009.3413        
9.407337723    18632.5369        
9.405125794    12984.2259        
9.402914904    12361.7278        
9.400705053    18894.8205        
9.398496241    17410.6635        
9.396288466    18251.6097        
9.394081729    19314.846         
9.391876027    18347.02          
9.389671362    18227.7869        
9.387467731    18595.5292        
9.385265134    18302.5008        
9.38306357     16028.1585        
9.380863039    15391.0551        
9.37866354     18045.8807        
9.376465073    19088.2555        
9.374267635    17961.0938        
9.372071228    16227.9241        
9.369875849    18949.1712        
9.367681499    19751.7148        
9.365488176    18166.0771        
9.36329588     15884.8107        
9.36110461     18973.1834        
9.358914366    18194.1071        
9.356725146    19321.3149        
9.35453695     18450.5603        
9.352349778    17672.1938        
9.350163628    19998.1706        
9.3479785      16326.2364        
9.345794393    19220.3499        
9.343611306    19107.0847        
9.341429239    18886.3219        
9.339248191    19586.6517        
9.337068161    18852.7267        
9.334889148    17617.4576        
9.332711153    19184.1317        
9.330534173    19409.2934        
9.328358209    18585.8289        
9.32618326     19200.7893        
9.324009324    19164.7612        
9.321836402    19513.7596        
9.319664492    13029.5034        
9.317493594    17853.2226        
9.315323707    19465.8241        
9.313154831    19111.0192        
9.310986965    12519.2845        
9.308820107    17899.7718        
9.306654258    18907.7435        
9.304489416    19480.2324        
9.302325581    16634.8342        
9.300162753    18140.0483        
9.29800093     19946.6484        
9.295840112    13574.0608        
9.293680297    13850.8139        
9.291521487    17260.1155        
9.289363679    18343.0803        
9.287206873    19038.9566        
9.285051068    17630.8111        
9.282896264    18578.3895        
9.280742459    11766.7013        
9.278589654    19608.5506        
9.276437848    19144.9265        
9.274287039    18740.5125        
9.272137228    18720.8006        
9.269988413    19074.7553        
9.267840593    17909.3293        
9.265693769    18712.2287        
9.263547939    16744.3127        
9.261403103    19486.0721        
9.259259259    19178.015         
9.257116408    18375.1916        
9.254974549    16964.4271        
9.25283368     12562.9749        
9.250693802    19156.5301        
9.248554913    18431.7599        
9.246417013    16382.1776        
9.244280102    18432.0698        
9.242144177    17776.7215        
9.24000924     18640.8788        
9.237875289    11246.9302        
9.235742323    18348.5424        
9.233610342    19689.3041        
9.231479345    20281.6292        
9.229349331    18424.618         
9.2272203      19296.1412        
9.225092251    18895.0253        
9.222965183    20141.5825        
9.220839096    17025.3434        
9.218713989    19822.8412        
9.216589862    17790.7478        
9.214466713    19354.3976        
9.212344542    15067.6257        
9.210223348    16998.1427        
9.208103131    19913.6997        
9.20598389     15594.8306        
9.203865624    14971.9573        
9.201748332    19135.6272        
9.199632015    18083.5313        
9.19751667     16278.7361        
9.195402299    17538.828         
9.193288899    19982.3809        
9.191176471    19062.7248        
9.189065013    20208.9475        
9.186954525    18788.2162        
9.184845006    17563.6774        
9.182736455    10660.6664        
9.180628873    18275.9438        
9.178522258    12315.1383        
9.176416609    19740.3878        
9.174311927    18893.3795        
9.172208209    17519.1988        
9.170105456    17903.8497        
9.168003667    19240.0501        
9.165902841    19210.6233        
9.163802978    16340.0425        
9.161704077    19883.4527        
9.159606137    18129.0516        
9.157509158    15262.1938        
9.155413138    16401.2496        
9.153318078    15317.2283        
9.151223976    19451.0517        
9.149130833    18532.8724        
9.147038646    16210.3718        
9.144947417    18714.0317        
9.142857143    18253.379         
9.140767824    19578.0066        
9.138679461    12184.7332        
9.136592051    18999.2137        
9.134505595    12999.2214        
9.132420091    18650.0372        
9.13033554     18489.9674        
9.12825194     19841.4199        
9.12616929     18792.72          
9.124087591    20119.2746        
9.122006842    19771.6924        
9.119927041    17363.5465        
9.117848188    18496.0439        
9.115770283    17199.2132        
9.113693324    17567.7209        
9.111617312    13749.2023        
9.109542246    19697.5359        
