#wvl [um]        modulation
10               0.0241166835      
9.9990001        0.0240433731      
9.9980004        0.0243532765      
9.9970009        0.0241513898      
9.9960016        0.0240852977      
9.9950025        0.0240473097      
9.9940036        0.0240062739      
9.9930049        0.0240287016      
9.99200639       0.0242786425      
9.99100809       0.0240884135      
9.99000999       0.0240139612      
9.98901209       0.024104437       
9.98801438       0.024009935       
9.98701688       0.0241189932      
9.98601957       0.0240148299      
9.98502247       0.0240247452      
9.98402556       0.0240348834      
9.98302885       0.0240372416      
9.98203234       0.0241384167      
9.98103603       0.0240834309      
9.98003992       0.024024124       
9.97904401       0.0240178711      
9.97804829       0.0240766699      
9.97705278       0.0241702337      
9.97605746       0.0240306317      
9.97506234       0.0240345277      
9.97406742       0.0240314003      
9.9730727        0.0240140408      
9.97207818       0.0240657074      
9.97108386       0.0240270294      
9.97008973       0.0242789324      
9.9690958        0.0240028038      
9.96810207       0.024014355       
9.96710854       0.0240295633      
9.96611521       0.024075229       
9.96512207       0.0240413251      
9.96412914       0.0241423307      
9.9631364        0.0242872379      
9.96214385       0.0240314016      
9.96115151       0.0240323991      
9.96015936       0.0240253284      
9.95916741       0.024085911       
9.95817566       0.0240165669      
9.95718411       0.0240165457      
9.95619275       0.0240543802      
9.95520159       0.0240572574      
9.95421063       0.0240181385      
9.95321987       0.0240342949      
9.9522293        0.024023184       
9.95123893       0.0240670528      
9.95024876       0.024167288       
9.94925878       0.0240061743      
9.948269         0.0240510673      
9.94727942       0.024016619       
9.94629003       0.0240862618      
9.94530085       0.0240453726      
9.94431185       0.0240130114      
9.94332306       0.0243962026      
9.94233446       0.0240470432      
9.94134606       0.0240099744      
9.94035785       0.0240535267      
9.93936984       0.0240639198      
9.93838203       0.0240433358      
9.93739442       0.0240113214      
9.936407         0.024149825       
9.93541977       0.0240802928      
9.93443274       0.024002635       
9.93344591       0.0240688038      
9.93245928       0.0240637468      
9.93147284       0.0240396375      
9.93048659       0.0240920407      
9.92950055       0.0240601489      
9.92851469       0.0241485209      
9.92752904       0.0240145959      
9.92654358       0.0240583573      
9.92555831       0.0240844351      
9.92457324       0.0240717741      
9.92358837       0.0240232497      
9.92260369       0.0240805804      
9.92161921       0.0240624227      
9.92063492       0.0240202829      
9.91965083       0.0240551031      
9.91866693       0.0240287755      
9.91768323       0.0241511632      
9.91669972       0.0240218736      
9.91571641       0.0240195263      
9.91473329       0.0241427594      
9.91375037       0.0240539446      
9.91276764       0.024108387       
9.91178511       0.0240850487      
9.91080278       0.0240335933      
9.90982063       0.0240242051      
9.90883868       0.0240523649      
9.90785693       0.0243137838      
9.90687537       0.0240050467      
9.90589401       0.0242245448      
9.90491284       0.0241201623      
9.90393186       0.0240258883      
9.90295108       0.0240109793      
9.90197049       0.0241030106      
