#wvl [um]      Flux [erg/s/cm]
11             13173.016         
10.99697583    11334.0927        
10.99395333    10396.726         
10.99093248    10730.8735        
10.9879133     10450.9103        
10.98489577    11388.5293        
10.9818799     11834.4266        
10.97886568    11776.259         
10.97585312    10581.5795        
10.97284222    11838.0883        
10.96983296    10919.7228        
10.96682535    13098.4939        
10.9638194     11559.4136        
10.96081509    11532.9495        
10.95781242    12906.1994        
10.9548114     12536.1111        
10.95181203    10578.0365        
10.94881429    12681.1474        
10.9458182     12033.4351        
10.94282375    10107.2072        
10.93983093    11989.7814        
10.93683975    12691.6083        
10.93385021    10593.7681        
10.9308623     11519.6528        
10.92787602    12854.1888        
10.92489137    12618.3738        
10.92190836    12819.0801        
10.91892697    12983.1286        
10.91594721    11493.3702        
10.91296907    10277.8229        
10.90999256    12853.6237        
10.90701767    10586.7961        
10.90404441    12833.1594        
10.90107276    12003.5094        
10.89810274    12190.4392        
10.89513433    12123.7162        
10.89216754    12961.2476        
10.88920237    12390.8388        
10.8862388     11543.2585        
10.88327686    10234.7752        
10.88031652    12275.0633        
10.87735779    12570.4192        
10.87440067    12610.5586        
10.87144516    10680.9312        
10.86849126    12627.6171        
10.86553896    12797.7581        
10.86258826    13354.6745        
10.85963916    13369.8889        
10.85669167    12616.7614        
10.85374578    11072.4132        
10.85080148    12448.7634        
10.84785878    11840.2697        
10.84491768    10819.7362        
10.84197817    13200.469         
10.83904025    13009.3631        
10.83610393    12801.1231        
10.83316919    11103.2446        
10.83023605    12206.9342        
10.82730449    10922.0669        
10.82437452    13159.8314        
10.82144614    11356.3888        
10.81851934    13335.2075        
10.81559412    13149.6303        
10.81267048    13176.8777        
10.80974843    13022.3239        
10.80682795    13224.2491        
10.80390905    10489.8339        
10.80099173    11297.051         
10.79807598    11981.2458        
10.7951618     13402.9974        
10.7922492     12772.5408        
10.78933817    11482.5773        
10.78642871    13349.2695        
10.78352082    11039.1176        
10.7806145     11062.552         
10.77770974    12232.9023        
10.77480654    12770.9744        
10.77190491    12852.8258        
10.76900485    11784.9986        
10.76610634    11720.8086        
10.76320939    10677.0143        
10.76031401    12376.4112        
10.75742018    12161.133         
10.7545279     12436.585         
10.75163718    12462.9286        
10.74874802    12539.9952        
10.7458604     12833.5096        
10.74297434    10732.2622        
10.74008983    12036.2022        
10.73720686    11014.3836        
10.73432545    12165.3333        
10.73144557    12852.2103        
10.72856725    10579.5749        
10.72569047    11920.5966        
10.72281523    13088.9587        
10.71994153    13346.4936        
10.71706937    11710.0234        
10.71419875    12549.0974        
10.71132967    11256.3257        
10.70846212    11295.9027        
10.70559611    12466.837         
10.70273163    12985.5799        
10.69986868    12818.2969        
10.69700727    11975.7452        
10.69414738    12317.7554        
10.69128903    13514.0222        
10.6884322     11037.8087        
10.6855769     11164.1745        
10.68272312    13515.7837        
10.67987087    12664.3889        
10.67702014    13117.6167        
10.67417093    13468.3374        
10.67132324    10566.9601        
10.66847707    10518.3603        
10.66563242    12579.3939        
10.66278929    10878.2972        
10.65994767    11428.0809        
10.65710756    13574.5413        
10.65426897    10807.6948        
10.65143189    13181.6853        
10.64859632    13426.5892        
10.64576226    13432.7333        
10.64292971    11304.2357        
10.64009866    12619.5435        
10.63726912    12762.4952        
10.63444109    12828.7475        
10.63161456    12430.4144        
10.62878953    12981.9379        
10.625966      12476.8014        
10.62314397    13115.1812        
10.62032344    13052.3959        
10.6175044     12222.345         
10.61468687    10655.7332        
10.61187082    13110.5046        
10.60905628    12336.0076        
10.60624322    13131.5357        
10.60343166    13135.6276        
10.60062158    13342.7849        
10.597813      13173.948         
10.5950059     11622.9398        
10.59220029    11732.8984        
10.58939616    13056.092         
10.58659352    13168.1781        
10.58379237    10532.6984        
10.58099269    10573.869         
10.57819449    12355.7262        
10.57539778    10633.8131        
10.57260254    12177.6922        
10.56980878    10809.0393        
10.5670165     11251.6398        
10.56422569    10935.6502        
10.56143636    10808.7195        
10.55864849    11677.1398        
10.5558621     11107.9999        
10.55307718    12541.464         
10.55029373    11424.7095        
10.54751175    13680.8369        
10.54473123    12299.432         
10.54195218    13188.0067        
10.53917459    11712.7964        
10.53639847    12479.8385        
10.53362381    10662.9265        
10.53085061    11795.8025        
10.52807886    13517.9985        
10.52530858    13624.2491        
10.52253976    13224.8187        
10.51977239    12327.3043        
10.51700648    13922.8316        
10.51424202    10844.7487        
10.51147901    12173.2799        
10.50871746    12829.1937        
10.50595736    11518.9514        
10.5031987     13318.6159        
10.5004415     13006.4372        
10.49768574    12943.6691        
10.49493143    13083.2522        
10.49217856    12856.5696        
10.48942713    10773.1368        
10.48667715    12789.3745        
10.48392861    12112.0935        
10.48118152    12108.8563        
10.47843586    10968.6094        
10.47569163    11372.2409        
10.47294885    12253.1771        
10.4702075     12655.167         
10.46746759    13670.3858        
10.46472911    11147.9318        
10.46199206    11369.6031        
10.45925644    13222.4219        
10.45652226    12296.4578        
10.4537895     12460.379         
10.45105817    10680.1664        
10.44832827    11617.4272        
10.44559979    13430.4039        
10.44287274    13201.6134        
10.44014711    10675.1477        
10.43742291    10649.665         
10.43470012    10966.2724        
10.43197876    10988.2972        
10.42925881    12019.2914        
10.42654028    12460.1336        
10.42382317    12042.5131        
10.42110748    13325.0872        
10.4183932     10772.2357        
10.41568033    12650.5625        
10.41296888    12433.1756        
10.41025884    12449.1311        
10.4075502     11355.0327        
10.40484298    11484.1524        
10.40213717    12648.7838        
10.39943276    14078.757         
10.39672976    13150.2052        
10.39402816    11830.2244        
10.39132796    13065.2381        
10.38862917    13758.0057        
10.38593178    13115.0695        
10.38323579    12833.9887        
10.3805412     12242.5322        
10.37784801    11268.3555        
10.37515622    12725.1565        
10.37246582    13792.0599        
10.36977681    13260.6643        
10.3670892     10705.4069        
10.36440299    13133.4688        
10.36171816    12065.4965        
10.35903473    11293.2728        
10.35635268    13613.7976        
10.35367202    13088.1434        
10.35099275    13251.7718        
10.34831487    13339.2443        
10.34563837    13877.3247        
10.34296326    11400.3605        
10.34028953    13883.3848        
10.33761718    10773.5031        
10.33494621    13076.2862        
10.33227662    12850.7345        
10.32960841    10987.4231        
10.32694158    11614.788         
10.32427613    14238.0533        
10.32161205    13842.1512        
10.31894934    11190.3896        
10.31628801    14061.0166        
10.31362805    14322.336         
10.31096947    13796.3085        
10.30831225    11984.478         
10.3056564     12343.9403        
10.30300192    10806.6329        
10.30034881    14059.4731        
10.29769706    13939.8762        
10.29504668    12492.9045        
10.29239766    11941.7693        
10.28975001    13787.2642        
10.28710371    14302.8608        
10.28445878    12594.0624        
10.28181521    12216.008         
10.27917299    14028.7302        
10.27653214    11304.2908        
10.27389264    12655.9408        
10.27125449    13288.2976        
10.2686177     13664.9105        
10.26598227    13160.4923        
10.26334818    13858.9304        
10.26071545    12212.8076        
10.25808407    14077.5962        
10.25545404    13936.6366        
10.25282535    14399.9958        
10.25019802    14194.5697        
10.24757202    13700.6784        
10.24494738    12953.7711        
10.24232408    13417.7271        
10.23970212    13733.8194        
10.2370815     14239.6004        
10.23446223    14469.1016        
10.23184429    13888.374         
10.22922769    13852.5638        
10.22661243    11813.3576        
10.22399851    14066.5935        
10.22138593    13500.6689        
10.21877468    14078.3623        
10.21616476    10970.5412        
10.21355617    11373.8461        
10.21094892    14224.96          
10.208343      14364.6677        
10.20573841    14423.2436        
10.20313515    13860.4838        
10.20053321    12842.2537        
10.1979326     14479.2905        
10.19533332    14501.9487        
10.19273536    11423.4001        
10.19013872    14203.379         
10.18754341    13934.2389        
10.18494942    14534.1493        
10.18235675    14082.0047        
10.1797654     14142.2709        
10.17717537    13997.3016        
10.17458666    11064.1563        
