#wvl [um]        modulation
11               0.0239628896      
10.9969758       0.0240593249      
10.9939533       0.0241525564      
10.9909325       0.0240896835      
10.9879133       0.0245219984      
10.9848958       0.0240286847      
10.9818799       0.0239785815      
10.9788657       0.0240158326      
10.9758531       0.0241543897      
10.9728422       0.0239708737      
10.969833        0.0242927925      
10.9668254       0.023961363       
10.9638194       0.0240879576      
10.9608151       0.0240363749      
10.9578124       0.023963662       
10.9548114       0.0239917223      
10.951812        0.0241602332      
10.9488143       0.0239889342      
10.9458182       0.02401936        
10.9428237       0.024247984       
10.9398309       0.0240183876      
10.9368398       0.0239825085      
10.9338502       0.0245453723      
10.9308623       0.0241658718      
10.927876        0.0239827801      
10.9248914       0.0239959534      
10.9219084       0.0239746501      
10.918927        0.0239757591      
10.9159472       0.0241145534      
10.9129691       0.0243238904      
10.9099926       0.0239987445      
10.9070177       0.0241429552      
10.9040444       0.0239754113      
10.9010728       0.024015888       
10.8981027       0.023991034       
10.8951343       0.0239834985      
10.8921675       0.0240114179      
10.8892024       0.0240387554      
10.8862388       0.0240910358      
10.8832769       0.0243915472      
10.8803165       0.0240375971      
10.8773578       0.0239819128      
10.8744007       0.0239884931      
10.8714452       0.0241344647      
10.8684913       0.023994837       
10.865539        0.0239945273      
10.8625883       0.0239650628      
10.8596392       0.0239705367      
10.8566917       0.0240497662      
10.8537458       0.0239856991      
10.8508015       0.0240315641      
10.8478588       0.0240517347      
10.8449177       0.0241267801      
10.8419782       0.0239637292      
10.8390403       0.02398105        
10.8361039       0.0240460667      
10.8331692       0.0240999988      
10.830236        0.0240181812      
10.8273045       0.0240776389      
10.8243745       0.0239690507      
10.8214461       0.0240484044      
10.8185193       0.0239663803      
10.8155941       0.0239858523      
10.8126705       0.0239751487      
10.8097484       0.0239790157      
10.806828        0.0240097925      
10.8039091       0.0243672292      
10.8009917       0.0241233921      
10.798076        0.0240245514      
10.7951618       0.0239671632      
10.7922492       0.0240801096      
10.7893382       0.0241112453      
10.7864287       0.0239705223      
10.7835208       0.0241067016      
10.7806145       0.0241994286      
10.7777097       0.0240874405      
10.7748065       0.0240014527      
10.7719049       0.0240170631      
10.7690048       0.0240562729      
10.7661063       0.0240576579      
10.7632094       0.0241604005      
10.760314        0.0240690403      
10.7574202       0.0240112395      
10.7545279       0.0240528328      
10.7516372       0.0241115385      
10.748748        0.0240075691      
10.7458604       0.0240153179      
10.7429743       0.0241647674      
10.7400898       0.0240225088      
10.7372069       0.0240836702      
10.7343254       0.0240947861      
10.7314456       0.0239804708      
10.7285672       0.0241649293      
10.7256905       0.0239817165      
10.7228152       0.0239825079      
10.7199415       0.0239772037      
10.7170694       0.0240570214      
10.7141987       0.0240158834      
10.7113297       0.024032468       
10.7084621       0.024119278       
10.7055961       0.0241535538      
10.7027316       0.0239887573      
10.6998687       0.0239956038      
10.6970073       0.0241356473      
10.6941474       0.0240653177      
10.691289        0.0239683473      
10.6884322       0.0241672963      
10.6855769       0.0241125288      
10.6827231       0.0239764889      
10.6798709       0.0240110391      
10.6770201       0.0239846851      
10.6741709       0.0239708147      
10.6713232       0.0241852545      
10.6684771       0.0241978605      
10.6656324       0.0240073648      
10.6627893       0.0241361296      
10.6599477       0.0241064049      
10.6571076       0.0239658295      
10.654269        0.0245370567      
10.6514319       0.0239847358      
10.6485963       0.0239779511      
10.6457623       0.0239776245      
10.6429297       0.024675594       
10.6400987       0.0240187741      
10.6372691       0.0240018043      
10.6344411       0.0240085658      
10.6316146       0.0240100664      
10.6287895       0.0240094923      
10.625966        0.0239720702      
10.623144        0.0239973453      
10.6203234       0.0240004656      
10.6175044       0.0240363957      
10.6146869       0.0243157649      
10.6118708       0.0239945135      
10.6090563       0.0240534006      
10.6062432       0.0239860577      
10.6034317       0.0239869216      
10.6006216       0.0239975574      
10.597813        0.0240185913      
10.5950059       0.0247704057      
10.5922003       0.0240493041      
10.5893962       0.0240059708      
10.5865935       0.0239921842      
10.5837924       0.0242156511      
10.5809927       0.0242213593      
