#wvl [um]      Flux [erg/s/cm]
10             10642.2299        
9.9990001      10647.5225        
9.9980004      11320.7065        
9.9970009      11220.9537        
9.996001599    10722.4792        
9.995002499    10627.056         
9.994003598    10541.9363        
9.993004897    10614.2393        
9.992006395    11074.8474        
9.991008093    10643.8808        
9.99000999     10595.0053        
9.989012087    10940.5841        
9.988014383    10684.1227        
9.987016878    10955.609         
9.986019573    10560.1619        
9.985022466    10609.2241        
9.984025559    10580.8545        
9.983028851    10598.3664        
9.982032342    10733.1508        
9.981036032    10887.1084        
9.98003992     10586.8307        
9.979044008    10570.0299        
9.978048294    10631.8423        
9.977052779    10738.2529        
9.976057462    10634.7898        
9.975062344    10593.6845        
9.974067425    10583.1104        
9.973072704    10613.8553        
9.972078181    10735.5281        
9.971083857    10627.6514        
9.970089731    11096.6019        
9.969095803    10584.6806        
9.968102073    10633.1819        
9.967108542    10673.0038        
9.966115208    10923.9101        
9.965122073    10808.6063        
9.964129135    10822.4236        
9.963136395    11171.1405        
9.962143853    10621.7501        
9.961151509    10605.1164        
9.960159363    10616.5391        
9.959167414    10930.9144        
9.958175662    10644.8925        
9.957184108    10604.4806        
9.956192752    10637.0341        
9.955201593    10632.2149        
9.954210631    10604.8751        
9.953219867    10662.5056        
9.952229299    10730.7309        
9.951238929    10912.9546        
9.950248756    10831.3763        
9.94925878     10602.2111        
9.948269001    10749.1714        
9.947279419    10614.9925        
9.946290034    10738.9427        
9.945300845    10778.1197        
9.944311854    10610.0833        
9.943323059    11583.4625        
9.94233446     10653.2147        
9.941346058    10617.6362        
9.940357853    10755.2633        
9.939369844    10843.7109        
9.938382031    10667.8006        
9.937394415    10630.4554        
9.936406995    11034.9177        
9.935419771    10718.1586        
9.934432744    10612.5951        
9.933445912    10815.1242        
9.932459277    10672.65          
9.931472837    10719.7931        
9.930486594    10826.8396        
9.929500546    10782.3186        
9.928514694    11079.8452        
9.927529038    10803.5763        
9.926543578    10846.0824        
9.925558313    11036.1445        
9.924573243    10995.196         
9.92358837     10718.2462        
9.922603691    10853.1435        
9.921619208    10725.6516        
9.920634921    10667.6546        
9.919650828    10702.2388        
9.918666931    10679.9763        
9.917683229    10920.6599        
9.916699722    10686.3753        
9.915716411    10690.2628        
9.914733294    11135.359         
9.913750372    11039.1936        
9.912767645    10842.3619        
9.911785112    10874.3163        
9.910802775    10725.9847        
9.909820632    10670.8374        
9.908838684    10694.1896        
9.907856931    11295.8826        
9.906875372    10859.4528        
9.905894007    11701.6862        
9.904912837    10911.7636        
9.903931861    10687.1629        
9.902951079    10661.5686        
9.901970492    11028.4529        
9.900990099    11112.0775        
9.9000099      11084.9239        
9.899029895    11112.8619        
9.898050084    11910.8134        
9.897070467    11126.8465        
9.896091044    11464.2259        
9.895111815    11543.3039        
9.894132779    11434.4994        
9.893153937    11703.1957        
9.892175289    11136.7654        
9.891196835    10938.0172        
9.890218574    10771.6401        
9.889240506    11983.678         
9.888262632    11141.6676        
9.887284952    11404.6564        
9.886307464    10881.4227        
9.88533017     11694.5137        
9.884353069    11092.8336        
9.883376161    10794.6305        
9.882399447    10788.7088        
9.881422925    11366.8356        
9.880446596    10748.79          
9.87947046     11042.4759        
9.878494517    11249.8392        
9.877518767    11008.7905        
9.87654321     11768.9648        
9.875567845    10799.3441        
9.874592673    10728.1323        
9.873617694    10730.0477        
9.872642907    10803.3074        
9.871668312    11000.9937        
9.87069391     11073.5256        
9.8697197      11502.1909        
9.868745682    11261.1735        
9.867771857    11287.2441        
9.866798224    10818.6015        
9.865824783    10746.6734        
9.864851534    11165.0206        
9.863878477    10724.6709        
9.862905612    10704.9857        
9.861932939    10810.2305        
9.860960458    10713.7714        
9.859988168    10737.4148        
9.85901607     10815.4595        
9.858044164    11294.2036        
9.857072449    11694.7319        
9.856100926    11148.4438        
9.855129595    10772.8835        
9.854158455    11030.9244        
9.853187506    10881.0622        
9.852216749    10789.1446        
9.851246183    10732.4257        
9.850275808    10730.0095        
9.849305624    10900.6168        
9.848335631    10738.7149        
9.84736583     10800.0396        
9.846396219    10758.6338        
9.845426799    11205.6373        
9.84445757     10781.0703        
9.843488532    11450.8273        
9.842519685    11173.1905        
9.841551028    10851.3896        
9.840582562    10808.703         
9.839614287    11086.3617        
9.838646202    10737.274         
9.837678308    10740.6442        
9.836710604    10779.5273        
9.83574309     11145.9484        
9.834775767    11614.6451        
9.833808634    10818.2715        
9.832841691    10877.8622        
9.831874939    10751.0435        
9.830908376    11491.2259        
9.829942003    11211.0859        
9.828975821    11041.6868        
9.828009828    11093.8304        
9.827044025    10962.1825        
9.826078412    11101.2312        
9.825112989    10956.9287        
9.824147755    11198.5045        
9.823182711    10893.9125        
9.822217857    10840.4093        
9.821253192    10784.101         
9.820288716    11119.738         
9.81932443     10848.438         
9.818360334    10804.6289        
9.817396426    10793.3823        
9.816432708    12036.0346        
9.815469179    10811.3989        
9.81450584     12066.6822        
9.813542689    11371.0389        
9.812579727    10839.6772        
9.811616954    10808.2419        
9.810654371    10857.1362        
9.809691976    11139.927         
9.808729769    10977.9152        
9.807767752    10871.2952        
9.806805923    11172.8971        
9.805844283    11070.6782        
9.804882832    11112.6599        
9.803921569    10803.5276        
9.802960494    10884.8893        
9.801999608    10839.0103        
9.80103891     10968.6421        
9.800078401    10849.8978        
9.799118079    10857.1038        
9.798157946    10827.9457        
9.797198001    11934.9894        
9.796238245    10812.7958        
9.795278676    10797.2916        
9.794319295    10822.141         
9.793360102    10952.5032        
9.792401097    11685.6961        
9.791442279    10869.3876        
9.79048365     10819.653         
9.789525208    10911.1218        
9.788566954    10864.6999        
9.787608887    10888.0084        
9.786651008    11023.8876        
9.785693316    11669.4692        
9.784735812    10832.7037        
9.783778495    11487.3265        
9.782821366    10991.1942        
9.781864423    10927.99          
9.780907668    10880.8495        
9.7799511      10827.8726        
9.778994719    10950.9288        
9.778038525    10927.1332        
9.777082519    11120.476         
9.776126699    11285.039         
9.775171065    10904.0862        
9.774215619    11114.2523        
9.77326036     11787.3275        
9.772305287    11022.8932        
9.771350401    11024.5808        
9.770395701    10953.3468        
9.769441188    10873.0101        
9.768486861    10873.778         
9.767532721    11746.6614        
9.766578767    11100.9401        
9.765625       11884.0129        
9.764671419    11310.97          
9.763718024    10914.6843        
9.762764815    10803.651         
9.761811792    10878.9133        
9.760858956    11052.4349        
9.759906305    10955.2372        
9.75895384     11857.4884        
9.758001561    11212.915         
9.757049468    11156.3698        
9.756097561    10919.2497        
9.755145839    10832.3488        
9.754194304    10873.0762        
9.753242953    12087.6137        
9.752291789    10862.2114        
9.751340809    10874.7525        
9.750390016    10874.6316        
9.749439407    10942.6013        
9.748488984    10984.4297        
9.747538746    11814.3126        
9.746588694    11176.8525        
9.745638827    10872.7184        
9.744689144    11017.8365        
9.743739647    10943.7742        
9.742790335    10872.6909        
9.741841208    11086.0077        
9.740892266    10921.7475        
9.739943508    10947.4109        
9.738994936    11546.2751        
9.738046548    10956.2167        
9.737098345    11291.3482        
9.736150326    11227.0863        
9.735202492    11044.8203        
9.734254843    11037.3454        
9.733307378    11280.3405        
9.732360097    10912.5995        
9.731413001    11291.3338        
9.730466089    10887.5713        
9.729519362    11068.3196        
9.728572818    10992.4851        
9.727626459    11046.3164        
9.726680284    10963.546         
9.725734293    11581.3977        
9.724788486    11200.9046        
9.723842863    11278.4076        
9.722897423    10870.3865        
9.721952168    10863.8902        
9.721007096    11386.7243        
9.720062208    11031.4565        
9.719117504    11142.7248        
9.718172983    11172.9997        
9.717228646    10906.4476        
9.716284493    10913.814         
9.715340523    11104.374         
9.714396736    11118.19          
9.713453133    11689.7103        
9.712509713    11006.4522        
9.711566476    12220.3247        
9.710623422    10987.3245        
9.709680552    11053.5262        
9.708737864    11303.9824        
9.70779536     11051.9032        
9.706853038    10971.203         
9.7059109      10969.843         
9.704968944    11689.6872        
9.704027171    11276.6297        
9.703085581    11547.5926        
9.702144174    11245.7372        
9.701202949    10942.8685        
9.700261907    10967.7133        
9.699321048    11098.6427        
9.69838037     11099.6508        
9.697439876    10892.9966        
9.696499564    10912.5948        
9.695559434    11127.3266        
9.694619486    11249.5625        
9.693679721    10973.8505        
9.692740138    10902.4212        
9.691800737    10929.5159        
9.690861518    11031.5881        
9.689922481    11253.8154        
9.688983626    11561.7613        
9.688044953    11214.9334        
9.687106461    11123.3329        
9.686168152    11022.8921        
9.685230024    11159.46          
9.684292078    11004.7092        
9.683354314    11732.7044        
9.682416731    10983.2975        
9.68147933     11034.5423        
9.68054211     10989.3225        
9.679605072    11236.0213        
9.678668215    11030.912         
9.67773154     11799.4685        
9.676795045    11120.1633        
9.675858732    11610.2312        
9.674922601    11024.1195        
9.67398665     10980.9536        
9.67305088     11188.7349        
9.672115292    11299.324         
9.671179884    11846.5342        
9.670244657    11126.1623        
9.669309611    11497.3074        
9.668374746    11420.5005        
9.667440062    11378.1044        
9.666505558    11030.5778        
9.665571235    11138.8821        
9.664637093    11176.3991        
9.663703131    11009.9962        
9.66276935     10965.9074        
9.661835749    11005.5164        
9.660902328    11439.3021        
9.659969088    11132.0209        
9.659036028    11170.1862        
9.658103149    11320.6746        
9.657170449    11698.2982        
9.65623793     11062.6545        
9.65530559     11396.9629        
9.654373431    11012.9821        
9.653441452    11778.741         
9.652509653    11506.1004        
9.651578033    11014.2614        
9.650646593    11169.3582        
9.649715333    11313.7298        
9.648784253    11196.6868        
9.647853353    11748.2894        
9.646922632    11363.5938        
9.64599209     11007.4524        
9.645061728    11304.2149        
9.644131546    11708.9306        
9.643201543    11046.0597        
9.642271719    11064.9216        
9.641342075    11022.3093        
9.64041261     11113.767         
9.639483324    11236.467         
9.638554217    11175.8508        
9.637625289    11204.4608        
9.63669654     11178.6723        
9.635767971    11154.4239        
9.63483958     11402.6574        
9.633911368    11298.7651        
9.632983335    10989.7387        
9.632055481    11072.5319        
9.631127805    11059.1324        
9.630200308    11098.3946        
9.62927299     11290.8704        
9.62834585     12342.8176        
9.627418889    11257.5943        
9.626492106    11280.9949        
9.625565502    11235.2451        
9.624639076    12040.9858        
9.623712828    11398.517         
9.622786759    11364.5119        
9.621860868    11064.5133        
9.620935155    11395.2735        
9.62000962     11933.1976        
9.619084263    11206.5266        
9.618159084    11476.6239        
9.617234083    11101.8904        
9.616309261    11190.11          
9.615384615    11417.1127        
9.614460148    11364.638         
9.613535858    11167.6719        
9.612611747    11057.9077        
9.611687812    11110.8116        
9.610764056    11349.0237        
9.609840477    11072.3003        
9.608917075    11076.0461        
9.607993851    11576.0931        
9.607070804    12257.5349        
9.606147935    11294.8611        
9.605225243    11045.3138        
9.604302728    11188.7366        
9.60338039     11344.0423        
9.602458229    11027.9454        
9.601536246    11514.4793        
9.600614439    11350.1643        
9.59969281     11215.4902        
9.598771357    12398.7124        
9.597850082    11633.7795        
9.596928983    11128.7819        
9.596008061    11144.496         
9.595087315    11954.0778        
9.594166747    11189.1411        
9.593246355    11601.609         
9.592326139    11561.6032        
9.5914061      11166.0968        
9.590486238    11051.9615        
9.589566552    11068.3456        
9.588647042    11107.5356        
9.587727709    11194.7057        
9.586808551    11524.521         
9.585889571    11499.554         
9.584970766    11131.4547        
9.584052137    11185.5293        
9.583133685    11201.3815        
9.582215408    11098.0554        
9.581297308    11105.6155        
9.580379383    11050.351         
9.579461634    11158.4979        
9.578544061    11035.4117        
9.577626664    11112.2253        
9.576709443    11132.3373        
9.575792397    11935.4579        
9.574875527    11385.4558        
9.573958832    11062.7376        
9.573042313    11143.512         
9.572125969    11077.9068        
9.571209801    11302.8203        
9.570293808    11115.0559        
9.56937799     11389.7387        
9.568462348    11091.7536        
9.567546881    11168.7201        
9.566631589    11325.4584        
9.565716472    11191.8752        
9.56480153     11180.2613        
9.563886764    12026.3887        
9.562972172    11486.2976        
9.562057755    11075.6097        
9.561143513    11347.7524        
9.560229446    11066.3842        
9.559315553    11117.4769        
9.558401835    11278.8852        
9.557488292    11509.1909        
9.556574924    12498.1584        
9.55566173     11387.8683        
9.55474871     11167.1406        
9.553835865    11086.8065        
9.552923194    11148.4501        
9.552010698    11463.4511        
9.551098376    11370.8476        
9.550186229    11077.1507        
9.549274255    11304.0993        
9.548362456    11418.5603        
9.547450831    11348.3956        
9.546539379    11161.4805        
9.545628102    11472.7841        
9.544716999    11076.7166        
9.54380607     11129.4947        
9.542895314    11699.2865        
9.541984733    11483.1851        
9.541074325    11423.0431        
9.540164091    11214.8422        
9.53925403     11133.9684        
9.538344143    11226.8439        
9.53743443     11293.0443        
9.53652489     11154.537         
9.535615524    11244.794         
9.534706331    11120.0457        
9.533797311    11322.2426        
9.532888465    11298.6421        
9.531979792    11176.9677        
9.531071292    11211.8892        
9.530162966    11990.4006        
9.529254812    11490.9524        
9.528346832    11128.0475        
9.527439024    11108.0735        
9.52653139     11203.4638        
9.525623928    11240.3777        
9.52471664     11295.3986        
9.523809524    11154.794         
9.522902581    11332.5352        
9.52199581     11498.391         
9.521089213    11197.753         
9.520182788    11245.9797        
9.519276535    11214.9951        
9.518370455    11133.8327        
9.517464547    11256.7917        
9.516558812    11886.1661        
9.51565325     11263.6999        
9.514747859    11375.7658        
9.513842641    12009.0181        
9.512937595    11176.7697        
9.512032721    11308.4333        
9.51112802     11357.7322        
9.51022349     12030.0011        
9.509319133    11302.5838        
9.508414947    11285.1752        
9.507510934    11161.7783        
9.506607092    11476.8093        
9.505703422    11561.8376        
9.504799924    11850.1315        
9.503896598    12079.4855        
9.502993443    11157.783         
9.50209046     11216.7553        
9.501187648    11219.7583        
9.500285009    11457.0161        
9.49938254     12344.5432        
9.498480243    11430.9946        
9.497578118    11218.2109        
9.496676163    11261.1666        
9.49577438     11888.0344        
9.494872769    11709.4393        
9.493971328    11372.2483        
9.493070059    11369.6207        
9.492168961    12010.541         
9.491268033    11482.0936        
9.490367277    11562.8641        
9.489466692    11507.4446        
9.488566278    11603.726         
9.487666034    11235.6962        
9.486765961    11325.9613        
