#wvl [um]        modulation
10               0.0241234755      
9.9990001        0.0240201095      
9.9980004        0.0243515474      
9.9970009        0.0241355169      
9.9960016        0.0240895704      
9.9950025        0.0240329313      
9.9940036        0.0239844437      
9.9930049        0.0240060214      
9.99200639       0.0242753484      
9.99100809       0.0240875716      
9.99000999       0.0239919555      
9.98901209       0.0240962824      
9.98801438       0.0239870607      
9.98701688       0.024110526       
9.98601957       0.0239927179      
9.98502247       0.0239999604      
9.98402556       0.0240162985      
9.98302885       0.0240164122      
9.98203234       0.024145231       
9.98103603       0.024068896       
9.98003992       0.0240004071      
9.97904401       0.0239959586      
9.97804829       0.0240724537      
9.97705278       0.0241536459      
9.97605746       0.0240083855      
9.97506234       0.0240160357      
9.97406742       0.0240139219      
9.9730727        0.0239899555      
9.97207818       0.0240421653      
9.97108386       0.0240039949      
9.97008973       0.0243036156      
9.9690958        0.0239812301      
9.96810207       0.023991594       
9.96710854       0.0240074335      
9.96611521       0.024054879       
9.96512207       0.0240163261      
9.96412914       0.0241825134      
9.9631364        0.0243109806      
9.96214385       0.0240075026      
9.96115151       0.0240152619      
9.96015936       0.0240065169      
9.95916741       0.0240743971      
9.95817566       0.0239969166      
9.95718411       0.0239958956      
9.95619275       0.0240449601      
9.95520159       0.0240420795      
9.95421063       0.0239943368      
9.95321987       0.0240148237      
9.9522293        0.0239994393      
9.95123893       0.0240444598      
9.95024876       0.0241839107      
9.94925878       0.0239837274      
9.948269         0.0240288418      
9.94727942       0.0239936875      
9.94629003       0.0240734247      
9.94530085       0.0240220801      
9.94431185       0.0239897834      
9.94332306       0.0244290131      
9.94233446       0.024032198       
9.94134606       0.0239864581      
9.94035785       0.0240368206      
9.93936984       0.0240419934      
9.93838203       0.024024938       
9.93739442       0.0239873761      
9.936407         0.0241674912      
9.93541977       0.0240752354      
9.93443274       0.0239811271      
9.93344591       0.0240527658      
9.93245928       0.0240617408      
9.93147284       0.0240143453      
9.93048659       0.0240876657      
9.92950055       0.0240425967      
9.92851469       0.0241860771      
9.92752904       0.0239922035      
9.92654358       0.0240394374      
9.92555831       0.0240571995      
9.92457324       0.0240567176      
9.92358837       0.0239984863      
9.92260369       0.0240556978      
9.92161921       0.0240488857      
9.92063492       0.0239963954      
9.91965083       0.0240406329      
9.91866693       0.0240043247      
9.91768323       0.0242099655      
9.91669972       0.0239972932      
9.91571641       0.0239985798      
9.91473329       0.0241474691      
9.91375037       0.0240547975      
9.91276764       0.0241070956      
9.91178511       0.024078281       
9.91080278       0.0240088158      
9.90982063       0.0240058744      
9.90883868       0.0240392041      
9.90785693       0.0243396654      
9.90687537       0.0239833253      
9.90589401       0.0242396816      
9.90491284       0.0241486871      
9.90393186       0.0240037512      
9.90295108       0.023989674       
9.90197049       0.0240846606      
9.9009901        0.0240691609      
9.9000099        0.0242385433      
9.8990299        0.0242370707      
9.89805008       0.0245011542      
9.89707047       0.0240716348      
9.89609104       0.0243474529      
9.89511181       0.0242044562      
9.89413278       0.0242670753      
9.89315394       0.0242312152      
9.89217529       0.024215418       
9.89119683       0.0240613891      
9.89021857       0.0239957046      
9.88924051       0.0246009982      
9.88826263       0.0240735119      
9.88728495       0.0243094703      
9.88630746       0.0240182418      
9.88533017       0.0242527384      
9.88435307       0.0240063753      
9.88337616       0.0240086717      
9.88239945       0.0240149629      
9.88142292       0.0242926776      
9.8804466        0.0240057335      
9.87947046       0.0241559142      
9.87849452       0.0240983092      
9.87751877       0.0240519579      
9.87654321       0.0244578186      
9.87556785       0.0240361291      
9.87459267       0.0240208255      
9.87361769       0.024003534       
9.87264291       0.0240125698      
9.87166831       0.0240894321      
9.87069391       0.0241716733      
9.8697197        0.0242923009      
9.86874568       0.0240955519      
9.86777186       0.0241053993      
9.86679822       0.0239971934      
9.86582478       0.0240389264      
9.86485153       0.0242393541      
9.86387848       0.0240168337      
9.86290561       0.0239942567      
9.86193294       0.024051809       
9.86096046       0.0239968819      
9.85998817       0.0240127332      
9.85901607       0.0240469982      
9.85804416       0.0242423527      
9.85707245       0.0243368232      
9.85610093       0.0240680073      
9.85512959       0.0239970552      
9.85415845       0.024163423       
9.85318751       0.0240260409      
9.85221675       0.0240113517      
9.85124618       0.0239939234      
9.85027581       0.0240115052      
9.84930562       0.0240246037      
9.84833563       0.0239907287      
9.84736583       0.0240425634      
9.84639622       0.0240445936      
9.8454268        0.0242510179      
9.84445757       0.0239978864      
9.84348853       0.0241989889      
9.84251969       0.0241771823      
9.84155103       0.024013397       
9.84058256       0.0240204282      
9.83961429       0.0240563099      
9.8386462        0.0239858205      
9.83767831       0.0239983644      
9.8367106        0.0240011539      
9.83574309       0.0241254835      
9.83477577       0.0241855868      
9.83380863       0.0240128129      
9.83284169       0.0240356199      
9.83187494       0.0239841462      
9.83090838       0.0241973         
9.829942         0.0240860318      
9.82897582       0.0240373042      
9.82800983       0.0240472508      
9.82704403       0.0240582051      
9.82607841       0.0240560773      
9.82511299       0.0240155769      
9.82414776       0.024080433       
9.82318271       0.0240454913      
9.82221786       0.0240018717      
9.82125319       0.0239908144      
9.82028872       0.0240523628      
9.81932443       0.0239845731      
9.81836033       0.0240121259      
9.81739643       0.023992122       
9.81643271       0.0245501989      
9.81546918       0.0239904844      
9.81450584       0.0245860574      
9.81354269       0.0241040215      
9.81257973       0.024005203       
9.81161695       0.024024738       
9.81065437       0.0240290486      
9.80969198       0.0242455678      
9.80872977       0.0240462525      
9.80776775       0.0240050943      
9.80680592       0.0241022739      
9.80584428       0.0240454424      
9.80488283       0.0241842602      
9.80392157       0.0239860083      
9.80296049       0.0240082793      
9.80199961       0.024007157       
9.80103891       0.0240235797      
9.8000784        0.0240449144      
9.79911808       0.02401915        
9.79815795       0.0240458533      
9.797198         0.0244650069      
9.79623824       0.0240093495      
9.79527868       0.0239926409      
9.79431929       0.0239927014      
9.7933601        0.0240421772      
9.7924011        0.0243421269      
9.79144228       0.0241022484      
9.79048365       0.0240038506      
9.78952521       0.0240707895      
9.78856695       0.0240001627      
9.78760889       0.0240188331      
9.78665101       0.0241513939      
9.78569332       0.0243469617      
9.78473581       0.0239893888      
9.7837785        0.0243308905      
9.78282137       0.024105794       
9.78186442       0.0241189848      
9.78090767       0.0240840716      
9.7799511        0.0239926916      
9.77899472       0.0240605598      
9.77803853       0.0239937559      
9.77708252       0.0240457338      
9.7761267        0.0242744577      
9.77517107       0.0240084484      
9.77421562       0.0241941175      
9.77326036       0.0242467596      
9.77230529       0.0241337934      
9.7713504        0.0241095134      
9.7703957        0.0241418684      
9.76944119       0.0239997054      
9.76848686       0.0240280564      
9.76753272       0.0244061421      
9.76657877       0.0242180842      
9.765625         0.0244287246      
9.76467142       0.02427659        
9.76371802       0.0241192838      
9.76276481       0.0239821501      
9.76181179       0.0240241539      
9.76085896       0.0240233391      
9.7599063        0.0240099372      
9.75895384       0.0243310297      
9.75800156       0.0240548832      
9.75704947       0.0241400225      
9.75609756       0.0240039891      
9.75514584       0.0239856004      
9.7541943        0.0240060078      
9.75324295       0.0245156418      
9.75229179       0.023997486       
9.75134081       0.0239942485      
9.75039002       0.0240169365      
9.74943941       0.024047728       
9.74848898       0.0240206964      
9.74753875       0.0244214181      
9.74658869       0.024107247       
9.74563883       0.0240017062      
9.74468914       0.0240230142      
9.74373965       0.0240985712      
9.74279034       0.0240289682      
9.74184121       0.0240566752      
9.74089227       0.0240706623      
9.73994351       0.0240054589      
9.73899494       0.0241179788      
9.73804655       0.0239934266      
9.73709834       0.0240796017      
9.73615033       0.0240482507      
9.73520249       0.0240414668      
9.73425484       0.0240330939      
9.73330738       0.0241195173      
9.7323601        0.0240622476      
9.731413         0.0242639911      
9.73046609       0.0239957486      
9.72951936       0.0241922639      
9.72857282       0.0241057897      
9.72762646       0.0240518251      
9.72668028       0.0240165693      
9.72573429       0.0243303459      
9.72478849       0.0240811632      
