#wvl [um]      Flux [erg/s/cm]
2.34521576     72454.4852        
2.34494079     72447.6257        
2.344665885    72440.7642        
2.344391044    72433.9008        
2.344116268    72427.0353        
2.343841556    72420.1679        
2.343566909    72413.2985        
2.343292326    72406.4271        
2.343017807    72399.5538        
2.342743352    72392.6784        
2.342468962    72385.8011        
2.342194636    72378.9218        
2.341920375    72372.0405        
2.341646177    72365.1573        
2.341372044    72358.2721        
2.341097975    72351.3849        
2.34082397     72344.4957        
2.340550029    72337.6046        
2.340276153    72330.7115        
2.34000234     72323.8165        
2.339728591    72316.9195        
2.339454907    72310.0205        
2.339181287    72303.1195        
2.33890773     72296.2166        
2.338634238    72289.3118        
2.338360809    72282.405         
2.338087444    72275.4962        
2.337814144    72268.5854        
2.337540907    72261.6728        
2.337267734    72254.7581        
2.336994625    72247.8415        
2.33672158     72240.923         
2.336448598    72234.0025        
2.33617568     72227.08          
2.335902826    72220.1557        
2.335630036    72213.2293        
2.33535731     72206.301         
2.335084647    72199.3708        
2.334812048    72192.4387        
2.334539512    72185.5045        
2.33426704     72178.5685        
2.333994632    72171.6305        
2.333722287    72164.6906        
2.333450006    72157.7487        
2.333177788    72150.8049        
2.332905634    72143.8592        
2.332633543    72136.9115        
2.332361516    72129.9619        
2.332089552    72123.0104        
2.331817652    72116.057         
2.331545815    72109.1016        
2.331274041    72102.1443        
2.331002331    72095.1851        
2.330730684    72088.2239        
2.3304591      72081.2608        
2.33018758     72074.2958        
2.329916123    72067.3289        
2.329644729    72060.3601        
2.329373399    72053.3893        
2.329102131    72046.4166        
2.328830927    72039.442         
2.328559786    72032.4655        
2.328288708    72025.4871        
2.328017693    72018.5068        
2.327746741    72011.5245        
2.327475852    72004.5404        
2.327205027    71997.5543        
2.326934264    71990.5664        
2.326663564    71983.5765        
2.326392928    71976.5847        
2.326122354    71969.591         
2.325851843    71962.5954        
2.325581395    71955.598         
2.32531101     71948.5986        
2.325040688    71941.5973        
2.324770429    71934.5941        
2.324500232    71927.589         
2.324230099    71920.5821        
2.323960028    71913.5732        
2.32369002     71906.5624        
2.323420074    71899.5498        
2.323150192    71892.5353        
2.322880372    71885.5188        
2.322610614    71878.5005        
2.32234092     71871.4803        
2.322071288    71864.4582        
2.321801718    71857.4342        
2.321532211    71850.4084        
2.321262767    71843.3807        
2.320993385    71836.351         
2.320724066    71829.3195        
2.320454809    71822.2862        
2.320185615    71815.2509        
2.319916483    71808.2138        
2.319647414    71801.1748        
2.319378407    71794.1339        
2.319109462    71787.0912        
2.31884058     71780.0465        
2.31857176     71773.0001        
2.318303002    71765.9517        
2.318034307    71758.9015        
2.317765674    71751.8494        
2.317497103    71744.7954        
2.317228595    71737.7396        
2.316960148    71730.6819        
2.316691764    71723.6224        
2.316423442    71716.561         
2.316155182    71709.4977        
2.315886985    71702.4326        
2.315618849    71695.3656        
2.315350776    71688.2968        
2.315082764    71681.2261        
2.314814815    71674.1536        
2.314546927    71667.0792        
2.314279102    71660.003         
2.314011339    71652.9249        
2.313743637    71645.8449        
2.313475998    71638.7632        
2.31320842     71631.6795        
2.312940904    71624.5941        
2.312673451    71617.5068        
2.312406059    71610.4176        
2.312138728    71603.3266        
2.31187146     71596.2338        
2.311604253    71589.1391        
2.311337109    71582.0426        
2.311070025    71574.9442        
2.310803004    71567.844         
2.310536044    71560.742         
2.310269146    71553.6382        
2.31000231     71546.5325        
2.309735535    71539.425         
2.309468822    71532.3156        
2.309202171    71525.2045        
2.308935581    71518.0915        
2.308669052    71510.9767        
2.308402585    71503.86          
2.30813618     71496.7415        
2.307869836    71489.6213        
2.307603554    71482.4991        
2.307337333    71475.3752        
2.307071173    71468.2495        
2.306805075    71461.1219        
2.306539038    71453.9925        
2.306273063    71446.8613        
2.306007149    71439.7283        
2.305741296    71432.5935        
2.305475504    71425.4569        
2.305209774    71418.3185        
2.304944105    71411.1782        
2.304678497    71404.0361        
2.304412951    71396.8923        
2.304147465    71389.7466        
2.303882041    71382.5992        
2.303616678    71375.4499        
2.303351376    71368.2988        
2.303086135    71361.1459        
2.302820956    71353.9913        
2.302555837    71346.8348        
2.302290779    71339.6765        
2.302025783    71332.5165        
2.301760847    71325.3546        
2.301495972    71318.191         
2.301231159    71311.0255        
2.300966406    71303.8583        
2.300701714    71296.6893        
2.300437083    71289.5185        
2.300172513    71282.3459        
2.299908004    71275.1715        
2.299643555    71267.9953        
2.299379168    71260.8174        
2.299114841    71253.6376        
2.298850575    71246.4561        
2.298586369    71239.2728        
2.298322225    71232.0878        
2.298058141    71224.9009        
2.297794118    71217.7123        
2.297530155    71210.5219        
2.297266253    71203.3297        
