#wvl [um]      Flux [erg/s/cm]
3.300330033    80029.5021        
3.299785514    80031.5802        
3.299241175    80033.6529        
3.298697015    80035.7205        
3.298153034    80037.7829        
3.297609233    80039.84          
3.297065612    80041.8919        
3.296522169    80043.9386        
3.295978906    80045.98          
3.295435821    80048.0163        
3.294892916    80050.0473        
3.294350189    80052.0731        
3.293807642    80054.0937        
3.293265273    80056.1091        
3.292723082    80058.1193        
3.29218107     80060.1242        
3.291639236    80062.124         
3.291097581    80064.1185        
3.290556104    80066.1079        
3.290014805    80068.092         
3.289473684    80070.0709        
3.288932741    80072.0447        
3.288391976    80074.0132        
3.287851389    80075.9765        
3.28731098     80077.9346        
3.286770748    80079.8875        
3.286230693    80081.8353        
3.285690816    80083.7778        
3.285151117    80085.7151        
3.284611595    80087.6472        
3.28407225     80089.5742        
3.283533082    80091.4959        
3.282994091    80093.4125        
3.282455277    80095.3238        
3.281916639    80097.23          
3.281378179    80099.131         
3.280839895    80101.0268        
3.280301788    80102.9174        
3.279763857    80104.8028        
3.279226103    80106.683         
3.278688525    80108.5581        
3.278151123    80110.428         
3.277613897    80112.2927        
3.277076847    80114.1522        
3.276539974    80116.0065        
3.276003276    80117.8557        
3.275466754    80119.6997        
3.274930408    80121.5385        
3.274394237    80123.3721        
3.273858242    80125.2006        
3.273322422    80127.0239        
3.272786778    80128.842         
3.272251309    80130.655         
3.271716015    80132.4627        
3.271180896    80134.2654        
3.270645953    80136.0628        
3.270111184    80137.8551        
3.26957659     80139.6422        
3.269042171    80141.4242        
3.268507926    80143.201         
3.267973856    80144.9726        
3.267439961    80146.7391        
3.26690624     80148.5005        
3.266372693    80150.2566        
3.265839321    80152.0076        
3.265306122    80153.7535        
3.264773098    80155.4942        
3.264240248    80157.2298        
3.263707572    80158.9602        
3.263175069    80160.6854        
3.262642741    80162.4055        
3.262110586    80164.1205        
3.261578604    80165.8303        
3.261046796    80167.535         
3.260515161    80169.2345        
3.2599837      80170.9289        
3.259452412    80172.6181        
3.258921297    80174.3022        
3.258390355    80175.9812        
3.257859586    80177.655         
3.25732899     80179.3237        
