#wvl [um]        modulation
3.30033003       0.0138695473      
3.29978551       0.0138695473      
3.29924117       0.0138695473      
3.29869701       0.0138695473      
3.29815303       0.0138695473      
3.29760923       0.0138695473      
3.29706561       0.0138695473      
3.29652217       0.0138695473      
3.29597891       0.0138695473      
3.29543582       0.0138695473      
3.29489292       0.0138695473      
3.29435019       0.0138695473      
3.29380764       0.0138695473      
3.29326527       0.0138695473      
3.29272308       0.0138695473      
3.29218107       0.0138695473      
3.29163924       0.0138695473      
3.29109758       0.0138695473      
3.2905561        0.0138695473      
3.29001481       0.0138695473      
3.28947368       0.0138695473      
3.28893274       0.0138695473      
3.28839198       0.0138695473      
3.28785139       0.0138695473      
3.28731098       0.0138695473      
3.28677075       0.0138695473      
3.28623069       0.0138695473      
3.28569082       0.0138695473      
3.28515112       0.0138695473      
3.28461159       0.0138695473      
3.28407225       0.0138695473      
3.28353308       0.0138695473      
3.28299409       0.0138695473      
3.28245528       0.0138695473      
3.28191664       0.0138695473      
3.28137818       0.0138695473      
3.2808399        0.0138695473      
3.28030179       0.0138695473      
3.27976386       0.0138695473      
3.2792261        0.0138695473      
3.27868852       0.0138695473      
3.27815112       0.0138695473      
3.2776139        0.0138695473      
3.27707685       0.0138695473      
3.27653997       0.0138695473      
3.27600328       0.0138695473      
3.27546675       0.0138695473      
3.27493041       0.0138695473      
3.27439424       0.0138695473      
3.27385824       0.0138695473      
3.27332242       0.0138695473      
3.27278678       0.0138695473      
3.27225131       0.0138695473      
3.27171602       0.0138695473      
3.2711809        0.0138695473      
3.27064595       0.0138695473      
3.27011118       0.0138695473      
3.26957659       0.0138695473      
3.26904217       0.0138695473      
3.26850793       0.0138695473      
3.26797386       0.0138695473      
3.26743996       0.0138695473      
3.26690624       0.0138695473      
3.26637269       0.0138695473      
3.26583932       0.0138695473      
3.26530612       0.0138695473      
3.2647731        0.0138695473      
3.26424025       0.0138695473      
3.26370757       0.0138695473      
3.26317507       0.0138695473      
3.26264274       0.0138695473      
3.26211059       0.0138695473      
3.2615786        0.0138695473      
3.2610468        0.0138695473      
3.26051516       0.0138695473      
3.2599837        0.0138695473      
3.25945241       0.0138695473      
3.2589213        0.0138695473      
3.25839036       0.0138695473      
3.25785959       0.0138695473      
3.25732899       0.0138695473      
3.25679857       0.0138695473      
3.25626832       0.0138695473      
3.25573824       0.0138695473      
3.25520833       0.0138695473      
3.2546786        0.0138695473      
3.25414904       0.0138695473      
3.25361965       0.0138695473      
3.25309044       0.0138695473      
3.25256139       0.0138695473      
3.25203252       0.0138695473      
3.25150382       0.0138695473      
3.25097529       0.0138695473      
3.25044694       0.0138695473      
3.24991875       0.0138695473      
3.24939074       0.0138695473      
3.2488629        0.0138695473      
3.24833523       0.0138695473      
3.24780773       0.0138695473      
3.2472804        0.0138695473      
3.24675325       0.0138695473      
3.24622626       0.0138695473      
3.24569945       0.0138695473      
3.24517281       0.0138695473      
3.24464633       0.0138695473      
3.24412003       0.0138695473      
3.2435939        0.0138695473      
3.24306794       0.0138695473      
3.24254215       0.0138695473      
3.24201653       0.0138695473      
3.24149109       0.0138695473      
3.24096581       0.0138695473      
3.2404407        0.0138695473      
3.23991576       0.0138695473      
3.23939099       0.0138695473      
3.2388664        0.0138695473      
3.23834197       0.0138695473      
3.23781771       0.0138695473      
3.23729362       0.0138695473      
3.2367697        0.0138695473      
3.23624595       0.0138695473      
3.23572238       0.0138695473      
3.23519896       0.0138695473      
3.23467572       0.0138695473      
3.23415265       0.0138695473      
3.23362975       0.0138695473      
3.23310702       0.0138695473      
3.23258445       0.0138695473      
3.23206206       0.0138695473      
3.23153983       0.0138695473      
3.23101777       0.0138695473      
3.23049588       0.0138695473      
3.22997416       0.0138695473      
3.22945261       0.0138695474      
3.22893122       0.0138695474      
3.22841001       0.0138695474      
3.22788896       0.0138695474      
3.22736808       0.0138695474      
3.22684737       0.0138695474      
3.22632683       0.0138695474      
3.22580645       0.0138695475      
3.22528624       0.0138695475      
3.2247662        0.0138695476      
3.22424633       0.0138695478      
3.22372663       0.013869548       
3.22320709       0.0138695485      
3.22268772       0.015596152       
3.22216852       0.0138695485      
3.22164948       0.013869548       
3.22113062       0.0138695478      
3.22061192       0.0138695476      
3.22009338       0.0138695475      
3.21957502       0.0138695475      
3.21905682       0.0138695474      
3.21853878       0.0138695474      
3.21802092       0.0138695474      
3.21750322       0.0138695474      
3.21698568       0.0138695474      
3.21646832       0.0138695474      
3.21595112       0.0138695474      
3.21543408       0.0138695473      
3.21491722       0.0138695473      
3.21440051       0.0138695473      
3.21388398       0.0138695473      
3.21336761       0.0138695473      
3.21285141       0.0138695473      
3.21233537       0.0138695473      
3.2118195        0.0138695473      
3.21130379       0.0138695473      
3.21078825       0.0138695473      
3.21027287       0.0138695473      
3.20975766       0.0138695473      
3.20924262       0.0138695473      
3.20872774       0.0138695473      
3.20821303       0.0138695473      
3.20769848       0.0138695473      
3.20718409       0.0138695473      
3.20666987       0.0138695473      
3.20615582       0.0138695473      
3.20564193       0.0138695473      
3.20512821       0.0138695473      
3.20461465       0.0138695473      
3.20410125       0.0138695473      
3.20358802       0.0138695473      
3.20307495       0.0138695473      
3.20256205       0.0138695473      
3.20204931       0.0138695473      
3.20153674       0.0138695473      
3.20102433       0.0138695473      
3.20051208       0.0138695473      
3.2              0.0138695473      
3.19948808       0.0138695473      
3.19897633       0.0138695473      
3.19846474       0.0138695473      
3.19795331       0.0138695473      
3.19744205       0.0138695473      
3.19693095       0.0138695473      
3.19642001       0.0138695473      
3.19590924       0.0138695473      
3.19539863       0.0138695473      
3.19488818       0.0138695473      
3.19437789       0.0138695473      
3.19386777       0.0138695473      
3.19335782       0.0138695473      
3.19284802       0.0138695473      
3.19233839       0.0138695473      
3.19182892       0.0138695473      
3.19131961       0.0138695473      
3.19081047       0.0138695473      
3.19030148       0.0138695473      
3.18979266       0.0138695473      
3.18928401       0.0138695473      
3.18877551       0.0138695473      
3.18826718       0.0138695473      
3.18775901       0.0138695473      
3.187251         0.0138695473      
3.18674315       0.0138695473      
3.18623546       0.0138695473      
3.18572794       0.0138695473      
3.18522058       0.0138695473      
3.18471338       0.0138695473      
3.18420634       0.0138695473      
3.18369946       0.0138695473      
3.18319274       0.0138695473      
3.18268619       0.0138695473      
3.18217979       0.0138695473      
3.18167356       0.0138695473      
3.18116749       0.0138695473      
3.18066158       0.0138695473      
3.18015583       0.0138695473      
3.17965024       0.0138695473      
3.17914481       0.0138695473      
3.17863954       0.0138695473      
3.17813444       0.0138695473      
3.17762949       0.0138695473      
3.1771247        0.0138695473      
3.17662008       0.0138695473      
3.17611561       0.0138695473      
3.17561131       0.0138695473      
3.17510716       0.0138695473      
3.17460317       0.0138695473      
3.17409935       0.0138695473      
3.17359568       0.0138695473      
3.17309218       0.0138695473      
3.17258883       0.0138695473      
3.17208565       0.0138695473      
3.17158262       0.0138695473      
3.17107975       0.0138695473      
3.17057705       0.0138695473      
3.1700745        0.0138695473      
3.16957211       0.0138695473      
3.16906988       0.0138695473      
3.16856781       0.0138695473      
3.1680659        0.0138695473      
3.16756414       0.0138695473      
3.16706255       0.0138695473      
3.16656111       0.0138695473      
3.16605984       0.0138695473      
3.16555872       0.0138695473      
3.16505776       0.0138695473      
3.16455696       0.0138695473      
3.16405632       0.0138695473      
3.16355584       0.0138695473      
3.16305551       0.0138695473      
3.16255534       0.0138695473      
3.16205534       0.0138695473      
3.16155549       0.0138695473      
3.16105579       0.0138695473      
3.16055626       0.0138695473      
3.16005688       0.0138695473      
3.15955766       0.0138695473      
3.1590586        0.0138695473      
3.1585597        0.0138695473      
3.15806095       0.0138695473      
3.15756236       0.0138695473      
3.15706393       0.0138695473      
3.15656566       0.0138695473      
3.15606754       0.0138695473      
3.15556958       0.0138695473      
3.15507178       0.0138695473      
3.15457413       0.0138695473      
3.15407664       0.0138695473      
3.15357931       0.0138695473      
3.15308214       0.0138695473      
3.15258512       0.0138695473      
3.15208826       0.0138695473      
3.15159155       0.0138695473      
3.15109501       0.0138695473      
3.15059861       0.0138695473      
3.15010238       0.0138695473      
3.1496063        0.0138695473      
3.14911038       0.0138695473      
3.14861461       0.0138695473      
3.148119         0.0138695473      
3.14762354       0.0138695473      
3.14712825       0.0138695473      
3.1466331        0.0138695473      
3.14613812       0.0138695473      
3.14564328       0.0138695473      
3.14514861       0.0138695473      
3.14465409       0.0138695473      
3.14415972       0.0138695473      
3.14366551       0.0138695473      
3.14317146       0.0138695473      
3.14267756       0.0138695473      
3.14218382       0.0138695473      
3.14169023       0.0138695473      
3.1411968        0.0138695473      
3.14070352       0.0138695473      
3.14021039       0.0138695473      
3.13971743       0.0138695473      
3.13922461       0.0138695473      
3.13873195       0.0138695473      
3.13823945       0.0138695473      
3.1377471        0.0138695473      
3.1372549        0.0138695473      
3.13676286       0.0138695473      
3.13627097       0.0138695473      
3.13577924       0.0138695473      
3.13528766       0.0138695473      
3.13479624       0.0138695473      
3.13430497       0.0138695473      
3.13381385       0.0138695473      
3.13332289       0.0138695473      
