#wvl [um]      Flux [erg/s/cm]
4              74696.9393        
3.99960004     74701.0016        
3.99920016     74705.0624        
3.99880036     74709.1217        
3.99840064     74713.1795        
3.998001       74717.2358        
3.997601439    74721.2906        
3.997201959    74725.3439        
3.996802558    74729.3956        
3.996403237    74733.4459        
3.996003996    74737.4946        
3.995604835    74741.5419        
3.995205753    74745.5876        
3.994806751    74749.6318        
3.994407829    74753.6745        
3.994008987    74757.7157        
3.993610224    74761.7554        
3.99321154     74765.7936        
3.992812937    74769.8303        
3.992414413    74773.8654        
3.992015968    74777.8991        
3.991617603    74781.9312        
3.991219318    74785.9619        
3.990821111    74789.991         
3.990422985    74794.0186        
3.990024938    74798.0447        
3.98962697     74802.0693        
3.989229081    74806.0924        
3.988831272    74810.114         
3.988433543    74814.1341        
3.988035892    74818.1527        
3.987638321    74822.1697        
3.987240829    74826.1853        
3.986843417    74830.1993        
3.986446083    74834.2119        
3.986048829    74838.2229        
3.985651654    74842.2324        
3.985254558    74846.2404        
3.984857541    74850.2469        
3.984460604    74854.2519        
3.984063745    74858.2554        
3.983666965    74862.2574        
3.983270265    74866.2579        
3.982873643    74870.2568        
3.982477101    74874.2543        
3.982080637    74878.2503        
3.981684252    74882.2447        
3.981287947    74886.2376        
3.98089172     74890.2291        
3.980495572    74894.219         
3.980099502    74898.2074        
3.979703512    74902.1943        
3.9793076      74906.1797        
3.978911768    74910.1636        
3.978516014    74914.146         
3.978120338    74918.1269        
3.977724741    74922.1062        
3.977329223    74926.0841        
3.976933784    74930.0604        
3.976538423    74934.0353        
3.976143141    74938.0086        
3.975747938    74941.9805        
3.975352813    74945.9508        
3.974957766    74949.9196        
3.974562798    74953.8869        
3.974167909    74957.8527        
3.973773098    74961.817         
3.973378365    74965.7798        
3.972983711    74969.7411        
3.972589135    74973.7009        
3.972194638    74977.6592        
3.971800218    74981.6159        
3.971405878    74985.5712        
3.971011615    74989.5249        
3.970617431    74993.4772        
3.970223325    74997.4279        
3.969829297    75001.3772        
3.969435348    75005.3249        
3.969041476    75009.2711        
3.968647683    75013.2158        
3.968253968    75017.159         
3.967860331    75021.1007        
3.967466772    75025.0409        
3.967073292    75028.9796        
3.966679889    75032.9168        
3.966286564    75036.8525        
3.965893317    75040.7866        
3.965500149    75044.7193        
3.965107058    75048.6505        
3.964714045    75052.5801        
3.96432111     75056.5083        
3.963928253    75060.4349        
3.963535474    75064.3601        
3.963142772    75068.2837        
3.962750149    75072.2058        
3.962357603    75076.1264        
3.961965135    75080.0456        
3.961572744    75083.9632        
3.961180432    75087.8793        
3.960788197    75091.7939        
3.96039604     75095.707         
3.96000396     75099.6185        
3.959611958    75103.5286        
3.959220034    75107.4372        
3.958828187    75111.3443        
3.958436418    75115.2498        
3.958044726    75119.1539        
3.957653112    75123.0565        
3.957261575    75126.9575        
3.956870116    75130.8571        
3.956478734    75134.7551        
3.95608743     75138.6517        
3.955696203    75142.5467        
3.955305053    75146.4402        
3.954913981    75150.3322        
3.954522986    75154.2228        
3.954132068    75158.1118        
3.953741228    75161.9993        
3.953350465    75165.8853        
3.952959779    75169.7698        
3.95256917     75173.6528        
3.952178638    75177.5343        
3.951788184    75181.4143        
3.951397807    75185.2927        
3.951007507    75189.1697        
3.950617284    75193.0452        
3.950227138    75196.9192        
3.949837069    75200.7916        
3.949447077    75204.6626        
3.949057163    75208.5321        
3.948667325    75212.4           
3.948277564    75216.2665        
3.94788788     75220.1314        
3.947498273    75223.9949        
3.947108743    75227.8568        
3.94671929     75231.7172        
3.946329913    75235.5762        
3.945940614    75239.4336        
3.945551391    75243.2895        
3.945162245    75247.144         
3.944773176    75250.9969        
3.944384183    75254.8483        
3.943995267    75258.6982        
3.943606428    75262.5466        
3.943217666    75266.3935        
3.94282898     75270.2389        
3.942440371    75274.0828        
3.942051838    75277.9252        
3.941663382    75281.7661        
3.941275002    75285.6055        
3.9408867      75289.4434        
3.940498473    75293.2798        
3.940110323    75297.1146        
3.93972225     75300.948         
3.939334253    75304.7799        
3.938946332    75308.6103        
3.938558488    75312.4391        
3.93817072     75316.2665        
3.937783028    75320.0924        
3.937395413    75323.9167        
3.937007874    75327.7396        
3.936620411    75331.5609        
3.936233025    75335.3808        
3.935845715    75339.1991        
3.935458481    75343.016         
3.935071323    75346.8313        
3.934684242    75350.6452        
3.934297236    75354.4575        
3.933910307    75358.2684        
3.933523454    75362.0777        
3.933136676    75365.8856        
3.932749975    75369.6919        
3.93236335     75373.4967        
3.931976801    75377.3           
3.931590328    75381.1019        
3.931203931    75384.9022        
3.93081761     75388.701         
3.930431365    75392.4984        
3.930045196    75396.2942        
3.929659102    75400.0885        
3.929273084    75403.8813        
3.928887143    75407.6726        
3.928501277    75411.4625        
3.928115487    75415.2508        
3.927729772    75419.0376        
3.927344134    75422.8229        
3.926958571    75426.6067        
3.926573083    75430.389         
3.926187672    75434.1698        
3.925802336    75437.9491        
3.925417076    75441.7269        
3.925031891    75445.5032        
3.924646782    75449.2781        
3.924261748    75453.0514        
3.92387679     75456.8232        
3.923491908    75460.5935        
3.923107101    75464.3623        
3.922722369    75468.1296        
3.922337713    75471.8954        
3.921953133    75475.6597        
3.921568627    75479.4225        
3.921184198    75483.1838        
3.920799843    75486.9436        
3.920415564    75490.7019        
3.92003136     75494.4587        
3.919647232    75498.214         
3.919263179    75501.9678        
3.918879201    75505.7201        
3.918495298    75509.4709        
3.91811147     75513.2202        
3.917727718    75516.9679        
3.917344041    75520.7142        
3.916960439    75524.459         
3.916576912    75528.2023        
3.91619346     75531.9441        
3.915810083    75535.6844        
3.915426782    75539.4232        
3.915043555    75543.1605        
3.914660403    75546.8963        
3.914277327    75550.6306        
3.913894325    75554.3634        
3.913511398    75558.0947        
3.913128546    75561.8245        
3.912745769    75565.5528        
3.912363067    75569.2796        
3.91198044     75573.005         
3.911597888    75576.7288        
3.91121541     75580.4511        
3.910833007    75584.1719        
3.910450679    75587.8912        
3.910068426    75591.609         
3.909686248    75595.3253        
3.909304144    75599.0401        
3.908922115    75602.7534        
3.90854016     75606.4652        
3.90815828     75610.1755        
3.907776475    75613.8844        
3.907394745    75617.5917        
3.907013088    75621.2975        
3.906631507    75625.0018        
3.90625        75628.7046        
3.905868568    75632.406         
3.90548721     75636.1058        
3.905105926    75639.8041        
3.904724717    75643.501         
3.904343582    75647.1963        
3.903962522    75650.8901        
3.903581536    75654.5825        
3.903200625    75658.2733        
3.902819787    75661.9626        
3.902439024    75665.6505        
3.902058336    75669.3368        
3.901677721    75673.0217        
3.901297181    75676.705         
3.900916715    75680.3869        
3.900536324    75684.0672        
3.900156006    75687.7461        
