#wvl [um]        modulation
4                0.0138695473      
3.99960004       0.0138695473      
3.99920016       0.0138695473      
3.99880036       0.0138695473      
3.99840064       0.0138695473      
3.998001         0.0138695473      
3.99760144       0.0138695473      
3.99720196       0.0138695473      
3.99680256       0.0138695473      
3.99640324       0.0138695473      
3.996004         0.0138695473      
3.99560483       0.0138695473      
3.99520575       0.0138695473      
3.99480675       0.0138695473      
3.99440783       0.0138695473      
3.99400899       0.0138695473      
3.99361022       0.0138695473      
3.99321154       0.0138695473      
3.99281294       0.0138695473      
3.99241441       0.0138695473      
3.99201597       0.0138695473      
3.9916176        0.0138695473      
3.99121932       0.0138695473      
3.99082111       0.0138695473      
3.99042298       0.0138695473      
3.99002494       0.0138695473      
3.98962697       0.0138695473      
3.98922908       0.0138695473      
3.98883127       0.0138695473      
3.98843354       0.0138695473      
3.98803589       0.0138695473      
3.98763832       0.0138695473      
3.98724083       0.0138695473      
3.98684342       0.0138695473      
3.98644608       0.0138695473      
3.98604883       0.0138695473      
3.98565165       0.0138695473      
3.98525456       0.0138695473      
3.98485754       0.0138695473      
3.9844606        0.0138695473      
3.98406375       0.0138695473      
3.98366697       0.0138695473      
3.98327026       0.0138695473      
3.98287364       0.0138695473      
3.9824771        0.0138695473      
3.98208064       0.0138695473      
3.98168425       0.0138695473      
3.98128795       0.0138695473      
3.98089172       0.0138695473      
3.98049557       0.0138695473      
3.9800995        0.0138695473      
3.97970351       0.0138695473      
3.9793076        0.0138695473      
3.97891177       0.0138695473      
3.97851601       0.0138695473      
3.97812034       0.0138695473      
3.97772474       0.0138695473      
3.97732922       0.0138695473      
3.97693378       0.0138695473      
3.97653842       0.0138695473      
3.97614314       0.0138695473      
3.97574794       0.0138695473      
3.97535281       0.0138695473      
3.97495777       0.0138695473      
3.9745628        0.0138695473      
3.97416791       0.0138695473      
3.9737731        0.0138695473      
3.97337836       0.0138695473      
3.97298371       0.0138695473      
3.97258913       0.0138695473      
3.97219464       0.0138695473      
3.97180022       0.0138695473      
3.97140588       0.0138695473      
3.97101162       0.0138695473      
3.97061743       0.0138695473      
3.97022333       0.0138695473      
3.9698293        0.0138695473      
3.96943535       0.0138695473      
3.96904148       0.0138695473      
3.96864768       0.0138695473      
3.96825397       0.0138695473      
3.96786033       0.0138695473      
3.96746677       0.0138695473      
3.96707329       0.0138695473      
3.96667989       0.0138695473      
3.96628656       0.0138695473      
3.96589332       0.0138695473      
3.96550015       0.0138695473      
3.96510706       0.0138695473      
3.96471404       0.0138695473      
3.96432111       0.0138695473      
3.96392825       0.0138695473      
3.96353547       0.0138695473      
3.96314277       0.0138695473      
3.96275015       0.0138695473      
3.9623576        0.0138695473      
3.96196513       0.0138695473      
3.96157274       0.0138695473      
3.96118043       0.0138695473      
3.9607882        0.0138695473      
3.96039604       0.0138695473      
3.96000396       0.0138695473      
3.95961196       0.0138695473      
3.95922003       0.0138695473      
3.95882819       0.0138695473      
3.95843642       0.0138695473      
3.95804473       0.0138695473      
3.95765311       0.0138695473      
3.95726157       0.0138695473      
3.95687012       0.0138695473      
3.95647873       0.0138695473      
3.95608743       0.0138695473      
3.9556962        0.0138695473      
3.95530505       0.0138695473      
3.95491398       0.0138695473      
3.95452299       0.0138695473      
3.95413207       0.0138695473      
3.95374123       0.0138695473      
3.95335046       0.0138695473      
3.95295978       0.0138695473      
3.95256917       0.0138695473      
3.95217864       0.0138695473      
3.95178818       0.0138695473      
3.95139781       0.0138695473      
3.95100751       0.0138695473      
3.95061728       0.0138695473      
3.95022714       0.0138695473      
3.94983707       0.0138695473      
3.94944708       0.0138695473      
3.94905716       0.0138695473      
3.94866732       0.0138695473      
3.94827756       0.0138695473      
3.94788788       0.0138695473      
3.94749827       0.0138695473      
3.94710874       0.0138695473      
3.94671929       0.0138695473      
3.94632991       0.0138695473      
3.94594061       0.0138695473      
3.94555139       0.0138695473      
3.94516224       0.0138695473      
3.94477318       0.0138695473      
3.94438418       0.0138695473      
3.94399527       0.0138695473      
3.94360643       0.0138695473      
3.94321767       0.0138695473      
3.94282898       0.0138695473      
3.94244037       0.0138695473      
3.94205184       0.0138695473      
3.94166338       0.0138695473      
3.941275         0.0138695473      
3.9408867        0.0138695473      
3.94049847       0.0138695473      
3.94011032       0.0138695473      
3.93972225       0.0138695473      
3.93933425       0.0138695473      
3.93894633       0.0138695473      
3.93855849       0.0138695473      
3.93817072       0.0138695473      
3.93778303       0.0138695473      
3.93739541       0.0138695473      
3.93700787       0.0138695473      
3.93662041       0.0138695473      
3.93623302       0.0138695473      
3.93584571       0.0138695473      
3.93545848       0.0138695473      
3.93507132       0.0138695473      
3.93468424       0.0138695473      
3.93429724       0.0138695473      
3.93391031       0.0138695473      
3.93352345       0.0138695473      
3.93313668       0.0138695473      
3.93274998       0.0138695473      
3.93236335       0.0138695473      
3.9319768        0.0138695473      
3.93159033       0.0138695473      
3.93120393       0.0138695473      
3.93081761       0.0138695473      
3.93043136       0.0138695473      
3.9300452        0.0138695473      
3.9296591        0.0138695473      
3.92927308       0.0138695473      
3.92888714       0.0138695473      
3.92850128       0.0138695473      
3.92811549       0.0138695473      
3.92772977       0.0138695473      
3.92734413       0.0138695473      
3.92695857       0.0138695473      
3.92657308       0.0138695473      
3.92618767       0.0138695473      
3.92580234       0.0138695473      
3.92541708       0.0138695473      
3.92503189       0.0138695473      
3.92464678       0.0138695473      
3.92426175       0.0138695473      
3.92387679       0.0138695473      
3.92349191       0.0138695473      
3.9231071        0.0138695473      
3.92272237       0.0138695473      
3.92233771       0.0138695473      
3.92195313       0.0138695473      
3.92156863       0.0138695473      
3.9211842        0.0138695473      
3.92079984       0.0138695473      
3.92041556       0.0138695473      
3.92003136       0.0138695473      
3.91964723       0.0138695473      
3.91926318       0.0138695473      
3.9188792        0.0138695473      
3.9184953        0.0138695473      
3.91811147       0.0138695473      
3.91772772       0.0138695473      
3.91734404       0.0138695473      
3.91696044       0.0138695473      
3.91657691       0.0138695473      
3.91619346       0.0138695473      
3.91581008       0.0138695473      
3.91542678       0.0138695473      
3.91504355       0.0138695473      
3.9146604        0.0138695473      
3.91427733       0.0138695473      
3.91389432       0.0138695473      
3.9135114        0.0138695473      
3.91312855       0.0138695473      
3.91274577       0.0138695473      
3.91236307       0.0138695473      
3.91198044       0.0138695473      
3.91159789       0.0138695473      
3.91121541       0.0138695473      
3.91083301       0.0138695473      
3.91045068       0.0138695473      
3.91006843       0.0138695473      
3.90968625       0.0138695473      
3.90930414       0.0138695473      
3.90892211       0.0138695473      
3.90854016       0.0138695473      
3.90815828       0.0138695473      
3.90777648       0.0138695473      
3.90739474       0.0138695473      
3.90701309       0.0138695473      
3.90663151       0.0138695473      
3.90625          0.0138695473      
3.90586857       0.0138695473      
3.90548721       0.0138695473      
3.90510593       0.0138695473      
3.90472472       0.0138695473      
3.90434358       0.0138695473      
3.90396252       0.0138695473      
3.90358154       0.0138695473      
3.90320062       0.0138695473      
3.90281979       0.0138695473      
3.90243902       0.0138695473      
3.90205834       0.0138695473      
3.90167772       0.0138695473      
3.90129718       0.0138695473      
3.90091672       0.0138695473      
3.90053632       0.0138695473      
3.90015601       0.0138695473      
3.89977576       0.0138695473      
3.89939559       0.0138695473      
3.8990155        0.0138695473      
3.89863548       0.0138695473      
3.89825553       0.0138695473      
3.89787566       0.0138695473      
3.89749586       0.0138695473      
3.89711613       0.0138695473      
3.89673648       0.0138695473      
3.89635691       0.0138695473      
3.8959774        0.0138695473      
3.89559797       0.0138695473      
3.89521862       0.0138695473      
3.89483934       0.0138695473      
3.89446013       0.0138695473      
3.894081         0.0138695473      
3.89370194       0.0138695473      
3.89332295       0.0138695473      
3.89294404       0.0138695473      
3.8925652        0.0138695473      
3.89218644       0.0138695473      
3.89180774       0.0138695473      
3.89142913       0.0138695473      
3.89105058       0.0138695473      
3.89067211       0.0138695473      
3.89029372       0.0138695473      
3.88991539       0.0138695473      
3.88953715       0.0138695473      
3.88915897       0.0138695473      
3.88878087       0.0138695473      
3.88840284       0.0138695473      
3.88802488       0.0138695473      
3.887647         0.0138695473      
3.88726919       0.0138695473      
3.88689146       0.0138695473      
3.8865138        0.0138695473      
3.88613621       0.0138695473      
3.88575869       0.0138695473      
3.88538125       0.0138695473      
3.88500389       0.0138695473      
3.88462659       0.0138695473      
3.88424937       0.0138695473      
3.88387222       0.0138695473      
3.88349515       0.0138695473      
3.88311814       0.0138695473      
3.88274122       0.0138695473      
3.88236436       0.0138695473      
3.88198758       0.0138695473      
3.88161087       0.0138695473      
3.88123423       0.0138695473      
3.88085767       0.0138695473      
3.88048118       0.0138695473      
3.88010476       0.0138695473      
3.87972842       0.0138695473      
3.87935215       0.0138695473      
3.87897595       0.0138695473      
3.87859983       0.0138695473      
3.87822377       0.0138695473      
3.87784779       0.0138695473      
3.87747189       0.0138695473      
3.87709606       0.0138695473      
3.87672029       0.0138695473      
3.87634461       0.0138695473      
3.87596899       0.0138695473      
3.87559345       0.0138695473      
3.87521798       0.0138695473      
3.87484258       0.0138695473      
3.87446726       0.0138695473      
3.87409201       0.0138695473      
3.87371683       0.0138695473      
3.87334173       0.0138695473      
3.87296669       0.0138695473      
3.87259173       0.0138695473      
3.87221684       0.0138695473      
3.87184203       0.0138695473      
3.87146729       0.0138695473      
3.87109262       0.0138695473      
3.87071802       0.0138695473      
3.87034349       0.0138695473      
3.86996904       0.0138695473      
3.86959466       0.0138695473      
3.86922035       0.0138695473      
3.86884612       0.0138695473      
3.86847195       0.0138695473      
3.86809786       0.0138695473      
3.86772384       0.0138695473      
3.8673499        0.0138695473      
3.86697602       0.0138695473      
3.86660222       0.0138695473      
3.86622849       0.0138695473      
3.86585484       0.0138695473      
3.86548125       0.0138695473      
3.86510774       0.0138695473      
3.8647343        0.0138695473      
3.86436093       0.0138695473      
3.86398764       0.0138695473      
3.86361441       0.0138695473      
3.86324126       0.0138695473      
3.86286818       0.0138695473      
3.86249517       0.0138695473      
3.86212224       0.0138695473      
3.86174937       0.0138695473      
3.86137658       0.0138695473      
3.86100386       0.0138695473      
3.86063121       0.0138695473      
3.86025864       0.0138695473      
3.85988613       0.0138695473      
3.8595137        0.0138695473      
3.85914134       0.0138695473      
3.85876905       0.0138695473      
3.85839684       0.0138695473      
3.85802469       0.0138695473      
3.85765262       0.0138695473      
3.85728062       0.0138695473      
3.85690869       0.0138695473      
3.85653683       0.0138695473      
3.85616504       0.0138695473      
3.85579333       0.0138695473      
3.85542169       0.0138695473      
3.85505012       0.0138695473      
3.85467862       0.0138695473      
3.85430719       0.0138695473      
3.85393583       0.0138695473      
3.85356455       0.0138695473      
3.85319333       0.0138695473      
3.85282219       0.0138695473      
3.85245112       0.0138695473      
3.85208012       0.0138695473      
3.8517092        0.0138695473      
3.85133834       0.0138695473      
3.85096756       0.0138695473      
3.85059684       0.0138695473      
3.8502262        0.0138695473      
3.84985563       0.0138695473      
3.84948513       0.0138695473      
3.8491147        0.0138695473      
3.84874435       0.0138695473      
3.84837406       0.0138695473      
3.84800385       0.0138695473      
3.84763371       0.0138695473      
3.84726363       0.0138695473      
3.84689363       0.0138695473      
3.8465237        0.0138695473      
3.84615385       0.0138695473      
3.84578406       0.0138695473      
3.84541434       0.0138695473      
3.8450447        0.0138695473      
3.84467512       0.0138695473      
3.84430562       0.0138695473      
3.84393619       0.0138695473      
