#wvl [um]      Flux [erg/s/cm]
2.290950745    41723.6788        
2.29094812     41723.6127        
2.290945496    41723.5466        
2.290942872    41723.4805        
2.290940248    41723.4144        
2.290937623    41723.3483        
2.290934999    41723.2822        
2.290932375    41723.2161        
2.290929751    41723.15          
2.290927127    41723.0839        
2.290924503    41723.0177        
2.290921878    41722.9516        
2.290919254    41722.8855        
2.29091663     41722.8194        
2.290914006    41722.7533        
2.290911382    41722.6872        
2.290908758    41722.6211        
2.290906134    41722.555         
2.290903509    41722.4889        
2.290900885    41722.4227        
2.290898261    41722.3566        
2.290895637    41722.2905        
2.290893013    41722.2244        
2.290890389    41722.1583        
2.290887765    41722.0922        
2.290885141    41722.0261        
2.290882517    41721.96          
2.290879893    41721.8939        
2.290877269    41721.8278        
2.290874644    41721.7616        
2.29087202     41721.6955        
2.290869396    41721.6294        
2.290866772    41721.5633        
2.290864148    41721.4972        
2.290861524    41721.4311        
2.2908589      41721.365         
2.290856276    41721.2989        
2.290853652    41721.2328        
2.290851028    41721.1666        
2.290848404    41721.1005        
2.29084578     41721.0344        
2.290843156    41720.9683        
2.290840532    41720.9022        
2.290837908    41720.8361        
2.290835284    41720.77          
2.29083266     41720.7039        
2.290830036    41720.6377        
2.290827412    41720.5716        
2.290824789    41720.5055        
2.290822165    41720.4394        
2.290819541    41720.3733        
2.290816917    41720.3072        
2.290814293    41720.2411        
2.290811669    41720.175         
2.290809045    41720.1088        
2.290806421    41720.0427        
2.290803797    41719.9766        
2.290801173    41719.9105        
2.290798549    41719.8444        
2.290795926    41719.7783        
2.290793302    41719.7122        
2.290790678    41719.6461        
2.290788054    41719.5799        
2.29078543     41719.5138        
2.290782806    41719.4477        
2.290780182    41719.3816        
2.290777559    41719.3155        
2.290774935    41719.2494        
2.290772311    41719.1833        
2.290769687    41719.1172        
2.290767063    41719.051         
2.29076444     41718.9849        
2.290761816    41718.9188        
2.290759192    41718.8527        
2.290756568    41718.7866        
2.290753944    41718.7205        
2.290751321    41718.6544        
2.290748697    41718.5883        
2.290746073    41718.5221        
2.290743449    41718.456         
2.290740826    41718.3899        
2.290738202    41718.3238        
2.290735578    41718.2577        
2.290732954    41718.1916        
2.290730331    41718.1255        
2.290727707    41718.0593        
2.290725083    41717.9932        
2.29072246     41717.9271        
2.290719836    41717.861         
2.290717212    41717.7949        
2.290714588    41717.7288        
2.290711965    41717.6627        
2.290709341    41717.5965        
2.290706717    41717.5304        
2.290704094    41717.4643        
2.29070147     41717.3982        
2.290698846    41717.3321        
2.290696223    41717.266         
2.290693599    41717.1999        
2.290690975    41717.1338        
2.290688352    41717.0676        
2.290685728    41717.0015        
2.290683105    41716.9354        
2.290680481    41716.8693        
2.290677857    41716.8032        
2.290675234    41716.7371        
2.29067261     41716.6709        
2.290669987    41716.6048        
2.290667363    41716.5387        
2.290664739    41716.4726        
2.290662116    41716.4065        
2.290659492    41716.3404        
2.290656869    41716.2743        
2.290654245    41716.2081        
2.290651622    41716.142         
2.290648998    41716.0759        
2.290646375    41716.0098        
2.290643751    41715.9437        
2.290641128    41715.8776        
2.290638504    41715.8115        
2.290635881    41715.7453        
2.290633257    41715.6792        
2.290630634    41715.6131        
2.29062801     41715.547         
2.290625387    41715.4809        
2.290622763    41715.4148        
2.29062014     41715.3486        
2.290617516    41715.2825        
2.290614893    41715.2164        
2.290612269    41715.1503        
2.290609646    41715.0842        
2.290607022    41715.0181        
2.290604399    41714.952         
2.290601775    41714.8858        
2.290599152    41714.8197        
2.290596529    41714.7536        
2.290593905    41714.6875        
2.290591282    41714.6214        
2.290588658    41714.5553        
2.290586035    41714.4891        
2.290583412    41714.423         
2.290580788    41714.3569        
2.290578165    41714.2908        
2.290575541    41714.2247        
2.290572918    41714.1586        
2.290570295    41714.0924        
2.290567671    41714.0263        
2.290565048    41713.9602        
2.290562425    41713.8941        
2.290559801    41713.828         
2.290557178    41713.7619        
2.290554555    41713.6957        
2.290551931    41713.6296        
2.290549308    41713.5635        
2.290546685    41713.4974        
2.290544061    41713.4313        
2.290541438    41713.3652        
2.290538815    41713.299         
2.290536192    41713.2329        
2.290533568    41713.1668        
2.290530945    41713.1007        
2.290528322    41713.0346        
2.290525699    41712.9685        
2.290523075    41712.9023        
2.290520452    41712.8362        
2.290517829    41712.7701        
2.290515206    41712.704         
2.290512582    41712.6379        
2.290509959    41712.5718        
2.290507336    41712.5056        
2.290504713    41712.4395        
2.29050209     41712.3734        
2.290499466    41712.3073        
2.290496843    41712.2412        
2.29049422     41712.175         
2.290491597    41712.1089        
2.290488974    41712.0428        
2.29048635     41711.9767        
2.290483727    41711.9106        
2.290481104    41711.8445        
2.290478481    41711.7783        
2.290475858    41711.7122        
2.290473235    41711.6461        
2.290470612    41711.58          
2.290467988    41711.5139        
2.290465365    41711.4478        
2.290462742    41711.3816        
2.290460119    41711.3155        
2.290457496    41711.2494        
2.290454873    41711.1833        
2.29045225     41711.1172        
2.290449627    41711.051         
2.290447004    41710.9849        
2.290444381    41710.9188        
2.290441758    41710.8527        
2.290439134    41710.7866        
2.290436511    41710.7204        
2.290433888    41710.6543        
2.290431265    41710.5882        
2.290428642    41710.5221        
2.290426019    41710.456         
2.290423396    41710.3899        
2.290420773    41710.3237        
2.29041815     41710.2576        
2.290415527    41710.1915        
2.290412904    41710.1254        
2.290410281    41710.0593        
2.290407658    41709.9931        
2.290405035    41709.927         
2.290402412    41709.8609        
2.290399789    41709.7948        
2.290397166    41709.7287        
2.290394543    41709.6625        
2.29039192     41709.5964        
2.290389297    41709.5303        
2.290386675    41709.4642        
2.290384052    41709.3981        
2.290381429    41709.3319        
2.290378806    41709.2658        
2.290376183    41709.1997        
2.29037356     41709.1336        
2.290370937    41709.0675        
2.290368314    41709.0013        
2.290365691    41708.9352        
2.290363068    41708.8691        
2.290360445    41708.803         
2.290357823    41708.7369        
2.2903552      41708.6707        
2.290352577    41708.6046        
2.290349954    41708.5385        
2.290347331    41708.4724        
2.290344708    41708.4063        
2.290342085    41708.3401        
2.290339463    41708.274         
2.29033684     41708.2079        
2.290334217    41708.1418        
2.290331594    41708.0757        
2.290328971    41708.0095        
2.290326349    41707.9434        
2.290323726    41707.8773        
2.290321103    41707.8112        
2.29031848     41707.7451        
2.290315857    41707.6789        
2.290313235    41707.6128        
2.290310612    41707.5467        
2.290307989    41707.4806        
2.290305366    41707.4145        
2.290302744    41707.3483        
2.290300121    41707.2822        
2.290297498    41707.2161        
2.290294875    41707.15          
2.290292253    41707.0838        
2.29028963     41707.0177        
2.290287007    41706.9516        
2.290284385    41706.8855        
2.290281762    41706.8194        
2.290279139    41706.7532        
2.290276517    41706.6871        
2.290273894    41706.621         
2.290271271    41706.5549        
2.290268649    41706.4888        
2.290266026    41706.4226        
2.290263403    41706.3565        
2.290260781    41706.2904        
2.290258158    41706.2243        
2.290255535    41706.1581        
2.290252913    41706.092         
2.29025029     41706.0259        
2.290247667    41705.9598        
2.290245045    41705.8937        
2.290242422    41705.8275        
2.2902398      41705.7614        
2.290237177    41705.6953        
2.290234554    41705.6292        
2.290231932    41705.563         
2.290229309    41705.4969        
2.290226687    41705.4308        
2.290224064    41705.3647        
2.290221442    41705.2986        
2.290218819    41705.2324        
2.290216196    41705.1663        
2.290213574    41705.1002        
2.290210951    41705.0341        
2.290208329    41704.9679        
2.290205706    41704.9018        
2.290203084    41704.8357        
2.290200461    41704.7696        
2.290197839    41704.7035        
2.290195216    41704.6373        
2.290192594    41704.5712        
2.290189971    41704.5051        
2.290187349    41704.439         
2.290184726    41704.3728        
2.290182104    41704.3067        
2.290179481    41704.2406        
2.290176859    41704.1745        
2.290174236    41704.1083        
2.290171614    41704.0422        
2.290168992    41703.9761        
2.290166369    41703.91          
2.290163747    41703.8439        
2.290161124    41703.7777        
2.290158502    41703.7116        
2.290155879    41703.6455        
2.290153257    41703.5794        
2.290150635    41703.5132        
2.290148012    41703.4471        
2.29014539     41703.381         
2.290142768    41703.3149        
2.290140145    41703.2487        
2.290137523    41703.1826        
2.2901349      41703.1165        
2.290132278    41703.0504        
2.290129656    41702.9842        
2.290127033    41702.9181        
2.290124411    41702.852         
2.290121789    41702.7859        
2.290119166    41702.7197        
2.290116544    41702.6536        
2.290113922    41702.5875        
2.290111299    41702.5214        
2.290108677    41702.4553        
2.290106055    41702.3891        
2.290103433    41702.323         
2.29010081     41702.2569        
2.290098188    41702.1908        
2.290095566    41702.1246        
2.290092943    41702.0585        
2.290090321    41701.9924        
2.290087699    41701.9263        
2.290085077    41701.8601        
2.290082454    41701.794         
2.290079832    41701.7279        
2.29007721     41701.6618        
2.290074588    41701.5956        
2.290071966    41701.5295        
2.290069343    41701.4634        
2.290066721    41701.3973        
2.290064099    41701.3311        
2.290061477    41701.265         
2.290058855    41701.1989        
2.290056232    41701.1328        
2.29005361     41701.0666        
2.290050988    41701.0005        
2.290048366    41700.9344        
2.290045744    41700.8683        
2.290043122    41700.8021        
2.290040499    41700.736         
2.290037877    41700.6699        
2.290035255    41700.6038        
2.290032633    41700.5376        
2.290030011    41700.4715        
2.290027389    41700.4054        
2.290024767    41700.3392        
2.290022145    41700.2731        
2.290019522    41700.207         
2.2900169      41700.1409        
2.290014278    41700.0747        
2.290011656    41700.0086        
2.290009034    41699.9425        
2.290006412    41699.8764        
2.29000379     41699.8102        
2.290001168    41699.7441        
2.289998546    41699.678         
2.289995924    41699.6119        
2.289993302    41699.5457        
2.28999068     41699.4796        
2.289988058    41699.4135        
2.289985436    41699.3474        
2.289982814    41699.2812        
2.289980192    41699.2151        
2.28997757     41699.149         
2.289974948    41699.0828        
2.289972326    41699.0167        
2.289969704    41698.9506        
2.289967082    41698.8845        
2.28996446     41698.8183        
2.289961838    41698.7522        
2.289959216    41698.6861        
2.289956594    41698.62          
2.289953972    41698.5538        
2.28995135     41698.4877        
2.289948728    41698.4216        
2.289946106    41698.3555        
2.289943484    41698.2893        
2.289940862    41698.2232        
2.28993824     41698.1571        
2.289935618    41698.0909        
2.289932997    41698.0248        
2.289930375    41697.9587        
2.289927753    41697.8926        
2.289925131    41697.8264        
2.289922509    41697.7603        
2.289919887    41697.6942        
2.289917265    41697.6281        
2.289914643    41697.5619        
2.289912022    41697.4958        
2.2899094      41697.4297        
2.289906778    41697.3635        
2.289904156    41697.2974        
2.289901534    41697.2313        
2.289898912    41697.1652        
2.289896291    41697.099         
2.289893669    41697.0329        
2.289891047    41696.9668        
2.289888425    41696.9006        
2.289885803    41696.8345        
2.289883182    41696.7684        
2.28988056     41696.7023        
2.289877938    41696.6361        
2.289875316    41696.57          
2.289872695    41696.5039        
2.289870073    41696.4377        
2.289867451    41696.3716        
2.289864829    41696.3055        
2.289862208    41696.2394        
2.289859586    41696.1732        
2.289856964    41696.1071        
2.289854342    41696.041         
2.289851721    41695.9748        
2.289849099    41695.9087        
2.289846477    41695.8426        
2.289843856    41695.7765        
2.289841234    41695.7103        
