#wvl [um]      Flux [erg/s/cm]
2.290950745    41723.6591        
2.29094812     41723.593         
2.290945496    41723.5268        
2.290942872    41723.4607        
2.290940248    41723.3945        
2.290937623    41723.3284        
2.290934999    41723.2622        
2.290932375    41723.196         
2.290929751    41723.1299        
2.290927127    41723.0637        
2.290924503    41722.9976        
2.290921878    41722.9314        
2.290919254    41722.8652        
2.29091663     41722.7991        
2.290914006    41722.7329        
2.290911382    41722.6667        
2.290908758    41722.6006        
2.290906134    41722.5344        
2.290903509    41722.4683        
2.290900885    41722.4021        
2.290898261    41722.3359        
2.290895637    41722.2698        
2.290893013    41722.2036        
2.290890389    41722.1375        
2.290887765    41722.0713        
2.290885141    41722.0051        
2.290882517    41721.939         
2.290879893    41721.8728        
2.290877269    41721.8066        
2.290874644    41721.7405        
2.29087202     41721.6743        
2.290869396    41721.6081        
2.290866772    41721.542         
2.290864148    41721.4758        
2.290861524    41721.4096        
2.2908589      41721.3435        
2.290856276    41721.2773        
2.290853652    41721.2111        
2.290851028    41721.145         
2.290848404    41721.0788        
2.29084578     41721.0126        
2.290843156    41720.9465        
2.290840532    41720.8803        
2.290837908    41720.8141        
2.290835284    41720.748         
2.29083266     41720.6818        
2.290830036    41720.6156        
2.290827412    41720.5495        
2.290824789    41720.4833        
2.290822165    41720.4171        
2.290819541    41720.351         
2.290816917    41720.2848        
2.290814293    41720.2186        
2.290811669    41720.1524        
2.290809045    41720.0863        
2.290806421    41720.0201        
2.290803797    41719.9539        
2.290801173    41719.8878        
2.290798549    41719.8216        
2.290795926    41719.7554        
2.290793302    41719.6892        
2.290790678    41719.6231        
2.290788054    41719.5569        
2.29078543     41719.4907        
2.290782806    41719.4246        
2.290780182    41719.3584        
2.290777559    41719.2922        
2.290774935    41719.226         
2.290772311    41719.1599        
2.290769687    41719.0937        
2.290767063    41719.0275        
2.29076444     41718.9613        
2.290761816    41718.8952        
2.290759192    41718.829         
2.290756568    41718.7628        
2.290753944    41718.6966        
2.290751321    41718.6305        
2.290748697    41718.5643        
2.290746073    41718.4981        
2.290743449    41718.4319        
2.290740826    41718.3657        
2.290738202    41718.2996        
2.290735578    41718.2334        
2.290732954    41718.1672        
2.290730331    41718.101         
2.290727707    41718.0348        
2.290725083    41717.9687        
2.29072246     41717.9025        
2.290719836    41717.8363        
2.290717212    41717.7701        
2.290714588    41717.7039        
2.290711965    41717.6378        
2.290709341    41717.5716        
2.290706717    41717.5054        
2.290704094    41717.4392        
2.29070147     41717.373         
2.290698846    41717.3069        
2.290696223    41717.2407        
2.290693599    41717.1745        
2.290690975    41717.1083        
2.290688352    41717.0421        
2.290685728    41716.9759        
2.290683105    41716.9098        
2.290680481    41716.8436        
2.290677857    41716.7774        
2.290675234    41716.7112        
2.29067261     41716.645         
2.290669987    41716.5788        
2.290667363    41716.5126        
2.290664739    41716.4465        
2.290662116    41716.3803        
2.290659492    41716.3141        
2.290656869    41716.2479        
2.290654245    41716.1817        
2.290651622    41716.1155        
2.290648998    41716.0493        
2.290646375    41715.9831        
2.290643751    41715.9169        
2.290641128    41715.8508        
2.290638504    41715.7846        
2.290635881    41715.7184        
2.290633257    41715.6522        
2.290630634    41715.586         
2.29062801     41715.5198        
2.290625387    41715.4536        
2.290622763    41715.3874        
2.29062014     41715.3212        
2.290617516    41715.255         
2.290614893    41715.1888        
2.290612269    41715.1226        
2.290609646    41715.0564        
2.290607022    41714.9903        
2.290604399    41714.9241        
2.290601775    41714.8579        
2.290599152    41714.7917        
2.290596529    41714.7255        
2.290593905    41714.6593        
2.290591282    41714.5931        
2.290588658    41714.5269        
2.290586035    41714.4607        
2.290583412    41714.3945        
2.290580788    41714.3283        
2.290578165    41714.2621        
2.290575541    41714.1959        
2.290572918    41714.1297        
2.290570295    41714.0635        
2.290567671    41713.9973        
2.290565048    41713.9311        
2.290562425    41713.8649        
2.290559801    41713.7987        
2.290557178    41713.7325        
2.290554555    41713.6663        
2.290551931    41713.6001        
2.290549308    41713.5339        
2.290546685    41713.4677        
2.290544061    41713.4015        
2.290541438    41713.3353        
2.290538815    41713.2691        
2.290536192    41713.2029        
2.290533568    41713.1367        
2.290530945    41713.0704        
2.290528322    41713.0042        
2.290525699    41712.938         
2.290523075    41712.8718        
2.290520452    41712.8056        
2.290517829    41712.7394        
2.290515206    41712.6732        
2.290512582    41712.607         
2.290509959    41712.5408        
2.290507336    41712.4746        
2.290504713    41712.4084        
2.29050209     41712.3422        
2.290499466    41712.2759        
2.290496843    41712.2097        
2.29049422     41712.1435        
2.290491597    41712.0773        
2.290488974    41712.0111        
2.29048635     41711.9449        
2.290483727    41711.8787        
2.290481104    41711.8125        
2.290478481    41711.7462        
2.290475858    41711.68          
2.290473235    41711.6138        
2.290470612    41711.5476        
2.290467988    41711.4814        
2.290465365    41711.4152        
2.290462742    41711.3489        
2.290460119    41711.2827        
2.290457496    41711.2165        
2.290454873    41711.1503        
2.29045225     41711.0841        
2.290449627    41711.0178        
2.290447004    41710.9516        
2.290444381    41710.8854        
