# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   2.2909507   1.29852e-04       79791.3810     0099
   2.2909481   1.30137e-04       79791.3810     0099
   2.2909455   1.30423e-04       79791.3810     0099
   2.2909429   1.30710e-04       79791.3810     0099
   2.2909402   1.30997e-04       79791.3810     0099
   2.2909376   1.31286e-04       79791.3810     0099
   2.2909350   1.31575e-04       79791.3810     0099
   2.2909324   1.31865e-04       79791.3810     0099
   2.2909298   1.32156e-04       79791.3810     0099
   2.2909271   1.32448e-04       79791.3810     0099
   2.2909245   1.32741e-04       79791.3810     0099
   2.2909219   1.33035e-04       79791.3810     0099
   2.2909193   1.33330e-04       79791.3810     0099
   2.2909166   1.33625e-04       79791.3810     0099
   2.2909140   1.33922e-04       79791.3810     0099
   2.2909114   1.34219e-04       79791.3810     0099
   2.2909088   1.34518e-04       79791.3810     0099
   2.2909061   1.34817e-04       79791.3810     0099
   2.2909035   1.35117e-04       79791.3810     0099
   2.2909009   1.35418e-04       79791.3810     0099
   2.2908983   1.35720e-04       79791.3810     0099
   2.2908956   1.36023e-04       79791.3810     0099
   2.2908930   1.36327e-04       79791.3810     0099
   2.2908904   1.36632e-04       79791.3810     0099
   2.2908878   1.36938e-04       79791.3810     0099
   2.2908851   1.37244e-04       79791.3810     0099
   2.2908825   1.37552e-04       79791.3810     0099
   2.2908799   1.37861e-04       79791.3810     0099
   2.2908773   1.38170e-04       79791.3810     0099
   2.2908746   1.38481e-04       79791.3810     0099
   2.2908720   1.38792e-04       79791.3810     0099
   2.2908694   1.39105e-04       79791.3810     0099
   2.2908668   1.39418e-04       79791.3810     0099
   2.2908641   1.39733e-04       79791.3810     0099
   2.2908615   1.40048e-04       79791.3810     0099
   2.2908589   1.40364e-04       79791.3810     0099
   2.2908563   1.40682e-04       79791.3810     0099
   2.2908537   1.41000e-04       79791.3810     0099
   2.2908510   1.41319e-04       79791.3810     0099
   2.2908484   1.41640e-04       79791.3810     0099
   2.2908458   1.41961e-04       79791.3810     0099
   2.2908432   1.42284e-04       79791.3810     0099
   2.2908405   1.42607e-04       79791.3810     0099
   2.2908379   1.42931e-04       79791.3810     0099
   2.2908353   1.43257e-04       79791.3810     0099
   2.2908327   1.43583e-04       79791.3810     0099
   2.2908300   1.43911e-04       79791.3810     0099
   2.2908274   1.44239e-04       79791.3810     0099
   2.2908248   1.44569e-04       79791.3810     0099
   2.2908222   1.44899e-04       79791.3810     0099
   2.2908195   1.45231e-04       79791.3810     0099
   2.2908169   1.45564e-04       79791.3810     0099
   2.2908143   1.45898e-04       79791.3810     0099
   2.2908117   1.46232e-04       79791.3810     0099
   2.2908090   1.46568e-04       79791.3810     0099
   2.2908064   1.46905e-04       79791.3810     0099
   2.2908038   1.47243e-04       79791.3810     0099
   2.2908012   1.47582e-04       79791.3810     0099
   2.2907985   1.47922e-04       79791.3810     0099
   2.2907959   1.48264e-04       79791.3810     0099
   2.2907933   1.48606e-04       79791.3810     0099
   2.2907907   1.48949e-04       79791.3810     0099
   2.2907881   1.49294e-04       79791.3810     0099
   2.2907854   1.49639e-04       79791.3810     0099
   2.2907828   1.49986e-04       79791.3810     0099
   2.2907802   1.50334e-04       79791.3810     0099
   2.2907776   1.50683e-04       79791.3810     0099
   2.2907749   1.51033e-04       79791.3810     0099
   2.2907723   1.51384e-04       79791.3810     0099
   2.2907697   1.51736e-04       79791.3810     0099
   2.2907671   1.52090e-04       79791.3810     0099
   2.2907644   1.52444e-04       79791.3810     0099
   2.2907618   1.52800e-04       79791.3810     0099
   2.2907592   1.53157e-04       79791.3810     0099
   2.2907566   1.53515e-04       79791.3810     0099
   2.2907539   1.53874e-04       79791.3810     0099
   2.2907513   1.54234e-04       79791.3810     0099
   2.2907487   1.54596e-04       79791.3810     0099
   2.2907461   1.54958e-04       79791.3810     0099
   2.2907434   1.55322e-04       79791.3810     0099
   2.2907408   1.55687e-04       79791.3810     0099
   2.2907382   1.56053e-04       79791.3810     0099
   2.2907356   1.56420e-04       79791.3810     0099
   2.2907330   1.56789e-04       79791.3810     0099
   2.2907303   1.57159e-04       79791.3810     0099
   2.2907277   1.57530e-04       79791.3810     0099
   2.2907251   1.57902e-04       79791.3810     0099
   2.2907225   1.58275e-04       79791.3810     0099
   2.2907198   1.58650e-04       79791.3810     0099
   2.2907172   1.59025e-04       79791.3810     0099
   2.2907146   1.59402e-04       79791.3810     0099
   2.2907120   1.59781e-04       79791.3810     0099
   2.2907093   1.60160e-04       79791.3810     0099
   2.2907067   1.60541e-04       79791.3810     0099
   2.2907041   1.60923e-04       79791.3810     0099
   2.2907015   1.61306e-04       79791.3810     0099
   2.2906988   1.61691e-04       79791.3810     0099
   2.2906962   1.62076e-04       79791.3810     0099
   2.2906936   1.62463e-04       79791.3810     0099
   2.2906910   1.62852e-04       79791.3810     0099
   2.2906884   1.63241e-04       79791.3810     0099
   2.2906857   1.63632e-04       79791.3810     0099
   2.2906831   1.64024e-04       79791.3810     0099
   2.2906805   1.64417e-04       79791.3810     0099
   2.2906779   1.64812e-04       79791.3810     0099
   2.2906752   1.65208e-04       79791.3810     0099
   2.2906726   1.65605e-04       79791.3810     0099
   2.2906700   1.66004e-04       79791.3810     0099
   2.2906674   1.66404e-04       79791.3810     0099
