#wvl [um]      Flux [erg/s/cm]
2.28925        70960.1941        
2.28924738     70956.7643        
2.289244759    70952.4748        
2.289242139    70946.9699        
2.289239519    70939.6574        
2.289236898    70929.4267        
2.289234278    70907.181         
2.289231658    70847.3625        
2.289229038    70643.861         
2.289226417    69992.6041        
2.289223797    68285.1887        
2.289221177    64879.6922        
2.289218556    59958.8667        
2.289215936    54958.801         
2.289213316    51633.9096        
2.289210696    50969.0697        
2.289208075    52878.535         
2.289205455    55990.0248        
2.289202835    57743.6864        
2.289200215    56438.5738        
2.289197595    53358.3083        
2.289194974    51122.2026        
2.289192354    51334.1899        
2.289189734    54267.6352        
2.289187114    59103.9435        
2.289184494    64159.8796        
2.289181873    67858.0419        
2.289179253    69806.1461        
2.289176633    70579.5333        
2.289174013    70827.338         
2.289171393    70899.7539        
2.289168773    70925.4867        
2.289166152    70936.2229        
2.289163532    70943.7668        
2.289160912    70949.3706        
2.289158292    70953.6835        
2.289155672    70957.0895        
2.289153052    70959.8342        
2.289150432    70962.0803        
