# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   2.2892500   2.29989e-04       92173.4130     0099
   2.2892474   2.63527e-04       92173.4130     0099
   2.2892448   3.05660e-04       92173.4130     0099
   2.2892421   3.59943e-04       92173.4130     0099
   2.2892395   4.32302e-04       92173.4130     0099
   2.2892369   5.33853e-04       92173.4130     0099
   2.2892343   7.55624e-04       92173.4130     0099
   2.2892317   1.35393e-03       92173.4130     0099
   2.2892290   3.39916e-03       92173.4130     0099
   2.2892264   1.00313e-02       92173.4130     0099
   2.2892238   2.80623e-02       92173.4130     0099
   2.2892212   6.70747e-02       92173.4130     0099
   2.2892186   1.31935e-01       92173.4130     0099
   2.2892159   2.10828e-01       92173.4130     0099
   2.2892133   2.72546e-01       92173.4130     0099
   2.2892107   2.85942e-01       92173.4130     0099
   2.2892081   2.48449e-01       92173.4130     0099
   2.2892055   1.93298e-01       92173.4130     0099
   2.2892028   1.65052e-01       92173.4130     0099
   2.2892002   1.85889e-01       92173.4130     0099
   2.2891976   2.39484e-01       92173.4130     0099
   2.2891950   2.82815e-01       92173.4130     0099
   2.2891924   2.78528e-01       92173.4130     0099
   2.2891897   2.22969e-01       92173.4130     0099
   2.2891871   1.44387e-01       92173.4130     0099
   2.2891845   7.58804e-02       92173.4130     0099
   2.2891819   3.27128e-02       92173.4130     0099
   2.2891793   1.19412e-02       92173.4130     0099
   2.2891766   4.03391e-03       92173.4130     0099
   2.2891740   1.53872e-03       92173.4130     0099
   2.2891714   8.12546e-04       92173.4130     0099
   2.2891688   5.54416e-04       92173.4130     0099
   2.2891662   4.46356e-04       92173.4130     0099
   2.2891635   3.70232e-04       92173.4130     0099
   2.2891609   3.13510e-04       92173.4130     0099
   2.2891583   2.69695e-04       92173.4130     0099
   2.2891557   2.34945e-04       92173.4130     0099
   2.2891531   2.06804e-04       92173.4130     0099
   2.2891504   1.83645e-04       92173.4130     0099
