#wvl [um]      Flux [erg/s/cm]
4              74696.9393        
3.99840064     74713.1795        
3.996802558    74729.3956        
3.995205753    74745.5876        
3.993610224    74761.7554        
3.992015968    74777.8991        
3.990422985    74794.0186        
3.988831272    74810.114         
3.987240829    74826.1853        
3.985651654    74842.2324        
3.984063745    74858.2554        
3.982477101    74874.2543        
3.98089172     74890.2291        
3.9793076      74906.1797        
3.977724741    74922.1062        
3.976143141    74938.0086        
3.974562798    74953.8869        
3.972983711    74969.7411        
3.971405878    74985.5712        
3.969829297    75001.3772        
3.968253968    75017.159         
3.966679889    75032.9168        
3.965107058    75048.6505        
3.963535474    75064.3601        
3.961965135    75080.0456        
3.96039604     75095.707         
3.958828187    75111.3443        
3.957261575    75126.9575        
3.955696203    75142.5467        
3.954132068    75158.1118        
3.95256917     75173.6528        
3.951007507    75189.1697        
3.949447077    75204.6626        
3.94788788     75220.1314        
3.946329913    75235.5762        
3.944773176    75250.9969        
3.943217666    75266.3935        
3.941663382    75281.7661        
3.940110323    75297.1146        
3.938558488    75312.4391        
3.937007874    75327.7396        
3.935458481    75343.016         
3.933910307    75358.2684        
3.93236335     75373.4967        
3.93081761     75388.701         
3.929273084    75403.8813        
3.927729772    75419.0376        
3.926187672    75434.1698        
3.924646782    75449.2781        
3.923107101    75464.3623        
3.921568627    75479.4225        
3.92003136     75494.4587        
3.918495298    75509.4709        
3.916960439    75524.459         
3.915426782    75539.4232        
3.913894325    75554.3634        
3.912363067    75569.2796        
3.910833007    75584.1719        
3.909304144    75599.0401        
3.907776475    75613.8844        
3.90625        75628.7046        
3.904724717    75643.501         
3.903200625    75658.2733        
3.901677721    75673.0217        
3.900156006    75687.7461        
3.898635478    75702.4465        
3.897116134    75717.123         
3.895597974    75731.7755        
3.894080997    75746.4041        
3.8925652      75761.0088        
3.891050584    75775.5895        
3.889537145    75790.1463        
3.888024883    75804.6791        
3.886513797    75819.188         
3.885003885    75833.673         
3.883495146    75848.134         
3.881987578    75862.5711        
3.88048118     75876.9843        
3.87897595     75891.3736        
3.877471888    75905.739         
3.875968992    75920.0805        
3.874467261    75934.3981        
3.872966692    75948.6918        
3.871467286    75962.9616        
3.86996904     75977.2075        
3.868471954    75991.4295        
3.866976025    76005.6277        
3.865481252    76019.8019        
3.863987635    76033.9523        
3.862495172    76048.0788        
3.861003861    76062.1815        
3.859513701    76076.2602        
3.858024691    76090.3152        
3.85653683     76104.3462        
3.855050116    76118.3535        
3.853564547    76132.3368        
3.852080123    76146.2964        
3.850596843    76160.2321        
3.849114704    76174.1439        
3.847633705    76188.0319        
3.846153846    76201.8961        
3.844675125    76215.7365        
3.84319754     76229.5531        
3.841721091    76243.3458        
3.840245776    76257.1148        
3.838771593    76270.8599        
3.837298542    76284.5812        
3.835826621    76298.2787        
3.834355828    76311.9525        
3.832886163    76325.6024        
3.831417625    76339.2286        
3.829950211    76352.831         
3.82848392     76366.4096        
3.827018752    76379.9644        
3.825554705    76393.4955        
3.824091778    76407.0027        
3.822629969    76420.4863        
3.821169278    76433.9461        
3.819709702    76447.3821        
3.818251241    76460.7944        
3.816793893    76474.1829        
3.815337657    76487.5477        
3.813882532    76500.8888        
3.812428517    76514.2061        
3.81097561     76527.4998        
3.80952381     76540.7697        
3.808073115    76554.0158        
3.806623525    76567.2383        
