# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   4.0000000   0.00000e+00       92173.4130     0099
   3.9984006   0.00000e+00       92173.4130     0099
   3.9968026   0.00000e+00       92173.4130     0099
   3.9952058   0.00000e+00       92173.4130     0099
   3.9936102   0.00000e+00       92173.4130     0099
   3.9920160   0.00000e+00       92173.4130     0099
   3.9904230   0.00000e+00       92173.4130     0099
   3.9888313   0.00000e+00       92173.4130     0099
   3.9872408   0.00000e+00       92173.4130     0099
   3.9856517   0.00000e+00       92173.4130     0099
   3.9840637   0.00000e+00       92173.4130     0099
   3.9824771   0.00000e+00       92173.4130     0099
   3.9808917   0.00000e+00       92173.4130     0099
   3.9793076   0.00000e+00       92173.4130     0099
   3.9777247   0.00000e+00       92173.4130     0099
   3.9761431   0.00000e+00       92173.4130     0099
   3.9745628   0.00000e+00       92173.4130     0099
   3.9729837   0.00000e+00       92173.4130     0099
   3.9714059   0.00000e+00       92173.4130     0099
   3.9698293   0.00000e+00       92173.4130     0099
   3.9682540   0.00000e+00       92173.4130     0099
   3.9666799   0.00000e+00       92173.4130     0099
   3.9651071   0.00000e+00       92173.4130     0099
   3.9635355   0.00000e+00       92173.4130     0099
   3.9619651   0.00000e+00       92173.4130     0099
   3.9603960   0.00000e+00       92173.4130     0099
   3.9588282   0.00000e+00       92173.4130     0099
   3.9572616   0.00000e+00       92173.4130     0099
   3.9556962   0.00000e+00       92173.4130     0099
   3.9541321   0.00000e+00       92173.4130     0099
   3.9525692   0.00000e+00       92173.4130     0099
   3.9510075   0.00000e+00       92173.4130     0099
   3.9494471   0.00000e+00       92173.4130     0099
   3.9478879   0.00000e+00       92173.4130     0099
   3.9463299   0.00000e+00       92173.4130     0099
   3.9447732   0.00000e+00       92173.4130     0099
   3.9432177   0.00000e+00       92173.4130     0099
   3.9416634   0.00000e+00       92173.4130     0099
   3.9401103   0.00000e+00       92173.4130     0099
   3.9385585   0.00000e+00       92173.4130     0099
   3.9370079   0.00000e+00       92173.4130     0099
   3.9354585   0.00000e+00       92173.4130     0099
   3.9339103   0.00000e+00       92173.4130     0099
   3.9323634   0.00000e+00       92173.4130     0099
   3.9308176   0.00000e+00       92173.4130     0099
   3.9292731   0.00000e+00       92173.4130     0099
   3.9277298   0.00000e+00       92173.4130     0099
   3.9261877   0.00000e+00       92173.4130     0099
   3.9246468   0.00000e+00       92173.4130     0099
   3.9231071   0.00000e+00       92173.4130     0099
   3.9215686   0.00000e+00       92173.4130     0099
   3.9200314   0.00000e+00       92173.4130     0099
   3.9184953   0.00000e+00       92173.4130     0099
   3.9169604   0.00000e+00       92173.4130     0099
   3.9154268   0.00000e+00       92173.4130     0099
   3.9138943   0.00000e+00       92173.4130     0099
   3.9123631   0.00000e+00       92173.4130     0099
   3.9108330   0.00000e+00       92173.4130     0099
   3.9093041   0.00000e+00       92173.4130     0099
   3.9077765   0.00000e+00       92173.4130     0099
   3.9062500   0.00000e+00       92173.4130     0099
   3.9047247   0.00000e+00       92173.4130     0099
   3.9032006   0.00000e+00       92173.4130     0099
   3.9016777   0.00000e+00       92173.4130     0099
   3.9001560   0.00000e+00       92173.4130     0099
   3.8986355   0.00000e+00       92173.4130     0099
   3.8971161   0.00000e+00       92173.4130     0099
   3.8955980   0.00000e+00       92173.4130     0099
   3.8940810   0.00000e+00       92173.4130     0099
   3.8925652   0.00000e+00       92173.4130     0099
   3.8910506   0.00000e+00       92173.4130     0099
   3.8895371   0.00000e+00       92173.4130     0099
   3.8880249   0.00000e+00       92173.4130     0099
   3.8865138   0.00000e+00       92173.4130     0099
   3.8850039   0.00000e+00       92173.4130     0099
   3.8834951   0.00000e+00       92173.4130     0099
   3.8819876   0.00000e+00       92173.4130     0099
   3.8804812   0.00000e+00       92173.4130     0099
   3.8789760   0.00000e+00       92173.4130     0099
   3.8774719   0.00000e+00       92173.4130     0099
   3.8759690   0.00000e+00       92173.4130     0099
   3.8744673   0.00000e+00       92173.4130     0099
   3.8729667   0.00000e+00       92173.4130     0099
   3.8714673   0.00000e+00       92173.4130     0099
   3.8699690   0.00000e+00       92173.4130     0099
   3.8684720   0.00000e+00       92173.4130     0099
   3.8669760   0.00000e+00       92173.4130     0099
   3.8654813   0.00000e+00       92173.4130     0099
   3.8639876   0.00000e+00       92173.4130     0099
   3.8624952   0.00000e+00       92173.4130     0099
   3.8610039   0.00000e+00       92173.4130     0099
   3.8595137   0.00000e+00       92173.4130     0099
   3.8580247   0.00000e+00       92173.4130     0099
   3.8565368   0.00000e+00       92173.4130     0099
   3.8550501   0.00000e+00       92173.4130     0099
   3.8535645   0.00000e+00       92173.4130     0099
   3.8520801   0.00000e+00       92173.4130     0099
   3.8505968   0.00000e+00       92173.4130     0099
   3.8491147   0.00000e+00       92173.4130     0099
   3.8476337   0.00000e+00       92173.4130     0099
   3.8461538   0.00000e+00       92173.4130     0099
   3.8446751   0.00000e+00       92173.4130     0099
   3.8431975   0.00000e+00       92173.4130     0099
   3.8417211   0.00000e+00       92173.4130     0099
   3.8402458   0.00000e+00       92173.4130     0099
   3.8387716   0.00000e+00       92173.4130     0099
   3.8372985   0.00000e+00       92173.4130     0099
   3.8358266   0.00000e+00       92173.4130     0099
   3.8343558   0.00000e+00       92173.4130     0099
   3.8328862   0.00000e+00       92173.4130     0099
   3.8314176   0.00000e+00       92173.4130     0099
   3.8299502   0.00000e+00       92173.4130     0099
   3.8284839   0.00000e+00       92173.4130     0099
   3.8270188   0.00000e+00       92173.4130     0099
   3.8255547   0.00000e+00       92173.4130     0099
   3.8240918   0.00000e+00       92173.4130     0099
   3.8226300   0.00000e+00       92173.4130     0099
   3.8211693   0.00000e+00       92173.4130     0099
   3.8197097   0.00000e+00       92173.4130     0099
   3.8182512   0.00000e+00       92173.4130     0099
   3.8167939   0.00000e+00       92173.4130     0099
   3.8153377   0.00000e+00       92173.4130     0099
   3.8138825   0.00000e+00       92173.4130     0099
   3.8124285   0.00000e+00       92173.4130     0099
   3.8109756   0.00000e+00       92173.4130     0099
   3.8095238   0.00000e+00       92173.4130     0099
   3.8080731   0.00000e+00       92173.4130     0099
   3.8066235   0.00000e+00       92173.4130     0099
   3.8051750   0.00000e+00       92173.4130     0099
   3.8037277   0.00000e+00       92173.4130     0099
   3.8022814   0.00000e+00       92173.4130     0099
   3.8008362   0.00000e+00       92173.4130     0099
   3.7993921   0.00000e+00       92173.4130     0099
   3.7979491   0.00000e+00       92173.4130     0099
   3.7965072   0.00000e+00       92173.4130     0099
   3.7950664   0.00000e+00       92173.4130     0099
   3.7936267   0.00000e+00       92173.4130     0099
   3.7921881   0.00000e+00       92173.4130     0099
   3.7907506   0.00000e+00       92173.4130     0099
   3.7893141   0.00000e+00       92173.4130     0099
   3.7878788   0.00000e+00       92173.4130     0099
   3.7864445   0.00000e+00       92173.4130     0099
   3.7850114   0.00000e+00       92173.4130     0099
   3.7835793   0.00000e+00       92173.4130     0099
   3.7821483   0.00000e+00       92173.4130     0099
