#wvl [um]      Flux [erg/s/cm]
4              71394.6601        
3.99840064     71412.6514        
3.996802558    71430.6076        
3.995205753    71448.5301        
3.993610224    71466.4198        
3.992015968    71484.278         
3.990422985    71502.1057        
3.988831272    71519.9042        
3.987240829    71537.6745        
3.985651654    71555.4179        
3.984063745    71573.1354        
3.982477101    71590.8281        
3.98089172     71608.496         
3.9793076      71626.1388        
3.977724741    71643.7565        
3.976143141    71661.3487        
3.974562798    71678.9154        
3.972983711    71696.4562        
3.971405878    71713.971         
3.969829297    71731.4596        
3.968253968    71748.9218        
3.966679889    71766.3573        
3.965107058    71783.7654        
3.963535474    71801.1453        
3.961965135    71818.4963        
3.96039604     71835.8176        
3.958828187    71853.1083        
3.957261575    71870.3678        
3.955696203    71887.5952        
3.954132068    71904.7897        
3.95256917     71921.9506        
3.951007507    71939.0773        
3.949447077    71956.1703        
3.94788788     71973.2306        
3.946329913    71990.259         
3.944773176    72007.2563        
3.943217666    72024.2234        
3.941663382    72041.1611        
3.940110323    72058.0704        
3.938558488    72074.9521        
3.937007874    72091.807         
3.935458481    72108.6359        
3.933910307    72125.4385        
3.93236335     72142.2147        
3.93081761     72158.9641        
3.929273084    72175.6864        
3.927729772    72192.3813        
3.926187672    72209.0485        
3.924646782    72225.6876        
3.923107101    72242.2983        
3.921568627    72258.8804        
3.92003136     72275.4336        
3.918495298    72291.9575        
3.916960439    72308.4519        
3.915426782    72324.9166        
3.913894325    72341.3512        
3.912363067    72357.7556        
3.910833007    72374.1295        
3.909304144    72390.4725        
3.907776475    72406.7845        
3.90625        72423.0652        
3.904724717    72439.3144        
3.903200625    72455.5326        
3.901677721    72471.7204        
3.900156006    72487.8783        
3.898635478    72504.0069        
3.897116134    72520.1068        
3.895597974    72536.1787        
3.894080997    72552.223         
3.8925652      72568.2403        
3.891050584    72584.2313        
3.889537145    72600.1963        
3.888024883    72616.1351        
3.886513797    72632.047         
3.885003885    72647.9318        
3.883495146    72663.7888        
3.881987578    72679.6176        
3.88048118     72695.4177        
3.87897595     72711.1886        
3.877471888    72726.9298        
3.875968992    72742.6408        
3.874467261    72758.3212        
3.872966692    72773.9707        
3.871467286    72789.589         
3.86996904     72805.1758        
3.868471954    72820.7308        
3.866976025    72836.2538        
3.865481252    72851.7444        
3.863987635    72867.2025        
3.862495172    72882.6276        
3.861003861    72898.0195        
3.859513701    72913.3782        
3.858024691    72928.7042        
3.85653683     72943.9986        
3.855050116    72959.2622        
3.853564547    72974.4959        
3.852080123    72989.7007        
3.850596843    73004.8775        
3.849114704    73020.0272        
3.847633705    73035.1508        
3.846153846    73050.2493        
3.844675125    73065.3231        
3.84319754     73080.372         
3.841721091    73095.3951        
3.840245776    73110.3918        
3.838771593    73125.3612        
3.837298542    73140.3025        
3.835826621    73155.2151        
3.834355828    73170.0982        
3.832886163    73184.9509        
3.831417625    73199.7726        
3.829950211    73214.5626        
3.82848392     73229.3213        
3.827018752    73244.0492        
3.825554705    73258.7468        
3.824091778    73273.4148        
3.822629969    73288.0535        
3.821169278    73302.6637        
3.819709702    73317.2458        
3.818251241    73331.8004        
3.816793893    73346.328         
3.815337657    73360.829         
3.813882532    73375.3029        
3.812428517    73389.7491        
3.81097561     73404.1668        
3.80952381     73418.5556        
3.808073115    73432.9145        
