# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   4.0000000   1.12261e+01       93566.7850     0086
   3.9984006   1.12104e+01       93566.7850     0086
   3.9968026   1.11948e+01       93566.7850     0086
   3.9952058   1.11793e+01       93566.7850     0086
   3.9936102   1.11638e+01       93566.7850     0086
   3.9920160   1.11484e+01       93566.7850     0086
   3.9904230   1.11330e+01       93566.7850     0086
   3.9888313   1.11177e+01       93566.7850     0086
   3.9872408   1.11024e+01       93566.7850     0086
   3.9856517   1.10872e+01       93566.7850     0086
   3.9840637   1.10719e+01       93566.7850     0086
   3.9824771   1.10567e+01       93566.7850     0086
   3.9808917   1.10415e+01       93566.7850     0086
   3.9793076   1.10263e+01       93566.7850     0086
   3.9777247   1.10111e+01       93566.7850     0086
   3.9761431   1.09960e+01       93566.7850     0086
   3.9745628   1.09809e+01       93566.7850     0086
   3.9729837   1.09659e+01       93566.7850     0086
   3.9714059   1.09509e+01       93566.7850     0086
   3.9698293   1.09359e+01       93566.7850     0086
   3.9682540   1.09210e+01       93566.7850     0086
   3.9666799   1.09062e+01       93566.7850     0086
   3.9651071   1.08915e+01       93566.7850     0086
   3.9635355   1.08768e+01       93566.7850     0086
   3.9619651   1.08621e+01       93566.7850     0086
   3.9603960   1.08475e+01       93566.7850     0086
   3.9588282   1.08330e+01       93566.7850     0086
   3.9572616   1.08184e+01       93566.7850     0086
   3.9556962   1.08039e+01       93566.7850     0086
   3.9541321   1.07894e+01       93566.7850     0086
   3.9525692   1.07750e+01       93566.7850     0086
   3.9510075   1.07605e+01       93566.7850     0086
   3.9494471   1.07461e+01       93566.7850     0086
   3.9478879   1.07317e+01       93566.7850     0086
   3.9463299   1.07173e+01       93566.7850     0086
   3.9447732   1.07030e+01       93566.7850     0086
   3.9432177   1.06887e+01       93566.7850     0086
   3.9416634   1.06745e+01       93566.7850     0086
   3.9401103   1.06603e+01       93566.7850     0086
   3.9385585   1.06463e+01       93566.7850     0086
   3.9370079   1.06323e+01       93566.7850     0086
   3.9354585   1.06183e+01       93566.7850     0086
   3.9339103   1.06045e+01       93566.7850     0086
   3.9323634   1.05907e+01       93566.7850     0086
   3.9308176   1.05770e+01       93566.7850     0086
   3.9292731   1.05634e+01       93566.7850     0086
   3.9277298   1.05498e+01       93566.7850     0086
   3.9261877   1.05363e+01       93566.7850     0086
   3.9246468   1.05228e+01       93566.7850     0086
   3.9231071   1.05094e+01       93566.7850     0086
   3.9215686   1.04959e+01       93566.7850     0086
   3.9200314   1.04825e+01       93566.7850     0086
   3.9184953   1.04692e+01       93566.7850     0086
   3.9169604   1.04558e+01       93566.7850     0086
   3.9154268   1.04425e+01       93566.7850     0086
   3.9138943   1.04292e+01       93566.7850     0086
   3.9123631   1.04159e+01       93566.7850     0086
   3.9108330   1.04026e+01       93566.7850     0086
   3.9093041   1.03893e+01       93566.7850     0086
   3.9077765   1.03761e+01       93566.7850     0086
   3.9062500   1.03629e+01       93566.7850     0086
   3.9047247   1.03497e+01       93566.7850     0086
   3.9032006   1.03365e+01       93566.7850     0086
   3.9016777   1.03234e+01       93566.7850     0086
   3.9001560   1.03103e+01       93566.7850     0086
   3.8986355   1.02973e+01       93566.7850     0086
   3.8971161   1.02843e+01       93566.7850     0086
   3.8955980   1.02714e+01       93566.7850     0086
   3.8940810   1.02586e+01       93566.7850     0086
   3.8925652   1.02458e+01       93566.7850     0086
   3.8910506   1.02331e+01       93566.7850     0086
   3.8895371   1.02206e+01       93566.7850     0086
   3.8880249   1.02081e+01       93566.7850     0086
   3.8865138   1.01957e+01       93566.7850     0086
   3.8850039   1.01833e+01       93566.7850     0086
   3.8834951   1.01710e+01       93566.7850     0086
   3.8819876   1.01587e+01       93566.7850     0086
   3.8804812   1.01465e+01       93566.7850     0086
   3.8789760   1.01343e+01       93566.7850     0086
   3.8774719   1.01220e+01       93566.7850     0086
   3.8759690   1.01098e+01       93566.7850     0086
   3.8744673   1.00975e+01       93566.7850     0086
   3.8729667   1.00853e+01       93566.7850     0086
   3.8714673   1.00730e+01       93566.7850     0086
   3.8699690   1.00607e+01       93566.7850     0086
   3.8684720   1.00485e+01       93566.7850     0086
   3.8669760   1.00363e+01       93566.7850     0086
   3.8654813   1.00242e+01       93566.7850     0086
   3.8639876   1.00121e+01       93566.7850     0086
   3.8624952   1.00001e+01       93566.7850     0086
   3.8610039   1.38758e+01       93459.6160     0087
   3.8595137   1.38594e+01       93459.6160     0087
   3.8580247   1.38431e+01       93459.6160     0087
   3.8565368   1.38269e+01       93459.6160     0087
   3.8550501   1.38108e+01       93459.6160     0087
   3.8535645   1.37948e+01       93459.6160     0087
   3.8520801   1.37789e+01       93459.6160     0087
   3.8505968   1.37631e+01       93459.6160     0087
   3.8491147   1.37473e+01       93459.6160     0087
   3.8476337   1.37315e+01       93459.6160     0087
   3.8461538   1.37158e+01       93459.6160     0087
   3.8446751   1.37001e+01       93459.6160     0087
   3.8431975   1.36845e+01       93459.6160     0087
   3.8417211   1.36688e+01       93459.6160     0087
   3.8402458   1.36532e+01       93459.6160     0087
   3.8387716   1.36376e+01       93459.6160     0087
   3.8372985   1.36221e+01       93459.6160     0087
   3.8358266   1.36066e+01       93459.6160     0087
   3.8343558   1.35911e+01       93459.6160     0087
   3.8328862   1.35757e+01       93459.6160     0087
   3.8314176   1.35603e+01       93459.6160     0087
   3.8299502   1.35450e+01       93459.6160     0087
   3.8284839   1.35298e+01       93459.6160     0087
   3.8270188   1.35146e+01       93459.6160     0087
   3.8255547   1.34994e+01       93459.6160     0087
   3.8240918   1.34843e+01       93459.6160     0087
   3.8226300   1.34692e+01       93459.6160     0087
   3.8211693   1.34542e+01       93459.6160     0087
   3.8197097   1.34392e+01       93459.6160     0087
   3.8182512   1.34243e+01       93459.6160     0087
   3.8167939   1.34094e+01       93459.6160     0087
   3.8153377   1.33945e+01       93459.6160     0087
   3.8138825   1.33797e+01       93459.6160     0087
   3.8124285   1.33649e+01       93459.6160     0087
   3.8109756   1.33501e+01       93459.6160     0087
   3.8095238   1.33354e+01       93459.6160     0087
   3.8080731   1.33208e+01       93459.6160     0087
   3.8066235   1.33062e+01       93459.6160     0087
   3.8051750   1.32917e+01       93459.6160     0087
   3.8037277   1.32773e+01       93459.6160     0087
   3.8022814   1.32629e+01       93459.6160     0087
   3.8008362   1.32487e+01       93459.6160     0087
   3.7993921   1.32345e+01       93459.6160     0087
   3.7979491   1.32204e+01       93459.6160     0087
   3.7965072   1.32064e+01       93459.6160     0087
   3.7950664   1.31924e+01       93459.6160     0087
   3.7936267   1.31785e+01       93459.6160     0087
   3.7921881   1.31646e+01       93459.6160     0087
   3.7907506   1.31508e+01       93459.6160     0087
   3.7893141   1.31370e+01       93459.6160     0087
   3.7878788   1.31233e+01       93459.6160     0087
   3.7864445   1.31095e+01       93459.6160     0087
   3.7850114   1.30958e+01       93459.6160     0087
   3.7835793   1.30822e+01       93459.6160     0087
   3.7821483   1.30685e+01       93459.6160     0087
   3.7807183   1.30550e+01       93459.6160     0087
   3.7792895   1.30414e+01       93459.6160     0087
   3.7778617   1.30280e+01       93459.6160     0087
   3.7764350   1.30146e+01       93459.6160     0087
   3.7750094   1.30013e+01       93459.6160     0087
   3.7735849   1.29881e+01       93459.6160     0087
   3.7721614   1.29749e+01       93459.6160     0087
   3.7707391   1.29619e+01       93459.6160     0087
   3.7693178   1.29489e+01       93459.6160     0087
   3.7678975   1.29360e+01       93459.6160     0087
   3.7664783   1.29232e+01       93459.6160     0087
   3.7650602   1.29104e+01       93459.6160     0087
   3.7636432   1.28976e+01       93459.6160     0087
   3.7622272   1.28849e+01       93459.6160     0087
   3.7608123   1.28723e+01       93459.6160     0087
   3.7593985   1.28596e+01       93459.6160     0087
   3.7579857   1.28470e+01       93459.6160     0087
