#wvl [um]      Flux [erg/s/cm]
4              58064.7298        
3.99840064     58080.2306        
3.996802558    58095.6949        
3.995205753    58111.1227        
3.993610224    58126.5147        
3.992015968    58141.871         
3.990422985    58157.1921        
3.988831272    58172.4783        
3.987240829    58187.7301        
3.985651654    58202.9476        
3.984063745    58218.1314        
3.982477101    58233.2818        
3.98089172     58248.3991        
3.9793076      58263.4835        
3.977724741    58278.5352        
3.976143141    58293.5546        
3.974562798    58308.5419        
3.972983711    58323.4973        
3.971405878    58338.4211        
3.969829297    58353.3137        
3.968253968    58368.1751        
3.966679889    58383.0059        
3.965107058    58397.8062        
3.963535474    58412.5765        
3.961965135    58427.317         
3.96039604     58442.0283        
3.958828187    58456.7105        
3.957261575    58471.364         
3.955696203    58485.9893        
3.954132068    58500.5867        
3.95256917     58515.1566        
3.951007507    58529.6992        
3.949447077    58544.2152        
3.94788788     58558.705         
3.946329913    58573.1691        
3.944773176    58587.608         
3.943217666    58602.0222        
3.941663382    58616.4122        
3.940110323    58630.7786        
3.938558488    58645.1218        
3.937007874    58659.4424        
3.935458481    58673.7405        
3.933910307    58688.015         
3.93236335     58702.2646        
3.93081761     58716.4878        
3.929273084    58730.6831        
3.927729772    58744.8491        
3.926187672    58758.9843        
3.924646782    58773.0873        
3.923107101    58787.1565        
3.921568627    58801.1905        
3.92003136     58815.1877        
3.918495298    58829.1468        
3.916960439    58843.0661        
3.915426782    58856.9443        
3.913894325    58870.7798        
3.912363067    58884.5711        
3.910833007    58898.3167        
3.909304144    58912.0151        
3.907776475    58925.6647        
3.90625        58939.2641        
3.904724717    58952.8121        
3.903200625    58966.3096        
3.901677721    58979.7581        
3.900156006    58993.1591        
3.898635478    59006.5139        
3.897116134    59019.8241        
3.895597974    59033.091         
3.894080997    59046.3161        
3.8925652      59059.501         
3.891050584    59072.647         
3.889537145    59085.7557        
3.888024883    59098.8285        
3.886513797    59111.8665        
3.885003885    59124.8713        
3.883495146    59137.844         
3.881987578    59150.7861        
3.88048118     59163.6989        
3.87897595     59176.5837        
3.877471888    59189.442         
3.875968992    59202.275         
3.874467261    59215.084         
3.872966692    59227.8689        
3.871467286    59240.6294        
3.86996904     59253.3653        
3.868471954    59266.0763        
3.866976025    59278.762         
3.865481252    59291.4222        
3.863987635    59304.0567        
3.862495172    59316.6651        
3.861003861    59329.2471        
3.859513701    59341.8025        
3.858024691    59354.331         
3.85653683     59366.8323        
3.855050116    59379.306         
3.853564547    59391.752         
3.852080123    59404.1698        
3.850596843    59416.5593        
3.849114704    59428.9202        
3.847633705    59441.2521        
3.846153846    59453.5547        
3.844675125    59465.8279        
3.84319754     59478.0716        
3.841721091    59490.2861        
3.840245776    59502.4715        
3.838771593    59514.628         
3.837298542    59526.7558        
3.835826621    59538.8549        
3.834355828    59550.9255        
3.832886163    59562.9679        
3.831417625    59574.9822        
3.829950211    59586.9685        
3.82848392     59598.9271        
3.827018752    59610.8581        
3.825554705    59622.7617        
3.824091778    59634.6382        
3.822629969    59646.4876        
3.821169278    59658.3103        
3.819709702    59670.1065        
3.818251241    59681.8763        
3.816793893    59693.6199        
3.815337657    59705.3372        
3.813882532    59717.0273        
3.812428517    59728.6885        
3.81097561     59740.3196        
3.80952381     59751.9191        
3.808073115    59763.4856        
3.806623525    59775.0176        
3.805175038    59786.5137        
3.803727653    59797.9725        
3.802281369    59809.3924        
3.800836184    59820.7721        
3.799392097    59832.1098        
3.797949107    59843.4041        
3.796507213    59854.6532        
3.795066414    59865.8555        
3.793626707    59877.0095        
3.792188093    59888.1134        
3.790750569    59899.1657        
3.789314134    59910.1645        
3.787878788    59921.1084        
3.786444529    59931.9964        
3.785011355    59942.8309        
3.783579266    59953.6153        
3.78214826     59964.3528        
3.780718336    59975.0469        
3.779289494    59985.7007        
3.77786173     59996.3177        
3.776435045    60006.9012        
3.775009438    60017.4547        
3.773584906    60027.9814        
3.772161449    60038.4849        
3.770739065    60048.9682        
3.769317753    60059.4347        
3.767897513    60069.8876        
3.766478343    60080.3302        
3.765060241    60090.7656        
3.763643207    60101.1973        
3.762227239    60111.6284        
3.760812335    60122.0623        
3.759398496    60132.5024        
3.75798572     60142.9509        
3.756574005    60153.4057        
3.75516335     60163.8639        
3.753753754    60174.3224        
3.752345216    60184.7779        
3.750937734    60195.2275        
3.749531309    60205.6679        
3.748125937    60216.096         
3.746721619    60226.5087        
3.745318352    60236.9027        
3.743916136    60247.2749        
3.74251497     60257.6218        
3.741114852    60267.94          
3.739715782    60278.2261        
3.738317757    60288.4765        
3.736920777    60298.6877        
3.735524841    60308.8563        
3.734129948    60318.9787        
3.732736096    60329.0514        
3.731343284    60339.0707        
3.729951511    60349.034         
3.728560776    60358.9409        
3.727171077    60368.792         
3.725782414    60378.5878        
3.724394786    60388.329         
3.723008191    60398.016         
3.721622627    60407.6494        
3.720238095    60417.2298        
3.718854593    60426.7576        
3.717472119    60436.2335        
3.716090673    60445.658         
3.714710253    60455.0313        
3.713330858    60464.354         
3.711952487    60473.6262        
3.710575139    60482.8482        
3.709198813    60492.0205        
3.707823508    60501.1432        
3.706449222    60510.2168        
3.705075954    60519.2416        
3.703703704    60528.2178        
3.702332469    60537.1462        
3.70096225     60546.029         
3.699593045    60554.8687        
3.698224852    60563.668         
3.696857671    60572.4293        
3.6954915      60581.1553        
3.694126339    60589.8487        
3.692762186    60598.5119        
3.69139904     60607.1478        
3.6900369      60615.7588        
3.688675765    60624.3476        
3.687315634    60632.9166        
3.685956506    60641.4683        
3.684598379    60650.0049        
3.683241252    60658.5289        
3.681885125    60667.0427        
3.680529996    60675.5488        
3.679175865    60684.0494        
3.677822729    60692.5472        
3.676470588    60701.0444        
3.675119441    60709.5431        
3.673769287    60718.0426        
3.672420125    60726.542         
3.671071953    60735.0402        
3.669724771    60743.5359        
3.668378577    60752.0283        
3.66703337     60760.5161        
3.66568915     60768.9983        
3.664345914    60777.4738        
3.663003663    60785.9414        
3.661662395    60794.3999        
3.660322108    60802.8482        
3.658982803    60811.2848        
3.657644477    60819.7083        
3.65630713     60828.1174        
3.65497076     60836.5107        
3.653635367    60844.8868        
3.65230095     60853.2442        
3.650967506    60861.5817        
3.649635036    60869.8978        
3.648303539    60878.1906        
3.646973012    60886.456         
3.645643456    60894.6895        
3.644314869    60902.8863        
3.64298725     60911.042         
3.641660597    60919.1519        
3.640334911    60927.2113        
3.639010189    60935.2155        
3.637686431    60943.16          
3.636363636    60951.0399        
3.635041803    60958.8506        
3.63372093     60966.5872        
3.632401017    60974.2448        
3.631082062    60981.8187        
3.629764065    60989.3038        
3.628447025    60996.6954        
3.627130939    61003.9884        
3.625815809    61011.1779        
3.624501631    61018.259         
3.623188406    61025.2268        
3.621876132    61032.0777        
3.620564808    61038.8142        
3.619254434    61045.4404        
3.617945007    61051.9603        
3.616636528    61058.3778        
3.615328995    61064.697         
3.614022407    61070.922         
3.612716763    61077.0568        
3.611412062    61083.1055        
3.610108303    61089.0722        
3.608805485    61094.9611        
3.607503608    61100.7761        
3.606202669    61106.5215        
3.604902668    61112.2014        
3.603603604    61117.82          
3.602305476    61123.3813        
3.601008282    61128.8896        
3.599712023    61134.3491        
3.598416697    61139.7639        
3.597122302    61145.1383        
3.595828839    61150.4756        
3.594536305    61155.7751        
3.5932447      61161.0356        
3.591954023    61166.2554        
3.590664273    61171.4332        
3.589375449    61176.5674        
3.588087549    61181.6565        
3.586800574    61186.6992        
3.585514521    61191.6939        
3.584229391    61196.6391        
3.582945181    61201.5334        
3.581661891    61206.3751        
3.58037952     61211.1628        
3.579098067    61215.8948        
3.577817531    61220.5697        
3.576537911    61225.1858        
3.575259206    61229.7416        
3.573981415    61234.2355        
3.572704537    61238.666         
3.571428571    61243.0314        
3.570153517    61247.3306        
3.568879372    61251.5634        
3.567606136    61255.73          
3.566333809    61259.8308        
3.565062389    61263.8659        
3.563791875    61267.8356        
3.562522266    61271.7401        
3.561253561    61275.5797        
3.55998576     61279.3546        
3.558718861    61283.0651        
3.557452864    61286.7113        
3.556187767    61290.2936        
3.554923569    61293.8121        
3.55366027     61297.2671        
3.552397869    61300.6587        
3.551136364    61303.9872        
3.549875754    61307.2528        
3.54861604     61310.4557        
3.547357219    61313.5961        
3.546099291    61316.6743        
3.544842255    61319.6908        
3.543586109    61322.6479        
3.542330854    61325.5484        
3.541076487    61328.3948        
3.539823009    61331.1899        
3.538570418    61333.9362        
3.537318712    61336.6365        
3.536067893    61339.2936        
3.534817957    61341.9099        
3.533568905    61344.4884        
3.532320735    61347.0316        
3.531073446    61349.5424        
3.529827038    61352.0238        
3.52858151     61354.4785        
3.527336861    61356.9094        
3.526093089    61359.3194        
3.524850194    61361.7115        
3.523608175    61364.0884        
3.522367031    61366.4531        
3.521126761    61368.8085        
3.519887364    61371.1559        
3.518648839    61373.4907        
3.517411185    61375.8065        
3.516174402    61378.0971        
3.514938489    61380.3562        
3.513703443    61382.5776        
3.512469266    61384.7549        
3.511235955    61386.8818        
3.51000351     61388.9521        
3.50877193     61390.9594        
3.507541214    61392.8973        
3.50631136     61394.7596        
3.505082369    61396.5401        
3.50385424     61398.2324        
3.50262697     61399.8302        
3.50140056     61401.3272        
3.500175009    61402.7171        
3.498950315    61403.9936        
3.497726478    61405.1504        
3.496503497    61406.1811        
3.49528137     61407.0814        
3.494060098    61407.8545        
3.492839679    61408.5054        
3.491620112    61409.0393        
3.490401396    61409.4613        
3.489183531    61409.7764        
3.487966516    61409.99          
3.486750349    61410.107         
3.48553503     61410.1326        
3.484320557    61410.072         
3.483106931    61409.9304        
3.48189415     61409.713         
3.480682214    61409.4253        
3.47947112     61409.0725        
3.47826087     61408.66          
3.47705146     61408.1932        
3.475842892    61407.6774        
3.474635163    61407.118         
3.473428274    61406.5202        
3.472222222    61405.8896        
3.471017008    61405.2301        
3.46981263     61404.5408        
3.468609088    61403.8194        
3.46740638     61403.0635        
3.466204506    61402.2711        
3.465003465    61401.4397        
3.463803256    61400.5671        
3.462603878    61399.651         
3.461405331    61398.6892        
3.460207612    61397.6794        
3.459010723    61396.6193        
3.457814661    61395.507         
3.456619426    61394.3405        
3.455425017    61393.1178        
3.454231434    61391.8371        
3.453038674    61390.4964        
3.451846738    61389.0936        
3.450655625    61387.627         
3.449465333    61386.0944        
3.448275862    61384.4941        
3.447087211    61382.8243        
3.44589938     61381.0843        
3.444712367    61379.2738        
3.443526171    61377.3924        
3.442340792    61375.4396        
3.441156228    61373.4152        
3.43997248     61371.3186        
3.438789546    61369.1496        
3.437607425    61366.9078        
3.436426117    61364.5927        
3.43524562     61362.204         
3.434065934    61359.7414        
3.432887058    61357.2046        
3.431708991    61354.5935        
3.430531732    61351.9076        
3.429355281    61349.1467        
3.428179637    61346.3107        
3.427004798    61343.3991        
3.425830764    61340.4118        
3.424657534    61337.3484        
3.423485108    61334.2089        
3.422313484    61330.9936        
3.421142662    61327.7029        
3.41997264     61324.3373        
3.418803419    61320.8973        
3.417634997    61317.3832        
3.416467373    61313.7956        
3.415300546    61310.1349        
3.414134517    61306.4016        
3.412969283    61302.5961        
3.411804845    61298.7188        
3.410641201    61294.7704        
3.40947835     61290.7512        
3.408316292    61286.6618        
3.407155026    61282.5027        
3.40599455     61278.2744        
3.404834866    61273.9773        
3.40367597     61269.612         
3.402517863    61265.1789        
3.401360544    61260.6787        
3.400204012    61256.1117        
3.399048266    61251.4788        
3.397893306    61246.7806        
3.39673913     61242.0178        
3.395585739    61237.1912        
3.39443313     61232.3014        
3.393281303    61227.3493        
3.392130258    61222.3355        
3.390979993    61217.2608        
3.389830508    61212.1258        
3.388681803    61206.9313        
3.387533875    61201.6781        
3.386386725    61196.3666        
3.385240352    61190.9978        
3.384094755    61185.5723        
3.382949932    61180.0907        
3.381805884    61174.5539        
3.38066261     61168.9623        
3.379520108    61163.3169        
3.378378378    61157.6182        
3.37723742     61151.8666        
3.376097232    61146.0611        
3.374957813    61140.2002        
3.373819163    61134.2827        
3.372681282    61128.3071        
3.371544167    61122.2721        
3.370407819    61116.1762        
3.369272237    61110.0182        
3.36813742     61103.7967        
3.367003367    61097.5103        
3.365870077    61091.1577        
3.36473755     61084.7373        
3.363605785    61078.2478        
3.362474781    61071.6876        
3.361344538    61065.0554        
3.360215054    61058.3496        
3.359086329    61051.5688        
3.357958361    61044.7116        
3.356831151    61037.7766        
3.355704698    61030.7622        
3.354579       61023.6679        
3.353454058    61016.4958        
3.352329869    61009.249         
3.351206434    61001.9303        
3.350083752    60994.5428        
3.348961822    60987.0894        
3.347840643    60979.5729        
3.346720214    60971.9965        
3.345600535    60964.3629        
3.344481605    60956.6751        
3.343363424    60948.936         
3.342245989    60941.1482        
3.341129302    60933.3145        
3.34001336     60925.4374        
3.338898164    60917.5196        
3.337783712    60909.5637        
3.336670003    60901.5724        
3.335557038    60893.5482        
3.334444815    60885.4937        
3.333333333    60877.4116        
3.332222592    60869.3037        
3.331112592    60861.169         
3.33000333     60853.0058        
3.328894807    60844.8126        
3.327787022    60836.5875        
3.326679973    60828.3289        
3.325573661    60820.0351        
3.324468085    60811.7045        
3.323363244    60803.3355        
3.322259136    60794.9262        
3.321155762    60786.4752        
3.320053121    60777.9805        
3.318951211    60769.4404        
3.317850033    60760.8529        
3.316749585    60752.2163        
3.315649867    60743.5287        
3.314550878    60734.7884        
3.313452618    60725.9935        
3.312355084    60717.1422        
3.311258278    60708.2327        
3.310162198    60699.2638        
3.309066843    60690.2367        
3.307972213    60681.1531        
3.306878307    60672.0148        
3.305785124    60662.8234        
3.304692664    60653.5808        
3.303600925    60644.2886        
3.302509908    60634.9485        
3.30141961     60625.5624        
3.300330033    60616.1318        
3.299241175    60606.6585        
3.298153034    60597.1442        
3.297065612    60587.5906        
3.295978906    60577.9995        
3.294892916    60568.3726        
3.293807642    60558.7115        
3.292723082    60549.018         
3.291639236    60539.2938        
3.290556104    60529.5405        
3.289473684    60519.7598        
3.288391976    60509.9534        
3.28731098     60500.123         
3.286230693    60490.2702        
3.285151117    60480.3965        
3.28407225     60470.5037        
3.282994091    60460.5933        
3.281916639    60450.6669        
3.280839895    60440.7262        
3.279763857    60430.7728        
3.278688525    60420.8083        
3.277613897    60410.8341        
3.276539974    60400.8518        
3.275466754    60390.8627        
3.274394237    60380.8681        
3.273322422    60370.8695        
3.272251309    60360.8682        
3.271180896    60350.8655        
3.270111184    60340.8628        
3.269042171    60330.8615        
3.267973856    60320.8629        
3.26690624     60310.868         
3.265839321    60300.8765        
3.264773098    60290.8879        
3.263707572    60280.9016        
3.262642741    60270.917         
3.261578604    60260.9335        
3.260515161    60250.9506        
3.259452412    60240.9676        
3.258390355    60230.9839        
3.25732899     60220.9992        
3.256268317    60211.0126        
3.255208333    60201.0233        
3.25414904     60191.0306        
3.253090436    60181.0335        
3.25203252     60171.0312        
3.250975293    60161.0228        
3.249918752    60151.0074        
3.248862898    60140.9843        
3.24780773     60130.9525        
3.246753247    60120.9112        
3.245699448    60110.8593        
3.244646334    60100.795         
3.243593902    60090.716         
3.242542153    60080.6203        
3.241491086    60070.5056        
3.2404407      60060.3699        
3.239390994    60050.211         
3.238341969    60040.0269        
3.237293623    60029.8155        
3.236245955    60019.5745        
3.235198965    60009.302         
3.234152652    59998.9958        
3.233107016    59988.6539        
3.232062056    59978.2741        
3.231017771    59967.8544        
3.22997416     59957.3926        
