# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   4.0000000   1.33959e+01       94530.5330     0077
   3.9984006   1.33797e+01       94530.5330     0077
   3.9968026   1.33636e+01       94530.5330     0077
   3.9952058   1.33476e+01       94530.5330     0077
   3.9936102   1.33316e+01       94530.5330     0077
   3.9920160   1.33156e+01       94530.5330     0077
   3.9904230   1.32998e+01       94530.5330     0077
   3.9888313   1.32839e+01       94530.5330     0077
   3.9872408   1.32682e+01       94530.5330     0077
   3.9856517   1.32525e+01       94530.5330     0077
   3.9840637   1.32368e+01       94530.5330     0077
   3.9824771   1.32212e+01       94530.5330     0077
   3.9808917   1.32056e+01       94530.5330     0077
   3.9793076   1.31901e+01       94530.5330     0077
   3.9777247   1.31746e+01       94530.5330     0077
   3.9761431   1.31592e+01       94530.5330     0077
   3.9745628   1.31438e+01       94530.5330     0077
   3.9729837   1.31284e+01       94530.5330     0077
   3.9714059   1.31131e+01       94530.5330     0077
   3.9698293   1.30978e+01       94530.5330     0077
   3.9682540   1.30825e+01       94530.5330     0077
   3.9666799   1.30673e+01       94530.5330     0077
   3.9651071   1.30521e+01       94530.5330     0077
   3.9635355   1.30369e+01       94530.5330     0077
   3.9619651   1.30217e+01       94530.5330     0077
   3.9603960   1.30066e+01       94530.5330     0077
   3.9588282   1.29915e+01       94530.5330     0077
   3.9572616   1.29765e+01       94530.5330     0077
   3.9556962   1.29614e+01       94530.5330     0077
   3.9541321   1.29464e+01       94530.5330     0077
   3.9525692   1.29315e+01       94530.5330     0077
   3.9510075   1.29165e+01       94530.5330     0077
   3.9494471   1.29016e+01       94530.5330     0077
   3.9478879   1.28867e+01       94530.5330     0077
   3.9463299   1.28719e+01       94530.5330     0077
   3.9447732   1.28571e+01       94530.5330     0077
   3.9432177   1.28423e+01       94530.5330     0077
   3.9416634   1.28276e+01       94530.5330     0077
   3.9401103   1.28129e+01       94530.5330     0077
   3.9385585   1.27982e+01       94530.5330     0077
