#wvl [um]      Flux [erg/s/cm]
8              23489.3975        
7.993605116    23510.6607        
7.987220447    23531.9108        
7.98084597     23553.1478        
7.974481659    23574.3716        
7.96812749     23595.5823        
7.961783439    23616.7797        
7.955449483    23637.964         
7.949125596    23659.135         
7.942811755    23680.2928        
7.936507937    23701.4373        
7.930214116    23722.5685        
7.923930269    23743.6864        
7.917656374    23764.791         
7.911392405    23785.8822        
7.90513834     23806.96          
7.898894155    23828.0244        
7.892659826    23849.0754        
7.886435331    23870.1129        
7.880220646    23891.137         
7.874015748    23912.1476        
7.867820614    23933.1447        
7.86163522     23954.1282        
7.855459544    23975.0982        
7.849293564    23996.0547        
7.843137255    24016.9975        
7.836990596    24037.9267        
7.830853563    24058.8423        
7.824726135    24079.7443        
7.818608288    24100.6325        
7.8125         24121.5071        
7.806401249    24142.368         
7.800312012    24163.2151        
7.794232268    24184.0485        
7.788161994    24204.868         
7.782101167    24225.6738        
7.776049767    24246.4658        
7.77000777     24267.244         
7.763975155    24288.0083        
7.757951901    24308.7587        
7.751937984    24329.4952        
7.745933385    24350.2178        
7.73993808     24370.9264        
7.733952049    24391.6211        
7.72797527     24412.3018        
7.722007722    24432.9686        
7.716049383    24453.6213        
7.710100231    24474.2599        
7.704160247    24494.8846        
7.698229407    24515.4951        
7.692307692    24536.0916        
7.686395081    24556.6739        
7.680491551    24577.2421        
7.674597084    24597.7961        
7.668711656    24618.336         
7.662835249    24638.8617        
7.656967841    24659.3731        
7.651109411    24679.8704        
7.645259939    24700.3534        
7.639419404    24720.8221        
7.633587786    24741.2765        
7.627765065    24761.7167        
7.62195122     24782.1424        
7.61614623     24802.5539        
7.610350076    24822.951         
7.604562738    24843.3337        
7.598784195    24863.702         
7.593014427    24884.0559        
7.587253414    24904.3953        
7.581501137    24924.7203        
7.575757576    24945.0308        
7.57002271     24965.3269        
7.56429652     24985.6084        
7.558578987    25005.8753        
7.552870091    25026.1278        
7.547169811    25046.3656        
7.54147813     25066.5889        
7.535795026    25086.7976        
7.530120482    25106.9916        
7.524454477    25127.171         
7.518796992    25147.3357        
7.513148009    25167.4858        
7.507507508    25187.6212        
7.501875469    25207.7418        
7.496251874    25227.8477        
7.490636704    25247.9389        
7.48502994     25268.0153        
7.479431563    25288.0769        
7.473841555    25308.1237        
7.468259895    25328.1557        
7.462686567    25348.1729        
