# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   8.0000000   1.74577e+01      100932.0930     0002
   7.9936051   1.30653e+01      100610.7090     0006
   7.9872204   1.17007e+01       98923.2730     0027
   7.9808460   1.16190e+01       98279.9140     0035
   7.9744817   1.09467e+01       98440.8440     0033
   7.9681275   1.21698e+01      101012.4490     0001
   7.9617834   1.08023e+01       98440.8440     0033
   7.9554495   1.00569e+01       98842.8900     0028
   7.9491256   1.03924e+01       97715.5160     0042
   7.9428118   1.22584e+01      100289.3270     0010
   7.9365079   1.09877e+01       99003.6490     0026
   7.9302141   1.01836e+01       97309.8820     0047
   7.9239303   1.29381e+01       97553.6680     0044
   7.9176564   1.12999e+01       97796.3130     0041
   7.9113924   1.09677e+01       99485.8280     0020
   7.9051383   1.14102e+01       97715.5160     0042
   7.8988942   1.08161e+01       98682.1180     0030
   7.8926598   1.04867e+01      100851.7360     0003
   7.8864353   1.05719e+01       99566.1840     0019
   7.8802206   1.00041e+01       99164.3880     0024
   7.8740157   1.14259e+01       98762.5120     0029
   7.8678206   1.12346e+01       98923.2730     0027
   7.8616352   1.11265e+01       99485.8280     0020
   7.8554595   1.16373e+01       98038.3070     0038
   7.8492936   1.06600e+01       99807.2500     0016
   7.8431373   1.02980e+01       99003.6490     0026
   7.8369906   1.00826e+01      100771.4070     0004
   7.8308536   1.09988e+01       98440.8440     0033
   7.8247261   1.13523e+01      100048.2790     0013
   7.8186083   1.25479e+01       97796.3130     0041
   7.8125000   1.22124e+01      100450.0150     0008
   7.8064012   6.97967e+01      101012.4490     0001
   7.8003120   1.05319e+01       98199.4050     0036
   7.7942323   1.21366e+01      100289.3270     0010
   7.7881620   1.12653e+01       99164.3880     0024
   7.7821012   1.05453e+01      100289.3270     0010
   7.7760498   1.23730e+01      100450.0150     0008
   7.7700078   1.00076e+01       99003.6490     0026
   7.7639752   1.04489e+01       98923.2730     0027
   7.7579519   1.00686e+01       98038.3070     0038
   7.7519380   1.21493e+01      100289.3270     0010
   7.7459334   1.15932e+01       97796.3130     0041
   7.7399381   1.13394e+01      100450.0150     0008
   7.7339520   1.14826e+01       99726.8770     0017
   7.7279753   1.14843e+01      100610.7090     0006
   7.7220077   1.14977e+01       98521.2830     0032
   7.7160494   1.05156e+01       98360.3750     0034
   7.7101002   1.01890e+01       99967.9320     0014
   7.7041602   1.17127e+01       98923.2730     0027
   7.6982294   1.03607e+01       99244.7540     0023
   7.6923077   1.04852e+01       99244.7540     0023
   7.6863951   1.06286e+01       98279.9140     0035
   7.6804916   2.00409e+01      100932.0930     0002
   7.6745971   1.08492e+01       98682.1180     0030
   7.6687117   1.05170e+01       99003.6490     0026
   7.6628352   1.85531e+01      100932.0930     0002
   7.6569678   1.07949e+01      100610.7090     0006
   7.6511094   1.05179e+01       98842.8900     0028
   7.6452599   1.12172e+01      100691.0620     0005
   7.6394194   1.02876e+01       97472.5470     0045
   7.6335878   1.14211e+01       96899.0880     0052
   7.6277651   1.14696e+01       99485.8280     0020
   7.6219512   1.13642e+01       99485.8280     0020
   7.6161462   1.13657e+01       99566.1840     0019
   7.6103501   1.19303e+01       97391.3100     0046
   7.6045627   1.13163e+01       97472.5470     0045
   7.5987842   1.17635e+01      100932.0930     0002
   7.5930144   1.11679e+01       99726.8770     0017
   7.5872534   1.01179e+01       98360.3750     0034
   7.5815011   1.00294e+01      100369.6670     0009
   7.5757576   1.10195e+01       97796.3130     0041
   7.5700227   1.11121e+01       98842.8900     0028
   7.5642965   1.11754e+01       97796.3130     0041
   7.5585790   1.17494e+01       98682.1180     0030
