#wvl [um]      Flux [erg/s/cm]
8              28240.0096        
7.993605116    28249.9188        
7.987220447    28090.3182        
7.98084597     27333.2768        
7.974481659    28101.1678        
7.96812749     28378.7821        
7.961783439    26278.597         
7.955449483    28010.9139        
7.949125596    23712.1016        
7.942811755    28465.8116        
7.936507937    28327.2757        
7.930214116    17610.6412        
7.923930269    22826.7878        
7.917656374    19498.9707        
7.911392405    28467.7211        
7.90513834     25478.6077        
7.898894155    27824.2675        
7.892659826    28710.123         
7.886435331    28624.0008        
7.880220646    28568.4156        
7.874015748    27848.2057        
7.867820614    28495.5508        
7.86163522     28717.1208        
7.855459544    26241.3692        
7.849293564    28822.7981        
7.843137255    28724.9847        
7.836990596    28956.1205        
7.830853563    28188.749         
7.824726135    28934.0692        
7.818608288    24907.0655        
7.8125         29057.1319        
7.806401249    29095.2204        
7.800312012    27978.3664        
7.794232268    29129.1191        
7.788161994    29001.918         
7.782101167    29136.2504        
7.776049767    29192.3549        
7.77000777     28942.9549        
7.763975155    28936.8998        
7.757951901    26179.6599        
7.751937984    29290.3913        
7.745933385    26525.9544        
7.73993808     29367.0214        
7.733952049    29282.6689        
7.72797527     29428.524         
7.722007722    28989.3364        
7.716049383    28304.1342        
7.710100231    29428.5481        
7.704160247    29276.7234        
7.698229407    29423.5019        
7.692307692    29423.7882        
7.686395081    28492.9087        
7.680491551    29667.9038        
7.674597084    29188.5209        
7.668711656    29458.2712        
7.662835249    29749.2044        
7.656967841    29767.8123        
7.651109411    29520.3437        
7.645259939    29828.06          
7.639419404    23524.3968        
7.633587786    14648.4035        
7.627765065    29791.1368        
7.62195122     29815.1355        
7.61614623     29816.4           
7.610350076    20021.3927        
7.604562738    23307.4966        
7.598784195    30046.6521        
7.593014427    29922.8574        
7.587253414    28345.3889        
7.581501137    30065.132         
7.575757576    24072.4703        
7.57002271     29865.917         
7.56429652     25218.0867        
7.558578987    29941.9959        
7.552870091    29887.0732        
7.547169811    28729.6919        
7.54147813     25275.1384        
7.535795026    27640.7035        
7.530120482    30337.839         
7.524454477    28328.6312        
7.518796992    29239.728         
7.513148009    30297.4615        
7.507507508    30438.065         
7.501875469    30251.2444        
7.496251874    30259.5613        
7.490636704    30523.968         
7.48502994     29645.685         
7.479431563    28876.4122        
7.473841555    30297.9429        
7.468259895    30180.8389        
7.462686567    29132.193         
7.457121551    28844.3913        
7.451564829    30597.9238        
7.446016381    30611.2806        
7.44047619     30687.9926        
7.434944238    28628.2861        
7.429420505    30849.8572        
7.423904974    30477.587         
7.418397626    30864.7241        
7.412898443    30819.1823        
7.407407407    29747.7473        
7.4019245      30884.9413        
7.396449704    29233.3139        
7.390983001    31025.8287        
7.385524372    29280.9243        
7.380073801    28173.0718        
7.374631268    31114.5133        
7.369196758    30932.6837        
7.36377025     31093.7203        
7.358351729    31034.4523        
7.352941176    31220.2269        
7.347538575    31169.0889        
7.342143906    31038.9591        
7.336757153    26595.3024        
7.331378299    22219.0157        
7.326007326    31215.9204        
7.320644217    31315.6645        
7.315288954    23602.6454        
7.30994152     31180.9424        
7.304601899    31112.1723        
