# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
  35.7142857   4.54743e+05       79372.7260     0099
  35.7015352   5.21417e+05       79372.7260     0099
  35.6887937   5.80171e+05       79372.7260     0099
  35.6760614   6.42358e+05       79372.7260     0099
  35.6633381   6.50866e+05       79372.7260     0099
  35.6506239   5.73258e+05       79372.7260     0099
  35.6379187   5.59754e+05       79372.7260     0099
  35.6252227   5.67044e+05       79372.7260     0099
  35.6125356   6.02115e+05       79372.7260     0099
  35.5998576   6.20576e+05       79372.7260     0099
  35.5871886   6.35806e+05       79372.7260     0099
  35.5745286   6.17781e+05       79372.7260     0099
  35.5618777   6.18899e+05       79372.7260     0099
  35.5492357   6.32604e+05       79372.7260     0099
  35.5366027   6.64723e+05       79372.7260     0099
  35.5239787   6.78682e+05       79372.7260     0099
  35.5113636   6.83944e+05       79372.7260     0099
  35.4987575   7.12385e+05       79372.7260     0099
  35.4861604   7.48208e+05       79372.7260     0099
  35.4735722   8.18612e+05       79372.7260     0099
  35.4609929   8.80052e+05       79372.7260     0099
  35.4484225   1.08693e+06       79372.7260     0099
  35.4358611   9.48052e+05       79372.7260     0099
  35.4233085   9.15521e+05       79372.7260     0099
  35.4107649   7.96770e+05       79372.7260     0099
  35.3982301   7.54390e+05       79372.7260     0099
  35.3857042   7.35638e+05       79372.7260     0099
  35.3731871   7.31185e+05       79372.7260     0099
  35.3606789   7.41944e+05       79372.7260     0099
  35.3481796   7.49004e+05       79372.7260     0099
  35.3356890   7.69939e+05       79372.7260     0099
  35.3232073   7.95550e+05       79372.7260     0099
  35.3107345   7.72259e+05       79372.7260     0099
  35.2982704   7.67160e+05       79372.7260     0099
  35.2858151   7.86839e+05       79372.7260     0099
  35.2733686   8.19572e+05       79372.7260     0099
  35.2609309   8.23138e+05       79372.7260     0099
  35.2485019   8.39298e+05       79372.7260     0099
  35.2360817   8.58381e+05       79372.7260     0099
  35.2236703   9.06375e+05       79372.7260     0099
  35.2112676   9.21189e+05       79372.7260     0099
  35.1988736   9.64812e+05       79372.7260     0099
  35.1864884   1.03423e+06       79372.7260     0099
  35.1741119   1.13634e+06       79372.7260     0099
  35.1617440   1.32837e+06       79372.7260     0099
  35.1493849   1.17621e+06       79372.7260     0099
  35.1370344   1.23316e+06       79372.7260     0099
  35.1246927   1.39355e+06       79372.7260     0099
  35.1123596   1.84625e+06       79372.7260     0099
  35.1000351   1.28130e+06       79372.7260     0099
  35.0877193   1.16504e+06       79372.7260     0099
  35.0754121   1.11662e+06       79372.7260     0099
  35.0631136   1.09810e+06       79372.7260     0099
  35.0508237   1.11846e+06       79372.7260     0099
  35.0385424   1.16881e+06       79372.7260     0099
  35.0262697   1.38080e+06       79372.7260     0099
  35.0140056   1.90531e+06       79372.7260     0099
  35.0017501   1.20598e+06       79372.7260     0099
  34.9895031   1.19423e+06       79372.7260     0099
