#wvl [um]      Flux [erg/s/cm]
35.71428571    2323.56552        
35.70153517    2320.0085         
35.68879372    2074.82862        
35.67606136    2076.25482        
35.66333809    2052.95201        
35.65062389    2202.42689        
35.63791875    2082.76225        
35.62522266    2246.8641         
35.61253561    2063.99755        
35.5998576     2315.63527        
35.58718861    2047.59604        
35.57452864    2351.03094        
35.56187767    2302.94056        
35.54923569    2309.83753        
35.5366027     2075.11515        
35.52397869    2094.9889         
35.51136364    2254.43909        
35.49875754    2156.45332        
35.4861604     2327.5029         
35.47357219    2038.68912        
35.46099291    2258.34881        
35.44842255    2014.50729        
35.43586109    2335.00665        
35.42330854    2263.8801         
35.41076487    2118.542          
35.39823009    2366.23874        
35.38570418    2296.51851        
35.37318712    2231.05587        
35.36067893    2110.5123         
35.34817957    2339.56708        
35.33568905    2027.40098        
35.32320735    2029.1291         
35.31073446    2223.57496        
35.29827038    2278.51033        
35.2858151     2029.01706        
35.27336861    2056.44816        
35.26093089    2071.0015         
35.24850194    2094.96328        
35.23608175    2376.90582        
35.22367031    2103.21288        
35.21126761    2348.94489        
35.19887364    2354.60335        
35.18648839    2214.13303        
35.17411185    2050.70958        
35.16174402    2042.78446        
35.14938489    2383.20357        
35.13703443    2423.45482        
35.12469266    2156.04792        
35.11235955    2046.75166        
35.1000351     2070.65522        
35.0877193     2203.15244        
35.07541214    2050.72488        
35.0631136     2548.78657        
35.05082369    2154.30594        
35.0385424     2129.97928        
35.0262697     2056.68909        
35.0140056     2056.61635        
35.00175009    2505.3524         
34.98950315    2069.74004        
34.97726478    2169.92013        
34.96503497    2512.87187        
34.9528137     2451.78323        
34.94060098    2171.72081        
34.92839679    2095.49962        
34.91620112    2295.75291        
34.90401396    2166.44546        
34.89183531    2080.75536        
34.87966516    2167.73052        
34.86750349    2189.48356        
34.8553503     2094.21146        
34.84320557    2116.84631        
34.83106931    2450.25214        
34.8189415     2325.71305        
34.80682214    2354.90998        
34.7947112     2176.7924         
34.7826087     2169.72748        
34.7705146     2215.92007        
34.75842892    2439.99666        
34.74635163    2111.4767         
34.73428274    2325.59715        
34.72222222    2394.49858        
34.71017008    2362.2424         
34.6981263     2140.0048         
34.68609088    2142.0627         
34.6740638     2102.77412        
34.66204506    2098.90581        
34.65003465    2395.23663        
34.63803256    2521.12971        
34.62603878    2179.62627        
34.61405331    2515.24677        
34.60207612    2193.90194        
34.59010723    2103.56774        
34.57814661    2155.769          
34.56619426    2676.16166        
