# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
  35.7142857   1.74776e+01       81838.6710     0072
  35.7015352   1.24527e+01       81949.8610     0070
  35.6887937   1.64350e+01       82054.4870     0068
  35.6760614   1.30852e+01       82054.4870     0068
  35.6633381   1.39317e+01       82054.4870     0068
  35.6506239   1.31004e+01       81895.1860     0071
  35.6379187   1.45904e+01       81949.8610     0070
  35.6252227   1.65630e+01       81719.1940     0074
  35.6125356   1.05541e+01       82104.8510     0067
  35.5998576   1.55201e+01       81895.1860     0071
  35.5871886   1.26898e+01       82054.4870     0068
  35.5745286   1.57306e+01       81895.1860     0071
  35.5618777   1.87647e+01       81949.8610     0070
  35.5492357   1.84757e+01       81838.6710     0072
  35.5366027   1.42780e+01       82104.8510     0067
  35.5239787   1.61156e+01       82054.4870     0068
  35.5113636   1.13674e+01       81838.6710     0072
  35.4987575   1.74504e+01       81949.8610     0070
  35.4861604   1.16794e+01       81895.1860     0071
  35.4735722   1.12440e+01       82250.2760     0064
  35.4609929   1.69197e+01       81895.1860     0071
  35.4484225   1.25280e+01       82527.1180     0058
  35.4358611   7.21794e+01       81949.8610     0070
  35.4233085   6.39902e+01       82054.4870     0068
  35.4107649   1.59007e+01       82002.8890     0069
  35.3982301   1.14383e+01       81838.6710     0072
  35.3857042   1.41349e+01       81838.6710     0072
  35.3731871   1.45918e+01       81780.0740     0073
  35.3606789   1.02061e+01       82002.8890     0069
  35.3481796   1.29029e+01       81895.1860     0071
  35.3356890   1.24386e+01       82436.0270     0060
  35.3232073   1.21376e+01       82481.6710     0059
  35.3107345   1.03225e+01       81949.8610     0070
  35.2982704   1.12529e+01       81895.1860     0071
  35.2858151   1.15753e+01       82707.8190     0054
  35.2733686   1.02980e+01       82297.3670     0063
  35.2609309   1.12501e+01       82154.1620     0066
  35.2485019   1.21508e+01       82002.8890     0069
  35.2360817   1.07917e+01       81838.6710     0072
  35.2236703   1.01035e+01       82154.1620     0066
  35.2112676   1.17092e+01       81838.6710     0072
  35.1988736   1.75219e+01       81838.6710     0072
  35.1864884   1.76558e+01       81949.8610     0070
  35.1741119   1.12622e+01       82343.9600     0062
  35.1617440   1.10616e+01       82617.6190     0056
  35.1493849   2.37810e+01       81780.0740     0073
  35.1370344   3.76795e+01       81895.1860     0071
  35.1246927   1.62429e+01       82104.8510     0067
  35.1123596   1.02289e+01       82842.9130     0051
  35.1000351   1.36436e+01       82297.3670     0063
  35.0877193   1.23002e+01       82002.8890     0069
  35.0754121   1.18084e+01       82797.8940     0052
  35.0631136   2.09954e+01       81719.1940     0074
  35.0508237   1.17723e+01       82054.4870     0068
  35.0385424   1.50588e+01       82104.8510     0067
  35.0262697   1.14013e+01       82662.7440     0055
  35.0140056   1.02713e+01       83385.4400     0039
  35.0017501   7.30627e+01       81838.6710     0072
  34.9895031   1.48324e+01       82390.1560     0061
  34.9772648   1.66971e+01       82002.8890     0069
  34.9650350   1.46885e+01       81719.1940     0074
  34.9528137   1.17400e+01       81838.6710     0072
  34.9406010   1.55519e+01       82054.4870     0068
  34.9283968   1.07681e+01       82054.4870     0068
  34.9162011   1.04143e+01       82054.4870     0068
  34.9040140   1.22110e+01       82002.8890     0069
  34.8918353   1.07691e+01       82297.3670     0063
  34.8796652   1.84999e+01       82054.4870     0068
  34.8675035   1.46163e+01       82054.4870     0068
  34.8553503   1.48221e+01       82297.3670     0063
  34.8432056   1.05155e+01       82154.1620     0066
  34.8310693   1.63281e+01       81895.1860     0071
  34.8189415   1.75191e+01       82002.8890     0069
  34.8068221   1.25498e+01       81838.6710     0072
  34.7947112   1.26554e+01       82054.4870     0068
  34.7826087   1.12786e+01       81895.1860     0071
  34.7705146   1.07944e+01       82002.8890     0069
  34.7584289   1.99147e+01       81780.0740     0073
  34.7463516   1.13688e+01       82297.3670     0063
  34.7342827   1.61769e+01       82054.4870     0068
  34.7222222   1.77900e+01       81838.6710     0072
  34.7101701   1.79703e+01       81838.6710     0072
  34.6981263   1.73100e+01       82104.8510     0067
  34.6860909   1.09430e+01       82202.5880     0065
  34.6740638   1.19196e+01       82297.3670     0063
  34.6620451   1.13982e+01       82481.6710     0059
  34.6500347   1.11021e+01       81780.0740     0073
  34.6380326   1.10101e+01       81838.6710     0072
  34.6260388   1.18792e+01       82104.8510     0067
  34.6140533   1.16501e+01       81838.6710     0072
  34.6020761   1.45824e+01       81895.1860     0071
  34.5901072   1.15529e+01       82707.8190     0054
  34.5781466   1.49254e+01       82054.4870     0068
  34.5661943   3.53129e+01       81719.1940     0074
  34.5542502   2.31929e+01       82054.4870     0068
  34.5423143   4.05010e+01       82002.8890     0069
  34.5303867   1.07213e+01       82002.8890     0069
  34.5184674   4.76855e+01       81895.1860     0071
  34.5065562   2.77522e+01       82154.1620     0066
  34.4946533   1.11843e+01       82797.8940     0052
  34.4827586   1.05578e+01       82054.4870     0068
  34.4708721   1.79397e+01       81838.6710     0072
  34.4589938   1.05581e+01       82154.1620     0066
  34.4471237   1.22193e+01       82202.5880     0065
  34.4352617   1.17729e+01       81719.1940     0074
  34.4234079   1.02417e+01       81895.1860     0071
  34.4115623   1.26065e+01       81949.8610     0070
  34.3997248   1.19619e+01       82202.5880     0065
  34.3878955   1.06089e+01       82002.8890     0069
  34.3760743   1.23165e+01       82002.8890     0069
  34.3642612   1.36851e+01       81895.1860     0071
  34.3524562   1.45360e+01       81949.8610     0070
  34.3406593   1.33144e+01       82104.8510     0067
  34.3288706   1.10012e+01       82390.1560     0061
  34.3170899   1.99292e+01       82002.8890     0069
  34.3053173   1.20191e+01       82054.4870     0068
  34.2935528   1.25416e+01       82752.8620     0053
  34.2817964   1.03426e+01       81838.6710     0072
  34.2700480   1.62944e+01       81895.1860     0071
  34.2583076   1.30690e+01       81949.8610     0070
  34.2465753   2.45351e+01       81949.8610     0070
  34.2348511   1.56831e+01       82054.4870     0068
  34.2231348   1.55719e+01       82054.4870     0068
  34.2114266   1.21553e+01       81949.8610     0070
  34.1997264   1.35394e+01       81780.0740     0073
  34.1880342   1.28510e+01       82002.8890     0069
  34.1763500   1.06052e+01       82002.8890     0069
  34.1646737   1.01510e+01       81949.8610     0070
  34.1530055   1.13924e+01       82297.3670     0063
  34.1413452   1.28099e+01       81895.1860     0071
  34.1296928   1.72957e+01       81780.0740     0073
  34.1180484   1.09592e+01       82250.2760     0064
  34.1064120   1.14489e+01       82154.1620     0066
  34.0947835   1.82140e+01       82002.8890     0069
  34.0831629   1.41299e+01       81949.8610     0070
  34.0715503   1.59873e+01       81719.1940     0074
  34.0599455   1.93731e+01       81655.8020     0075
  34.0483487   1.70949e+01       81895.1860     0071
  34.0367597   1.31673e+01       81780.0740     0073
  34.0251786   1.27555e+01       82343.9600     0062
  34.0136054   1.06419e+01       81895.1860     0071
  34.0020401   1.07893e+01       82662.7440     0055
  33.9904827   1.47931e+01       81949.8610     0070
  33.9789331   1.06713e+01       82752.8620     0053
  33.9673913   1.07333e+01       81895.1860     0071
  33.9558574   1.95615e+01       81655.8020     0075
  33.9443313   1.43904e+01       81780.0740     0073
  33.9328130   1.42939e+01       81895.1860     0071
  33.9213026   1.64336e+01       82104.8510     0067
  33.9097999   1.44925e+01       81895.1860     0071
  33.8983051   1.19970e+01       82054.4870     0068
  33.8868180   1.31319e+01       82250.2760     0064
  33.8753388   1.12619e+01       82054.4870     0068
  33.8638673   1.64590e+01       81895.1860     0071
  33.8524035   1.10618e+01       81895.1860     0071
  33.8409475   1.21025e+01       81780.0740     0073
  33.8294993   1.33165e+01       81895.1860     0071
  33.8180588   1.37427e+01       81838.6710     0072
  33.8066261   1.39566e+01       81780.0740     0073
  33.7952011   1.34823e+01       82390.1560     0061
  33.7837838   2.30631e+01       82104.8510     0067
  33.7723742   1.35050e+01       81780.0740     0073
  33.7609723   1.17610e+01       81895.1860     0071
  33.7495781   1.14534e+01       81949.8610     0070
  33.7381916   1.02264e+01       82933.0060     0049
  33.7268128   1.72194e+01       81895.1860     0071
  33.7154417   1.38726e+01       81949.8610     0070
  33.7040782   1.12115e+01       82481.6710     0059
  33.6927224   1.02589e+01       82104.8510     0067
  33.6813742   1.12608e+01       81949.8610     0070
  33.6700337   2.99136e+01       81655.8020     0075
  33.6587008   1.28052e+01       81655.8020     0075
  33.6473755   1.21163e+01       82527.1180     0058
  33.6360579   1.41132e+01       82002.8890     0069
  33.6247478   1.52862e+01       82154.1620     0066
  33.6134454   1.71778e+01       82154.1620     0066
  33.6021505   1.63896e+01       82154.1620     0066
  33.5908633   1.19556e+01       83113.5040     0045
  33.5795836   2.30558e+01       81719.1940     0074
  33.5683115   1.30554e+01       82002.8890     0069
  33.5570470   1.09069e+01       82002.8890     0069
  33.5457900   1.43508e+01       82154.1620     0066
  33.5345406   1.40119e+01       82054.4870     0068
  33.5232987   1.02011e+01       82202.5880     0065
  33.5120643   1.29995e+01       82617.6190     0056
  33.5008375   5.37021e+01       81838.6710     0072
  33.4896182   1.52254e+01       81895.1860     0071
  33.4784064   1.20609e+01       81895.1860     0071
  33.4672021   1.07239e+01       82343.9600     0062
  33.4560054   1.28531e+01       82002.8890     0069
  33.4448161   1.16356e+01       82797.8940     0052
  33.4336342   1.45165e+01       82154.1620     0066
  33.4224599   1.35371e+01       82104.8510     0067
  33.4112930   1.48926e+01       81838.6710     0072
  33.4001336   1.72599e+01       81838.6710     0072
  33.3889816   1.17597e+01       82154.1620     0066
  33.3778371   1.40345e+01       81780.0740     0073
  33.3667000   3.18148e+01       82002.8890     0069
  33.3555704   2.62477e+01       82002.8890     0069
  33.3444481   1.32681e+01       82002.8890     0069
  33.3333333   1.41579e+01       81895.1860     0071
  33.3222259   1.19434e+01       81895.1860     0071
  33.3111259   1.00490e+01       82390.1560     0061
  33.3000333   1.07837e+01       81895.1860     0071
  33.2889481   1.32981e+01       82154.1620     0066
  33.2778702   2.16317e+01       81895.1860     0071
  33.2667997   1.67755e+01       81719.1940     0074
  33.2557366   1.62100e+01       81895.1860     0071
  33.2446809   1.06039e+01       81838.6710     0072
  33.2336324   1.37364e+01       81895.1860     0071
  33.2225914   1.08454e+01       82978.0840     0048
  33.2115576   2.41661e+01       81838.6710     0072
  33.2005312   1.35547e+01       82390.1560     0061
  33.1895121   1.44280e+01       81895.1860     0071
  33.1785003   1.31914e+01       82054.4870     0068
  33.1674959   1.10403e+01       82707.8190     0054
  33.1564987   1.13117e+01       82481.6710     0059
  33.1455088   1.49984e+01       82202.5880     0065
  33.1345262   1.22916e+01       82390.1560     0061
  33.1235508   5.15678e+01       82104.8510     0067
  33.1125828   1.21495e+01       82002.8890     0069
  33.1016220   1.00974e+01       82054.4870     0068
  33.0906684   1.15005e+01       82978.0840     0048
