#wvl [um]      Flux [erg/s/cm]
5              23614.4933        
4.999750012    23620.4862        
4.99950005     23621.4505        
4.999250112    23619.451         
4.9990002      23616.3771        
4.998750312    23615.5542        
4.99850045     23615.7716        
4.998250612    23615.9708        
4.9980008      23616.1899        
4.997751012    23637.0572        
4.997501249    23617.3435        
4.997251512    23617.4303        
4.997001799    23617.9176        
4.996752111    23617.6164        
4.996502448    23617.6328        
4.99625281     23617.752         
4.996003197    23618.5698        
4.995753609    23618.073         
4.995504046    23619.7511        
4.995254508    23618.6066        
4.995004995    23618.6877        
4.994755507    23622.8682        
4.994506043    23619.1595        
4.994256605    23619.3061        
4.994007191    23628.2226        
4.993757803    23619.723         
4.993508439    23620.0928        
4.9932591      23620.1686        
4.993009786    23620.3541        
4.992760497    23620.5648        
4.992511233    23622.4106        
4.992261994    23621.0763        
4.99201278     23621.1855        
4.99176359     23621.3769        
4.991514425    23622.268         
4.991265286    23621.8646        
4.991016171    23622.0308        
4.990767081    23622.2404        
4.990518016    23622.4121        
4.990268975    23622.8517        
4.99001996     23622.9273        
4.98977097     23623.1013        
4.989522004    23623.4848        
4.989273063    23623.4383        
4.989024147    23623.6483        
4.988775256    23623.9627        
4.988526389    23624.0575        
4.988277548    23624.2602        
4.988028731    23624.4598        
4.987779939    23625.3359        
4.987531172    23624.8821        
4.98728243     23625.0726        
4.987033712    23625.2923        
4.98678502     23625.4945        
4.986536352    23625.6831        
4.986287709    23625.9057        
4.986039091    23626.2274        
4.985790497    23626.3088        
4.985541928    23626.6275        
4.985293385    23626.7222        
4.985044865    23626.9101        
4.984796371    23627.1706        
4.984547902    23627.3181        
4.984299457    23627.5114        
4.984051037    23627.7116        
4.983802641    23629.4939        
4.983554271    23628.3147        
4.983305925    23628.3377        
4.983057604    23630.4783        
4.982809308    23628.7271        
4.982561036    23628.9633        
4.98231279     23629.1243        
4.982064568    23630.2391        
4.98181637     23629.5226        
4.981568198    23629.7472        
4.98132005     23629.9376        
4.981071927    23630.1282        
4.980823828    23648.4842        
4.980575755    23630.5265        
4.980327706    23630.7508        
4.980079681    23630.9975        
4.979831682    23631.3188        
4.979583707    23631.4082        
4.979335757    23631.5873        
4.979087831    23631.8135        
4.97883993     23631.8097        
4.978592054    23633.3401        
4.978344203    23632.3062        
4.978096376    23632.5567        
4.977848574    23632.7243        
4.977600796    23633.2722        
4.977353044    23633.1373        
4.977105316    23633.349         
4.976857612    23633.5694        
4.976609933    23633.728         
4.976362279    23633.9954        
4.97611465     23634.1332        
4.975867045    23634.5274        
4.975619465    23635.295         
4.975371909    23634.7022        
4.975124378    23634.9354        
4.974876872    23635.5282        
4.97462939     23635.2943        
4.974381933    23635.4887        
4.974134501    23635.6823        
4.973887093    23636.0184        
4.97363971     23636.0709        
4.973392351    23636.3704        
4.973145017    23636.5831        
4.972897707    23636.6646        
4.972650423    23637.3536        
4.972403162    23638.2895        
4.972155927    23637.2591        
4.971908716    23637.5885        
4.971661529    23637.9038        
4.971414367    23637.838         
4.97116723     23638.0645        
4.970920117    23638.3797        
4.970673029    23638.4811        
4.970425966    23638.6109        
4.970178926    23638.8146        
4.969931912    23650.214         
4.969684922    23641.5325        
4.969437957    23640.0844        
4.969191016    23640.0971        
4.968944099    23641.0926        
4.968697208    23639.9714        
4.96845034     23640.45          
4.968203498    23640.3821        
4.967956679    23641.5426        
4.967709886    23641.1509        
4.967463117    23641.1082        
4.967216372    23641.2787        
4.966969652    23641.2156        
4.966722956    23641.3938        
4.966476285    23642.2363        
4.966229638    23642.5071        
4.965983016    23642.2428        
4.965736419    23642.2946        
4.965489846    23664.1222        
4.965243297    23642.7721        
4.964996773    23642.8586        
4.964750273    23643.1586        
4.964503798    23643.2462        
4.964257347    23643.4292        
4.964010921    23643.6577        
4.963764519    23643.86          
4.963518142    23644.0167        
4.963271789    23644.3045        
4.96302546     23644.4416        
4.962779156    23648.0659        
4.962532877    23644.781         
4.962286622    23644.953         
4.962040391    23645.1423        
4.961794185    23645.4667        
4.961548003    23645.5251        
4.961301846    23646.3321        
4.961055713    23646.2033        
4.960809604    23646.1435        
4.96056352     23646.3035        
4.96031746     23646.552         
4.960071425    23646.8224        
4.959825414    23646.8381        
4.959579428    23647.0267        
4.959333466    23647.2389        
4.959087528    23648.393         
4.958841615    23647.6217        
4.958595726    23647.7744        
4.958349861    23668.5187        
4.958104021    23648.2439        
4.957858205    23648.3666        
4.957612414    23648.5317        
4.957366647    23651.8062        
4.957120904    23648.9065        
4.956875186    23649.1537        
4.956629492    23649.2752        
4.956383822    23649.5288        
4.956138177    23649.6895        
4.955892556    23649.8892        
4.95564696     23650.1524        
4.955401388    23651.0307        
4.95515584     23650.3837        
4.954910316    23650.4855        
4.954664817    23650.7455        
4.954419342    23651.4799        
4.954173892    23672.5511        
4.953928465    23651.6144        
4.953683063    23651.52          
4.953437686    23651.7049        
4.953192332    23652.0222        
4.952947003    23652.1094        
4.952701699    23652.278         
4.952456418    23652.4331        
4.952211162    23652.6271        
4.95196593     23652.8402        
4.951720723    23653.0193        
4.95147554     23653.3635        
4.951230381    23653.639         
4.950985246    23653.6428        
4.950740136    23653.7207        
4.95049505     23653.9036        
4.950249988    23654.189         
4.95000495     23654.9827        
4.949759937    23654.6656        
4.949514948    23654.6465        
4.949269983    23655.1081        
4.949025042    23988.7383        
4.948780126    23655.1801        
4.948535234    23655.7144        
4.948290366    23655.7004        
4.948045522    23675.9278        
4.947800703    23655.9128        
4.947555907    23656.6876        
4.947311136    23656.2635        
4.94706639     23656.4476        
4.946821667    23656.7739        
4.946576969    23656.932         
4.946332295    23656.9967        
4.946087645    23659.1215        
4.945843019    23657.4245        
4.945598417    23657.5724        
4.94535384     23657.8           
4.945109287    23657.9245        
4.944864758    23658.0768        
4.944620253    23658.3096        
4.944375773    23658.4812        
4.944131316    23658.6278        
4.943886884    23658.787         
4.943642476    23658.9122        
4.943398092    23671.5418        
4.943153732    23659.2495        
4.942909396    23659.4927        
4.942665085    23659.7036        
4.942420798    23659.9724        
4.942176535    23660.1054        
4.941932296    23660.243         
4.941688081    23660.4192        
4.94144389     23660.582         
4.941199723    23660.9227        
4.940955581    23660.9408        
4.940711462    23661.1218        
4.940467368    23661.3391        
4.940223298    23661.5           
4.939979252    23661.668         
4.93973523     23661.9161        
4.939491232    23662.0086        
4.939247259    23662.2131        
4.939003309    23662.4119        
4.938759384    23662.5411        
4.938515482    23662.8188        
4.938271605    23662.9026        
4.938027752    23663.1331        
4.937783923    23663.2409        
4.937540118    23663.4164        
4.937296337    23663.6422        
4.93705258     23663.7657        
4.936808847    23663.9894        
4.936565138    23664.1191        
4.936321453    23664.6128        
4.936077793    23667.4843        
