# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   8.44316e+03       80126.7240     0099
   4.9997500   8.44143e+03       80126.7240     0099
   4.9995000   8.43969e+03       80126.7240     0099
   4.9992501   8.43795e+03       80126.7240     0099
   4.9990002   8.43621e+03       80126.7240     0099
   4.9987503   8.43446e+03       80126.7240     0099
   4.9985004   8.43272e+03       80126.7240     0099
   4.9982506   8.43097e+03       80126.7240     0099
   4.9980008   8.42923e+03       80126.7240     0099
   4.9977510   8.42752e+03       80126.7240     0099
   4.9975012   8.42574e+03       80126.7240     0099
   4.9972515   8.42397e+03       80126.7240     0099
   4.9970018   8.42221e+03       80126.7240     0099
   4.9967521   8.42045e+03       80126.7240     0099
   4.9965024   8.41870e+03       80126.7240     0099
   4.9962528   8.41694e+03       80126.7240     0099
   4.9960032   8.41520e+03       80126.7240     0099
   4.9957536   8.41342e+03       80126.7240     0099
   4.9955040   8.41165e+03       80126.7240     0099
   4.9952545   8.40990e+03       80126.7240     0099
   4.9950050   8.40815e+03       80126.7240     0099
   4.9947555   8.40648e+03       80126.7240     0099
   4.9945060   8.40461e+03       80126.7240     0099
   4.9942566   8.40280e+03       80126.7240     0099
   4.9940072   8.40101e+03       80126.7240     0099
   4.9937578   8.39921e+03       80126.7240     0099
   4.9935084   8.39742e+03       80126.7240     0099
   4.9932591   8.39563e+03       80126.7240     0099
   4.9930098   8.39385e+03       80126.7240     0099
   4.9927605   8.39207e+03       80126.7240     0099
   4.9925112   8.39030e+03       80126.7240     0099
   4.9922620   8.38852e+03       80126.7240     0099
   4.9920128   8.38676e+03       80126.7240     0099
   4.9917636   8.38501e+03       80126.7240     0099
   4.9915144   8.38328e+03       80126.7240     0099
   4.9912653   8.38158e+03       80126.7240     0099
   4.9910162   8.37997e+03       80126.7240     0099
   4.9907671   8.37832e+03       80126.7240     0099
   4.9905180   8.37618e+03       80126.7240     0099
   4.9902690   8.37424e+03       80126.7240     0099
   4.9900200   8.37234e+03       80126.7240     0099
   4.9897710   8.37045e+03       80126.7240     0099
   4.9895220   8.36858e+03       80126.7240     0099
   4.9892731   8.36671e+03       80126.7240     0099
   4.9890241   8.36485e+03       80126.7240     0099
   4.9887753   8.36300e+03       80126.7240     0099
   4.9885264   8.36114e+03       80126.7240     0099
   4.9882775   8.35929e+03       80126.7240     0099
   4.9880287   8.35744e+03       80126.7240     0099
   4.9877799   8.35559e+03       80126.7240     0099
   4.9875312   8.35374e+03       80126.7240     0099
   4.9872824   8.35190e+03       80126.7240     0099
   4.9870337   8.35005e+03       80126.7240     0099
   4.9867850   8.34820e+03       80126.7240     0099
   4.9865364   8.34636e+03       80126.7240     0099
   4.9862877   8.34452e+03       80126.7240     0099
   4.9860391   8.34267e+03       80126.7240     0099
   4.9857905   8.34082e+03       80126.7240     0099
   4.9855419   8.33897e+03       80126.7240     0099
   4.9852934   8.33713e+03       80126.7240     0099
   4.9850449   8.33528e+03       80126.7240     0099
   4.9847964   8.33344e+03       80126.7240     0099
   4.9845479   8.33160e+03       80126.7240     0099
   4.9842995   8.32976e+03       80126.7240     0099
   4.9840510   8.32792e+03       80126.7240     0099
   4.9838026   8.32608e+03       80126.7240     0099
   4.9835543   8.32426e+03       80126.7240     0099
   4.9833059   8.32245e+03       80126.7240     0099
   4.9830576   8.32069e+03       80126.7240     0099
   4.9828093   8.31873e+03       80126.7240     0099
   4.9825610   8.31685e+03       80126.7240     0099
   4.9823128   8.31498e+03       80126.7240     0099
   4.9820646   8.31312e+03       80126.7240     0099
   4.9818164   8.31126e+03       80126.7240     0099
   4.9815682   8.30941e+03       80126.7240     0099
   4.9813200   8.30755e+03       80126.7240     0099
   4.9810719   8.30571e+03       80126.7240     0099
   4.9808238   8.30391e+03       80126.7240     0099
   4.9805758   8.30203e+03       80126.7240     0099
   4.9803277   8.30019e+03       80126.7240     0099
   4.9800797   8.29835e+03       80126.7240     0099
   4.9798317   8.29652e+03       80126.7240     0099
   4.9795837   8.29471e+03       80126.7240     0099
   4.9793358   8.29292e+03       80126.7240     0099
   4.9790878   8.29121e+03       80126.7240     0099
   4.9788399   8.28973e+03       80126.7240     0099
   4.9785921   8.28757e+03       80126.7240     0099
   4.9783442   8.28546e+03       80126.7240     0099
   4.9780964   8.28345e+03       80126.7240     0099
   4.9778486   8.28149e+03       80126.7240     0099
   4.9776008   8.27954e+03       80126.7240     0099
   4.9773530   8.27761e+03       80126.7240     0099
   4.9771053   8.27568e+03       80126.7240     0099
   4.9768576   8.27376e+03       80126.7240     0099
   4.9766099   8.27185e+03       80126.7240     0099
   4.9763623   8.26994e+03       80126.7240     0099
   4.9761146   8.26803e+03       80126.7240     0099
   4.9758670   8.26612e+03       80126.7240     0099
   4.9756195   8.26422e+03       80126.7240     0099
   4.9753719   8.26232e+03       80126.7240     0099
   4.9751244   8.26042e+03       80126.7240     0099
   4.9748769   8.25852e+03       80126.7240     0099
   4.9746294   8.25663e+03       80126.7240     0099
   4.9743819   8.25473e+03       80126.7240     0099
   4.9741345   8.25284e+03       80126.7240     0099
   4.9738871   8.25095e+03       80126.7240     0099
   4.9736397   8.24906e+03       80126.7240     0099
   4.9733924   8.24717e+03       80126.7240     0099
   4.9731450   8.24528e+03       80126.7240     0099
   4.9728977   8.24340e+03       80126.7240     0099
   4.9726504   8.24152e+03       80126.7240     0099
   4.9724032   8.23964e+03       80126.7240     0099
   4.9721559   8.23777e+03       80126.7240     0099
   4.9719087   8.23591e+03       80126.7240     0099
   4.9716615   8.23413e+03       80126.7240     0099
   4.9714144   8.23216e+03       80126.7240     0099
   4.9711672   8.23023e+03       80126.7240     0099
   4.9709201   8.22831e+03       80126.7240     0099
   4.9706730   8.22641e+03       80126.7240     0099
   4.9704260   8.22452e+03       80126.7240     0099
   4.9701789   8.22263e+03       80126.7240     0099
   4.9699319   8.22076e+03       80126.7240     0099
   4.9696849   8.21889e+03       80126.7240     0099
   4.9694380   8.21700e+03       80126.7240     0099
   4.9691910   8.21510e+03       80126.7240     0099
   4.9689441   8.21321e+03       80126.7240     0099
   4.9686972   8.21134e+03       80126.7240     0099
   4.9684503   8.20947e+03       80126.7240     0099
   4.9682035   8.20762e+03       80126.7240     0099
   4.9679567   8.20577e+03       80126.7240     0099
   4.9677099   8.20392e+03       80126.7240     0099
   4.9674631   8.20211e+03       80126.7240     0099
   4.9672164   8.20034e+03       80126.7240     0099
   4.9669697   8.19875e+03       80126.7240     0099
   4.9667230   8.19687e+03       80126.7240     0099
   4.9664763   8.19463e+03       80126.7240     0099
   4.9662296   8.19258e+03       80126.7240     0099
   4.9659830   8.19057e+03       80126.7240     0099
   4.9657364   8.18860e+03       80126.7240     0099
   4.9654898   8.18667e+03       80126.7240     0099
   4.9652433   8.18469e+03       80126.7240     0099
   4.9649968   8.18273e+03       80126.7240     0099
   4.9647503   8.18079e+03       80126.7240     0099
   4.9645038   8.17886e+03       80126.7240     0099
   4.9642573   8.17693e+03       80126.7240     0099
   4.9640109   8.17500e+03       80126.7240     0099
   4.9637645   8.17308e+03       80126.7240     0099
   4.9635181   8.17117e+03       80126.7240     0099
   4.9632718   8.16926e+03       80126.7240     0099
   4.9630255   8.16734e+03       80126.7240     0099
   4.9627792   8.16543e+03       80126.7240     0099
   4.9625329   8.16353e+03       80126.7240     0099
   4.9622866   8.16162e+03       80126.7240     0099
   4.9620404   8.15972e+03       80126.7240     0099
   4.9617942   8.15783e+03       80126.7240     0099
   4.9615480   8.15593e+03       80126.7240     0099
   4.9613018   8.15405e+03       80126.7240     0099
   4.9610557   8.15217e+03       80126.7240     0099
   4.9608096   8.15029e+03       80126.7240     0099
   4.9605635   8.14844e+03       80126.7240     0099
   4.9603175   8.14665e+03       80126.7240     0099
   4.9600714   8.14469e+03       80126.7240     0099
   4.9598254   8.14275e+03       80126.7240     0099
   4.9595794   8.14084e+03       80126.7240     0099
   4.9593335   8.13894e+03       80126.7240     0099
   4.9590875   8.13707e+03       80126.7240     0099
   4.9588416   8.13518e+03       80126.7240     0099
   4.9585957   8.13331e+03       80126.7240     0099
   4.9583499   8.13152e+03       80126.7240     0099
   4.9581040   8.12956e+03       80126.7240     0099
   4.9578582   8.12763e+03       80126.7240     0099
   4.9576124   8.12574e+03       80126.7240     0099
   4.9573666   8.12387e+03       80126.7240     0099
   4.9571209   8.12197e+03       80126.7240     0099
   4.9568752   8.12009e+03       80126.7240     0099
   4.9566295   8.11822e+03       80126.7240     0099
   4.9563838   8.11637e+03       80126.7240     0099
   4.9561382   8.11453e+03       80126.7240     0099
   4.9558926   8.11272e+03       80126.7240     0099
   4.9556470   8.11094e+03       80126.7240     0099
   4.9554014   8.10922e+03       80126.7240     0099
