# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.24793e+01       80703.6390     0085
   4.9997500   1.24801e+01       80703.6390     0085
   4.9995000   1.24779e+01       80703.6390     0085
   4.9992501   1.24759e+01       80703.6390     0085
   4.9990002   1.24699e+01       80703.6390     0085
   4.9987503   1.24663e+01       80703.6390     0085
   4.9985004   1.24639e+01       80703.6390     0085
   4.9982506   1.24622e+01       80703.6390     0085
   4.9980008   1.24628e+01       80703.6390     0085
   4.9977510   1.24934e+01       80703.6390     0085
   4.9975012   1.24651e+01       80703.6390     0085
   4.9972515   1.24544e+01       80703.6390     0085
   4.9970018   1.24502e+01       80703.6390     0085
   4.9967521   1.24475e+01       80703.6390     0085
   4.9965024   1.24455e+01       80703.6390     0085
   4.9962528   1.24479e+01       80703.6390     0085
   4.9960032   1.24613e+01       80703.6390     0085
   4.9957536   1.24403e+01       80703.6390     0085
   4.9955040   1.24365e+01       80703.6390     0085
   4.9952545   1.24373e+01       80703.6390     0085
   4.9950050   1.24435e+01       80703.6390     0085
   4.9947555   1.25257e+01       80703.6390     0085
   4.9945060   1.24463e+01       80703.6390     0085
   4.9942566   1.24270e+01       80703.6390     0085
   4.9940072   1.24257e+01       80703.6390     0085
   4.9937578   1.24162e+01       80703.6390     0085
   4.9935084   1.24126e+01       80703.6390     0085
   4.9932591   1.24092e+01       80703.6390     0085
   4.9930098   1.24065e+01       80703.6390     0085
   4.9927605   1.24046e+01       80703.6390     0085
   4.9925112   1.24054e+01       80703.6390     0085
   4.9922620   1.24013e+01       80703.6390     0085
   4.9920128   1.24006e+01       80703.6390     0085
   4.9917636   1.24022e+01       80703.6390     0085
   4.9915144   1.24115e+01       80703.6390     0085
   4.9912653   1.24416e+01       80703.6390     0085
   4.9910162   1.25363e+01       80703.6390     0085
   4.9907671   1.26717e+01       80703.6390     0085
   4.9905180   1.24407e+01       80703.6390     0085
   4.9902690   1.24031e+01       80703.6390     0085
   4.9900200   1.23970e+01       80703.6390     0085
   4.9897710   1.23797e+01       80703.6390     0085
   4.9895220   1.23756e+01       80703.6390     0085
   4.9892731   1.23708e+01       80703.6390     0085
   4.9890241   1.23651e+01       80703.6390     0085
   4.9887753   1.23624e+01       80703.6390     0085
   4.9885264   1.23572e+01       80703.6390     0085
   4.9882775   1.23538e+01       80703.6390     0085
   4.9880287   1.23511e+01       80703.6390     0085
   4.9877799   1.23493e+01       80703.6390     0085
   4.9875312   1.23455e+01       80703.6390     0085
   4.9872824   1.23424e+01       80703.6390     0085
   4.9870337   1.23395e+01       80703.6390     0085
   4.9867850   1.23372e+01       80703.6390     0085
   4.9865364   1.23363e+01       80703.6390     0085
   4.9862877   1.23368e+01       80703.6390     0085
   4.9860391   1.23298e+01       80703.6390     0085
   4.9857905   1.23264e+01       80703.6390     0085
   4.9855419   1.23229e+01       80703.6390     0085
   4.9852934   1.23200e+01       80703.6390     0085
   4.9850449   1.23172e+01       80703.6390     0085
   4.9847964   1.23146e+01       80703.6390     0085
   4.9845479   1.23120e+01       80703.6390     0085
   4.9842995   1.23098e+01       80703.6390     0085
   4.9840510   1.23079e+01       80703.6390     0085
   4.9838026   1.23072e+01       80703.6390     0085
   4.9835543   1.23093e+01       80703.6390     0085
   4.9833059   1.23259e+01       80703.6390     0085
   4.9830576   1.24022e+01       80703.6390     0085
   4.9828093   1.23102e+01       80703.6390     0085
   4.9825610   1.22962e+01       80703.6390     0085
   4.9823128   1.22904e+01       80703.6390     0085
   4.9820646   1.22873e+01       80703.6390     0085
   4.9818164   1.22837e+01       80703.6390     0085
   4.9815682   1.22829e+01       80703.6390     0085
   4.9813200   1.22798e+01       80703.6390     0085
   4.9810719   1.22801e+01       80703.6390     0085
   4.9808238   1.23152e+01       80703.6390     0085
   4.9805758   1.22793e+01       80703.6390     0085
   4.9803277   1.22811e+01       80703.6390     0085
   4.9800797   1.22709e+01       80703.6390     0085
   4.9798317   1.22699e+01       80703.6390     0085
   4.9795837   1.22719e+01       80703.6390     0085
   4.9793358   1.22848e+01       80703.6390     0085
   4.9790878   1.23400e+01       80703.6390     0085
   4.9788399   1.26407e+01       80703.6390     0085
   4.9785921   1.24034e+01       80703.6390     0085
   4.9783442   1.22880e+01       80703.6390     0085
   4.9780964   1.22592e+01       80703.6390     0085
   4.9778486   1.22471e+01       80703.6390     0085
   4.9776008   1.22402e+01       80703.6390     0085
   4.9773530   1.22353e+01       80703.6390     0085
   4.9771053   1.22311e+01       80703.6390     0085
   4.9768576   1.22280e+01       80703.6390     0085
   4.9766099   1.22239e+01       80703.6390     0085
   4.9763623   1.22203e+01       80703.6390     0085
   4.9761146   1.22170e+01       80703.6390     0085
   4.9758670   1.22141e+01       80703.6390     0085
   4.9756195   1.22113e+01       80703.6390     0085
   4.9753719   1.22081e+01       80703.6390     0085
   4.9751244   1.22053e+01       80703.6390     0085
   4.9748769   1.22022e+01       80703.6390     0085
   4.9746294   1.21994e+01       80703.6390     0085
   4.9743819   1.21967e+01       80703.6390     0085
   4.9741345   1.21941e+01       80703.6390     0085
   4.9738871   1.21925e+01       80703.6390     0085
   4.9736397   1.21902e+01       80703.6390     0085
   4.9733924   1.21860e+01       80703.6390     0085
   4.9731450   1.21831e+01       80703.6390     0085
   4.9728977   1.21808e+01       80703.6390     0085
   4.9726504   1.21794e+01       80703.6390     0085
   4.9724032   1.21777e+01       80703.6390     0085
   4.9721559   1.21779e+01       80703.6390     0085
   4.9719087   1.21871e+01       80703.6390     0085
   4.9716615   1.22681e+01       80703.6390     0085
   4.9714144   1.21965e+01       80703.6390     0085
   4.9711672   1.21702e+01       80703.6390     0085
   4.9709201   1.21621e+01       80703.6390     0085
   4.9706730   1.21580e+01       80703.6390     0085
   4.9704260   1.21566e+01       80703.6390     0085
   4.9701789   1.21554e+01       80703.6390     0085
   4.9699319   1.21654e+01       80703.6390     0085
   4.9696849   1.21706e+01       80703.6390     0085
   4.9694380   1.21659e+01       80703.6390     0085
   4.9691910   1.21471e+01       80703.6390     0085
   4.9689441   1.21407e+01       80703.6390     0085
   4.9686972   1.21375e+01       80703.6390     0085
   4.9684503   1.21385e+01       80703.6390     0085
   4.9682035   1.21453e+01       80703.6390     0085
   4.9679567   1.21415e+01       80703.6390     0085
   4.9677099   1.21392e+01       80703.6390     0085
   4.9674631   1.21463e+01       80703.6390     0085
   4.9672164   1.21792e+01       80703.6390     0085
   4.9669697   1.23610e+01       80703.6390     0085
   4.9667230   1.23812e+01       80703.6390     0085
   4.9664763   1.21739e+01       80703.6390     0085
   4.9662296   1.21319e+01       80703.6390     0085
   4.9659830   1.21162e+01       80703.6390     0085
   4.9657364   1.21108e+01       80703.6390     0085
   4.9654898   1.21379e+01       80703.6390     0085
   4.9652433   1.21012e+01       80703.6390     0085
   4.9649968   1.20933e+01       80703.6390     0085
   4.9647503   1.20885e+01       80703.6390     0085
   4.9645038   1.20849e+01       80703.6390     0085
   4.9642573   1.20815e+01       80703.6390     0085
   4.9640109   1.20785e+01       80703.6390     0085
   4.9637645   1.20758e+01       80703.6390     0085
   4.9635181   1.20740e+01       80703.6390     0085
   4.9632718   1.20727e+01       80703.6390     0085
   4.9630255   1.20678e+01       80703.6390     0085
   4.9627792   1.20642e+01       80703.6390     0085
   4.9625329   1.20607e+01       80703.6390     0085
   4.9622866   1.20579e+01       80703.6390     0085
   4.9620404   1.20550e+01       80703.6390     0085
   4.9617942   1.20526e+01       80703.6390     0085
   4.9615480   1.20504e+01       80703.6390     0085
   4.9613018   1.20495e+01       80703.6390     0085
   4.9610557   1.20490e+01       80703.6390     0085
   4.9608096   1.20481e+01       80703.6390     0085
   4.9605635   1.20567e+01       80703.6390     0085
   4.9603175   1.21300e+01       80703.6390     0085
   4.9600714   1.20725e+01       80703.6390     0085
   4.9598254   1.20419e+01       80703.6390     0085
   4.9595794   1.20339e+01       80703.6390     0085
   4.9593335   1.20310e+01       80703.6390     0085
   4.9590875   1.20443e+01       80703.6390     0085
   4.9588416   1.20302e+01       80703.6390     0085
   4.9585957   1.20376e+01       80703.6390     0085
   4.9583499   1.21233e+01       80703.6390     0085
   4.9581040   1.20519e+01       80703.6390     0085
   4.9578582   1.20213e+01       80703.6390     0085
   4.9576124   1.20150e+01       80703.6390     0085
   4.9573666   1.20260e+01       80703.6390     0085
   4.9571209   1.20068e+01       80703.6390     0085
   4.9568752   1.20012e+01       80703.6390     0085
   4.9566295   1.19982e+01       80703.6390     0085
   4.9563838   1.19969e+01       80703.6390     0085
   4.9561382   1.19974e+01       80703.6390     0085
   4.9558926   1.20011e+01       80703.6390     0085
   4.9556470   1.20141e+01       80703.6390     0085
   4.9554014   1.20598e+01       80703.6390     0085
   4.9551558   1.22802e+01       80703.6390     0085
   4.9549103   1.22694e+01       80703.6390     0085
   4.9546648   1.20822e+01       80703.6390     0085
   4.9544193   1.20293e+01       80703.6390     0085
   4.9541739   1.20008e+01       80703.6390     0085
   4.9539285   1.19787e+01       80703.6390     0085
   4.9536831   1.19683e+01       80703.6390     0085
   4.9534377   1.19623e+01       80703.6390     0085
   4.9531923   1.19592e+01       80703.6390     0085
   4.9529470   1.19583e+01       80703.6390     0085
   4.9527017   1.19593e+01       80703.6390     0085
   4.9524564   1.19485e+01       80703.6390     0085
   4.9522112   1.19445e+01       80703.6390     0085
   4.9519659   1.19403e+01       80703.6390     0085
   4.9517207   1.19372e+01       80703.6390     0085
   4.9514755   1.19352e+01       80703.6390     0085
