#wvl [um]        modulation
5                0.023991709       
4.99975001       0.0245015754      
4.99950005       0.0246392705      
4.99925011       0.0240371873      
4.9990002        0.0245243255      
4.99875031       0.0239956473      
4.99850045       0.023978638       
4.99825061       0.0239875034      
4.9980008        0.0240868139      
4.99775101       0.0249667656      
4.99750125       0.0244662605      
4.99725151       0.0244190362      
4.9970018        0.0245033199      
4.99675211       0.0243414969      
4.99650245       0.0242156345      
4.99625281       0.0241985597      
4.9960032        0.0243543842      
4.99575361       0.0240565631      
4.99550405       0.0244288758      
4.99525451       0.0242443503      
4.995005         0.024052904       
4.99475551       0.0239787011      
4.99450604       0.0240035237      
4.9942566        0.0240047766      
4.99400719       0.024676578       
4.9937578        0.0240320554      
4.99350844       0.024166327       
4.9932591        0.0240654694      
4.99300979       0.0239786766      
4.9927605        0.024017686       
4.99251123       0.0246918921      
4.99226199       0.0241570877      
4.99201278       0.0239997049      
4.99176359       0.0240084202      
4.99151443       0.0245605534      
4.99126529       0.0240569145      
4.99101617       0.0241491856      
4.99076708       0.0241741399      
4.99051802       0.0240193137      
4.99026898       0.0241461823      
4.99001996       0.0240649417      
4.98977097       0.0240941444      
4.989522         0.0243826798      
4.98927306       0.023997593       
4.98902415       0.0239821092      
4.98877526       0.024184269       
4.98852639       0.0239909406      
4.98827755       0.0239810111      
4.98802873       0.0240229198      
4.98777994       0.0245804073      
4.98753117       0.0240150946      
4.98728243       0.0239904612      
4.98703371       0.0240137231      
4.98678502       0.0240320839      
4.98653635       0.0240720798      
4.98628771       0.0241804817      
4.98603909       0.0242785856      
4.9857905        0.0240820558      
4.98554193       0.0240369303      
4.98529338       0.0240768188      
4.98504487       0.0240022729      
4.98479637       0.024151831       
4.9845479        0.0240038302      
4.98429946       0.023992748       
4.98405104       0.0240025958      
4.98380264       0.0243878357      
4.98355427       0.0243664463      
4.98330593       0.0240449367      
4.9830576        0.0240242344      
4.98280931       0.0239915302      
4.98256104       0.0241277085      
4.98231279       0.0240012907      
4.98206457       0.0245438802      
4.98181637       0.0240308336      
4.9815682        0.0241450833      
4.98132005       0.024129397       
4.98107193       0.0240972018      
4.98082383       0.024993241       
4.98057575       0.0240987521      
4.98032771       0.0240402309      
4.98007968       0.0241049262      
4.97983168       0.0242902922      
4.97958371       0.0241305818      
4.97933576       0.0240309736      
4.97908783       0.0240995943      
4.97883993       0.0239876195      
4.97859205       0.024007701       
4.9783442        0.0240345513      
4.97809638       0.0240514354      
4.97784857       0.0240260064      
4.9776008        0.0242148575      
4.97735304       0.0240381988      
4.97710532       0.0240680134      
4.97685761       0.0240897932      
4.97660993       0.0240249394      
4.97636228       0.0241310496      
