# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   8.21292e+05       80135.6650     0099
   4.9997500   8.22772e+05       80135.6650     0099
   4.9995000   8.24275e+05       80135.6650     0099
   4.9992501   8.25197e+05       80135.6650     0099
   4.9990002   8.26526e+05       80135.6650     0099
   4.9987503   8.27776e+05       80135.6650     0099
   4.9985004   8.29236e+05       80135.6650     0099
   4.9982506   8.30904e+05       80135.6650     0099
   4.9980008   8.32972e+05       80135.6650     0099
   4.9977510   8.38128e+05       80135.6650     0099
   4.9975012   8.36054e+05       80135.6650     0099
   4.9972515   8.35301e+05       80135.6650     0099
   4.9970018   8.35249e+05       80135.6650     0099
   4.9967521   8.35472e+05       80135.6650     0099
   4.9965024   8.35904e+05       80135.6650     0099
   4.9962528   8.36840e+05       80135.6650     0099
   4.9960032   8.38479e+05       80135.6650     0099
   4.9957536   8.35438e+05       80135.6650     0099
   4.9955040   8.34007e+05       80135.6650     0099
   4.9952545   8.32921e+05       80135.6650     0099
   4.9950050   8.31639e+05       80135.6650     0099
   4.9947555   8.30572e+05       80135.6650     0099
   4.9945060   8.29638e+05       80135.6650     0099
   4.9942566   8.28835e+05       80135.6650     0099
   4.9940072   8.28576e+05       80135.6650     0099
   4.9937578   8.27042e+05       80135.6650     0099
   4.9935084   8.26015e+05       80135.6650     0099
   4.9932591   8.25020e+05       80135.6650     0099
   4.9930098   8.24142e+05       80135.6650     0099
   4.9927605   8.23379e+05       80135.6650     0099
   4.9925112   8.22955e+05       80135.6650     0099
   4.9922620   8.21925e+05       80135.6650     0099
   4.9920128   8.21225e+05       80135.6650     0099
   4.9917636   8.20659e+05       80135.6650     0099
   4.9915144   8.20381e+05       80135.6650     0099
   4.9912653   8.19632e+05       80135.6650     0099
   4.9910162   8.19165e+05       80135.6650     0099
   4.9907671   8.18306e+05       80135.6650     0099
   4.9905180   8.17606e+05       80135.6650     0099
   4.9902690   8.17046e+05       80135.6650     0099
   4.9900200   8.16560e+05       80135.6650     0099
   4.9897710   8.16165e+05       80135.6650     0099
   4.9895220   8.15987e+05       80135.6650     0099
   4.9892731   8.15260e+05       80135.6650     0099
   4.9890241   8.14801e+05       80135.6650     0099
   4.9887753   8.14461e+05       80135.6650     0099
   4.9885264   8.14131e+05       80135.6650     0099
   4.9882775   8.13879e+05       80135.6650     0099
   4.9880287   8.13728e+05       80135.6650     0099
   4.9877799   8.13688e+05       80135.6650     0099
   4.9875312   8.13418e+05       80135.6650     0099
   4.9872824   8.13328e+05       80135.6650     0099
   4.9870337   8.13325e+05       80135.6650     0099
   4.9867850   8.13436e+05       80135.6650     0099
   4.9865364   8.13756e+05       80135.6650     0099
   4.9862877   8.14077e+05       80135.6650     0099
   4.9860391   8.13294e+05       80135.6650     0099
   4.9857905   8.12876e+05       80135.6650     0099
   4.9855419   8.12461e+05       80135.6650     0099
   4.9852934   8.12178e+05       80135.6650     0099
   4.9850449   8.11955e+05       80135.6650     0099
   4.9847964   8.11803e+05       80135.6650     0099
   4.9845479   8.11707e+05       80135.6650     0099
   4.9842995   8.11660e+05       80135.6650     0099
   4.9840510   8.11677e+05       80135.6650     0099
   4.9838026   8.11754e+05       80135.6650     0099
   4.9835543   8.11843e+05       80135.6650     0099
   4.9833059   8.11943e+05       80135.6650     0099
   4.9830576   8.12126e+05       80135.6650     0099
   4.9828093   8.12351e+05       80135.6650     0099
   4.9825610   8.12670e+05       80135.6650     0099
   4.9823128   8.12997e+05       80135.6650     0099
   4.9820646   8.13488e+05       80135.6650     0099
   4.9818164   8.13915e+05       80135.6650     0099
   4.9815682   8.14650e+05       80135.6650     0099
   4.9813200   8.15143e+05       80135.6650     0099
   4.9810719   8.16060e+05       80135.6650     0099
   4.9808238   8.20511e+05       80135.6650     0099
   4.9805758   8.15908e+05       80135.6650     0099
   4.9803277   8.14697e+05       80135.6650     0099
   4.9800797   8.13918e+05       80135.6650     0099
   4.9798317   8.13284e+05       80135.6650     0099
   4.9795837   8.12541e+05       80135.6650     0099
   4.9793358   8.11951e+05       80135.6650     0099
   4.9790878   8.11475e+05       80135.6650     0099
   4.9788399   8.11071e+05       80135.6650     0099
   4.9785921   8.10749e+05       80135.6650     0099
   4.9783442   8.10486e+05       80135.6650     0099
   4.9780964   8.10280e+05       80135.6650     0099
   4.9778486   8.10125e+05       80135.6650     0099
   4.9776008   8.10039e+05       80135.6650     0099
   4.9773530   8.10005e+05       80135.6650     0099
   4.9771053   8.10013e+05       80135.6650     0099
   4.9768576   8.10139e+05       80135.6650     0099
   4.9766099   8.10106e+05       80135.6650     0099
   4.9763623   8.10097e+05       80135.6650     0099
   4.9761146   8.10196e+05       80135.6650     0099
   4.9758670   8.10375e+05       80135.6650     0099
   4.9756195   8.10605e+05       80135.6650     0099
   4.9753719   8.10856e+05       80135.6650     0099
   4.9751244   8.11192e+05       80135.6650     0099
   4.9748769   8.11600e+05       80135.6650     0099
   4.9746294   8.12077e+05       80135.6650     0099
   4.9743819   8.12632e+05       80135.6650     0099
   4.9741345   8.13288e+05       80135.6650     0099
   4.9738871   8.14083e+05       80135.6650     0099
   4.9736397   8.14737e+05       80135.6650     0099
   4.9733924   8.15130e+05       80135.6650     0099
   4.9731450   8.15718e+05       80135.6650     0099
   4.9728977   8.16419e+05       80135.6650     0099
   4.9726504   8.17259e+05       80135.6650     0099
   4.9724032   8.18023e+05       80135.6650     0099
   4.9721559   8.18849e+05       80135.6650     0099
