# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.80754e+04       79836.5200     0099
   4.9997500   1.86522e+04       79836.5200     0099
   4.9995000   1.87315e+04       79836.5200     0099
   4.9992501   1.89712e+04       79836.5200     0099
   4.9990002   1.90550e+04       79836.5200     0099
   4.9987503   1.92675e+04       79836.5200     0099
   4.9985004   1.95592e+04       79836.5200     0099
   4.9982506   1.99197e+04       79836.5200     0099
   4.9980008   2.03709e+04       79836.5200     0099
   4.9977510   2.12563e+04       79836.5200     0099
   4.9975012   2.13209e+04       79836.5200     0099
   4.9972515   2.16226e+04       79836.5200     0099
   4.9970018   2.20773e+04       79836.5200     0099
   4.9967521   2.26464e+04       79836.5200     0099
   4.9965024   2.33041e+04       79836.5200     0099
   4.9962528   2.41528e+04       79836.5200     0099
   4.9960032   2.52892e+04       79836.5200     0099
   4.9957536   2.57091e+04       79836.5200     0099
   4.9955040   2.66965e+04       79836.5200     0099
   4.9952545   2.81140e+04       79836.5200     0099
   4.9950050   3.02674e+04       79836.5200     0099
   4.9947555   3.64984e+04       79836.5200     0099
   4.9945060   3.19948e+04       79836.5200     0099
   4.9942566   3.02392e+04       79836.5200     0099
   4.9940072   2.97044e+04       79836.5200     0099
   4.9937578   2.92950e+04       79836.5200     0099
   4.9935084   2.93022e+04       79836.5200     0099
   4.9932591   2.95495e+04       79836.5200     0099
   4.9930098   3.00215e+04       79836.5200     0099
   4.9927605   3.07205e+04       79836.5200     0099
   4.9925112   3.16806e+04       79836.5200     0099
   4.9922620   3.28622e+04       79836.5200     0099
   4.9920128   3.44161e+04       79836.5200     0099
   4.9917636   3.64358e+04       79836.5200     0099
   4.9915144   3.92797e+04       79836.5200     0099
   4.9912653   4.37173e+04       79836.5200     0099
   4.9910162   5.12855e+04       79836.5200     0099
   4.9907671   5.76780e+04       79836.5200     0099
   4.9905180   4.58538e+04       79836.5200     0099
   4.9902690   4.15836e+04       79836.5200     0099
   4.9900200   3.93746e+04       79836.5200     0099
   4.9897710   3.60549e+04       79836.5200     0099
   4.9895220   3.40570e+04       79836.5200     0099
   4.9892731   3.26322e+04       79836.5200     0099
   4.9890241   3.12489e+04       79836.5200     0099
   4.9887753   3.01151e+04       79836.5200     0099
   4.9885264   2.90683e+04       79836.5200     0099
   4.9882775   2.82574e+04       79836.5200     0099
   4.9880287   2.76094e+04       79836.5200     0099
   4.9877799   2.70872e+04       79836.5200     0099
   4.9875312   2.66496e+04       79836.5200     0099
   4.9872824   2.62998e+04       79836.5200     0099
   4.9870337   2.60473e+04       79836.5200     0099
   4.9867850   2.58912e+04       79836.5200     0099
   4.9865364   2.58304e+04       79836.5200     0099
   4.9862877   2.58461e+04       79836.5200     0099
   4.9860391   2.57711e+04       79836.5200     0099
   4.9857905   2.58243e+04       79836.5200     0099
   4.9855419   2.59497e+04       79836.5200     0099
   4.9852934   2.61628e+04       79836.5200     0099
   4.9850449   2.64710e+04       79836.5200     0099
   4.9847964   2.68764e+04       79836.5200     0099
   4.9845479   2.74039e+04       79836.5200     0099
   4.9842995   2.80693e+04       79836.5200     0099
   4.9840510   2.89269e+04       79836.5200     0099
   4.9838026   3.00638e+04       79836.5200     0099
   4.9835543   3.16694e+04       79836.5200     0099
   4.9833059   3.44318e+04       79836.5200     0099
   4.9830576   3.97620e+04       79836.5200     0099
   4.9828093   3.40790e+04       79836.5200     0099
   4.9825610   3.25457e+04       79836.5200     0099
   4.9823128   3.18637e+04       79836.5200     0099
   4.9820646   3.16034e+04       79836.5200     0099
   4.9818164   3.15973e+04       79836.5200     0099
   4.9815682   3.18893e+04       79836.5200     0099
   4.9813200   3.22727e+04       79836.5200     0099
   4.9810719   3.28998e+04       79836.5200     0099
   4.9808238   3.41259e+04       79836.5200     0099
   4.9805758   3.48177e+04       79836.5200     0099
   4.9803277   3.61737e+04       79836.5200     0099
   4.9800797   3.73488e+04       79836.5200     0099
   4.9798317   3.91921e+04       79836.5200     0099
   4.9795837   4.17522e+04       79836.5200     0099
   4.9793358   4.55427e+04       79836.5200     0099
   4.9790878   5.22494e+04       79836.5200     0099
   4.9788399   6.64372e+04       79836.5200     0099
   4.9785921   5.58170e+04       79836.5200     0099
   4.9783442   4.71197e+04       79836.5200     0099
   4.9780964   4.24536e+04       79836.5200     0099
   4.9778486   3.93089e+04       79836.5200     0099
   4.9776008   3.69685e+04       79836.5200     0099
   4.9773530   3.51500e+04       79836.5200     0099
   4.9771053   3.36589e+04       79836.5200     0099
   4.9768576   3.24376e+04       79836.5200     0099
   4.9766099   3.14169e+04       79836.5200     0099
   4.9763623   3.05718e+04       79836.5200     0099
   4.9761146   2.98700e+04       79836.5200     0099
   4.9758670   2.92983e+04       79836.5200     0099
   4.9756195   2.88372e+04       79836.5200     0099
   4.9753719   2.84789e+04       79836.5200     0099
   4.9751244   2.82125e+04       79836.5200     0099
   4.9748769   2.80375e+04       79836.5200     0099
   4.9746294   2.79448e+04       79836.5200     0099
   4.9743819   2.79376e+04       79836.5200     0099
   4.9741345   2.80176e+04       79836.5200     0099
   4.9738871   2.82086e+04       79836.5200     0099
   4.9736397   2.84657e+04       79836.5200     0099
   4.9733924   2.87832e+04       79836.5200     0099
   4.9731450   2.92402e+04       79836.5200     0099
   4.9728977   2.98546e+04       79836.5200     0099
   4.9726504   3.06546e+04       79836.5200     0099
   4.9724032   3.17053e+04       79836.5200     0099
   4.9721559   3.31167e+04       79836.5200     0099
   4.9719087   3.53822e+04       79836.5200     0099
   4.9716615   4.14745e+04       79836.5200     0099
   4.9714144   3.74554e+04       79836.5200     0099
   4.9711672   3.50745e+04       79836.5200     0099
   4.9709201   3.40299e+04       79836.5200     0099
   4.9706730   3.35736e+04       79836.5200     0099
   4.9704260   3.34780e+04       79836.5200     0099
   4.9701789   3.36472e+04       79836.5200     0099
   4.9699319   3.42233e+04       79836.5200     0099
   4.9696849   3.50411e+04       79836.5200     0099
   4.9694380   3.54243e+04       79836.5200     0099
   4.9691910   3.57237e+04       79836.5200     0099
   4.9689441   3.64879e+04       79836.5200     0099
   4.9686972   3.76280e+04       79836.5200     0099
   4.9684503   3.93481e+04       79836.5200     0099
   4.9682035   4.16956e+04       79836.5200     0099
   4.9679567   4.29015e+04       79836.5200     0099
   4.9677099   4.44757e+04       79836.5200     0099
   4.9674631   4.73385e+04       79836.5200     0099
   4.9672164   5.21757e+04       79836.5200     0099
   4.9669697   6.28766e+04       79836.5200     0099
   4.9667230   6.36522e+04       79836.5200     0099
