#wvl [um]      Flux [erg/s/cm]
5              35127.2365        
4.999750012    19149.8983        
4.99950005     17965.1208        
4.999250112    12970.5801        
4.9990002      20346.548         
4.998750312    38161.3069        
4.99850045     39212.4333        
4.998250612    38254.1972        
4.9980008      32591.0464        
4.997751012    12467.9487        
4.997501249    19821.0583        
4.997251512    25368.2098        
4.997001799    21464.3041        
4.996752111    26413.8846        
4.996502448    33267.6532        
4.99625281     27928.4387        
4.996003197    19374.7353        
4.995753609    33882.4781        
4.995504046    27005.199         
4.995254508    25233.017         
4.995004995    32076.7503        
4.994755507    14981.6692        
4.994506043    23201.8414        
4.994256605    35377.5656        
4.994007191    16881.4274        
4.993757803    35541.43          
4.993508439    30802.2817        
4.9932591      37422.4221        
4.993009786    39320.0017        
4.992760497    38299.4049        
4.992511233    13763.6462        
4.992261994    33801.0163        
4.99201278     36009.4931        
4.99176359     37206.3228        
4.991514425    16758.1967        
4.991265286    17743.591         
4.991016171    17310.3783        
4.990767081    14836.1331        
4.990518016    33688.5472        
4.990268975    27906.6547        
4.99001996     20775.7299        
4.98977097     33897.6776        
4.989522004    21675.8502        
4.989273063    24691.2906        
4.989024147    32584.5651        
4.988775256    25676.1915        
4.988526389    37994.4852        
4.988277548    38905.7815        
4.988028731    36800.5629        
4.987779939    16151.2835        
4.987531172    32379.0005        
4.98728243     38140.4987        
4.987033712    38737.3101        
4.98678502     36608.3119        
4.986536352    33257.4096        
4.986287709    25920.2607        
4.986039091    29095.9152        
4.985790497    33032.1483        
4.985541928    33984.3273        
4.985293385    36592.4243        
4.985044865    38232.878         
4.984796371    35707.6415        
4.984547902    38571.6884        
4.984299457    38689.9607        
4.984051037    37865.3917        
4.983802641    29069.0996        
4.983554271    26647.6413        
4.983305925    22844.5034        
4.983057604    15150.8134        
4.982809308    32699.0205        
4.982561036    34377.6759        
4.98231279     36687.7561        
4.982064568    19065.7729        
4.98181637     37331.5025        
4.981568198    28370.5034        
4.98132005     32857.793         
4.981071927    32379.135         
4.980823828    12340.5247        
4.980575755    27680.9497        
4.980327706    20327.8473        
4.980079681    34007.0751        
4.979831682    28459.2708        
4.979583707    33988.2392        
4.979335757    26090.0964        
4.979087831    20369.6618        
4.97883993     14116.8331        
4.978592054    13260.7652        
4.978344203    33229.9722        
4.978096376    36702.0195        
4.977848574    37586.0063        
4.977600796    33569.5731        
4.977353044    32181.3644        
4.977105316    36633.2463        
4.976857612    33857.3111        
4.976609933    37258.3443        
4.976362279    35959.8568        
4.97611465     38330.7943        
4.975867045    31022.1512        
4.975619465    29161.0065        
4.975371909    39072.3721        
4.975124378    35866.8147        
4.974876872    36956.0505        
4.97462939     37835.8286        
4.974381933    38755.4838        
4.974134501    36906.6303        
4.973887093    33419.2062        
4.97363971     32414.6102        
4.973392351    35081.7881        
4.973145017    35872.0533        
4.972897707    37090.7527        
4.972650423    24853.5206        
4.972403162    25391.47          
4.972155927    36989.5032        
4.971908716    32387.9502        
4.971661529    15805.5826        
4.971414367    21935.3931        
4.97116723     35699.7854        
4.970920117    35243.0608        
4.970673029    36756.3743        
4.970425966    30586.5434        
4.970178926    31487.9816        
4.969931912    13112.5751        
4.969684922    13317.1964        
4.969437957    19520.2183        
4.969191016    28628.7497        
4.968944099    23451.3689        
4.968697208    35614.0533        
4.96845034     28032.6733        
4.968203498    22427.1412        
4.967956679    19055.4521        
4.967709886    25007.5549        
4.967463117    32645.6671        
4.967216372    22462.8147        
4.966969652    15805.6582        
4.966722956    15508.8421        
4.966476285    22362.891         
4.966229638    24733.0123        
4.965983016    28138.5033        
4.965736419    32293.5986        
4.965489846    12646.7591        
4.965243297    27443.7331        
4.964996773    37692.5101        
4.964750273    34291.4772        
4.964503798    34899.4683        
4.964257347    37743.565         
4.964010921    37467.9981        
4.963764519    36114.1442        
4.963518142    31869.2011        
4.963271789    25665.9633        
4.96302546     32203.971         
4.962779156    22690.3872        
4.962532877    38339.2054        
4.962286622    38381.6777        
4.962040391    39429.497         
4.961794185    36470.6179        
4.961548003    37789.1353        
4.961301846    22156.5108        
4.961055713    25350.896         
4.960809604    33018.2109        
4.96056352     32315.9388        
4.96031746     16530.6367        
4.960071425    21054.411         
4.959825414    33973.7956        
4.959579428    34188.8172        
4.959333466    35770.6581        
4.959087528    14654.5623        
4.958841615    31069.4541        
4.958595726    30514.8602        
4.958349861    12301.6613        
4.958104021    21577.9969        
4.957858205    35814.0054        
4.957612414    29180.8846        
4.957366647    17481.5442        
4.957120904    28879.3886        
4.956875186    33053.0814        
4.956629492    38916.3255        
4.956383822    37927.1143        
4.956138177    36313.1895        
4.955892556    35116.9691        
4.95564696     33931.0862        
4.955401388    20591.026         
4.95515584     15358.4172        
4.954910316    15508.4444        
4.954664817    20403.12          
4.954419342    21103.3924        
4.954173892    22693.7006        
4.953928465    30183.1155        
4.953683063    36336.016         
4.953437686    37068.32          
4.953192332    29542.0738        
4.952947003    30055.66          
4.952701699    23913.034         
4.952456418    35217.6386        
4.952211162    32359.955         
4.95196593     36900.3409        
4.951720723    36519.8198        
4.95147554     24257.7589        
4.951230381    33514.334         
4.950985246    36447.0094        
4.950740136    30338.565         
4.95049505     26486.7549        
4.950249988    37231.7498        
4.95000495     27244.2319        
4.949759937    36079.9028        
4.949514948    35999.5511        
4.949269983    28633.0844        
4.949025042    12227.5255        
4.948780126    28857.562         
4.948535234    17398.8148        
4.948290366    21349.3482        
4.948045522    14585.0057        
4.947800703    36799.7521        
4.947555907    19969.2249        
4.947311136    30264.9588        
4.94706639     30569.8752        
4.946821667    25965.656         
4.946576969    23259.5049        
4.946332295    35407.1372        
4.946087645    20550.9036        
4.945843019    35807.2012        
4.945598417    38078.5659        
4.94535384     25425.111         
4.945109287    37241.5377        
4.944864758    38427.2344        
4.944620253    38228.2718        
4.944375773    37811.8239        
4.944131316    37056.7131        
4.943886884    34289.9214        
4.943642476    32033.5377        
4.943398092    12815.9368        
4.943153732    17132.7859        
4.942909396    26023.6714        
4.942665085    34495.7367        
4.942420798    34670.0134        
4.942176535    36301.4463        
4.941932296    32494.6999        
4.941688081    29969.3195        
4.94144389     35197.4612        
4.941199723    30368.8037        
4.940955581    39468.0418        
4.940711462    39380.2242        
4.940467368    37478.6207        
4.940223298    35458.8204        
4.939979252    38527.5079        
4.93973523     26950.7963        
4.939491232    38033.5604        
4.939247259    36986.0126        
4.939003309    30253.8146        
4.938759384    35296.3058        
4.938515482    21886.7191        
4.938271605    19899.3288        
4.938027752    18030.2903        
4.937783923    19176.25          
4.937540118    33475.3932        
4.937296337    35630.2544        
4.93705258     32537.5832        
4.936808847    31486.8836        
4.936565138    36767.661         
4.936321453    25731.0993        
4.936077793    14046.68          
4.935834156    12923.9248        
4.935590543    17125.3719        
4.935346955    30538.7096        
4.93510339     19381.5429        
4.93485985     31541.8909        
4.934616334    36807.8369        
4.934372841    13835.7982        
4.934129373    36898.6918        
4.933885929    37850.7352        
4.933642508    31106.4533        
4.933399112    30213.6561        
4.93315574     12606.3779        
4.932912391    33195.3264        
4.932669067    26994.9895        
4.932425767    36864.2932        
4.932182491    34295.3746        
4.931939239    14957.8703        
4.93169601     15083.9093        
4.931452806    35216.4987        
4.931209626    35819.941         
4.930966469    28372.1641        
4.930723337    38951.1544        
4.930480229    35917.1048        
4.930237144    13953.1315        
4.929994084    32103.2516        
4.929751048    36500.018         
4.929508035    22109.9367        
4.929265047    29724.5337        
4.929022082    22786.5001        
4.928779141    15407.0349        
4.928536225    34107.2779        
4.928293332    28003.5143        
4.928050463    22347.4528        
4.927807618    27336.4704        
4.927564797    37119.3462        
4.927322       34763.717         
4.927079227    18855.0432        
4.926836478    17558.3604        
4.926593753    33569.2241        
4.926351052    35515.5722        
4.926108374    22216.8368        
4.925865721    25660.058         
4.925623091    22003.9085        
4.925380486    25331.2621        
4.925137904    27614.0494        
4.924895346    28876.6708        
4.924652812    35427.7759        
4.924410302    35279.8832        
4.924167816    34635.372         
4.923925353    36328.8269        
4.923682915    29981.5089        
4.9234405      38791.9812        
4.923198109    38739.6953        
4.922955743    34950.4201        
4.9227134      33332.4073        
4.92247108     24548.3788        
4.922228785    38607.7471        
4.921986514    38940.1642        
4.921744266    32543.8274        
4.921502042    14751.0504        
4.921259843    35268.5252        
4.921017666    32312.2543        
4.920775514    20936.6438        
4.920533386    14803.2631        
4.920291281    14710.8686        
4.9200492      33410.438         
4.919807144    33435.728         
4.91956511     38505.2946        
4.919323101    35226.6511        
4.919081116    29236.9506        
4.918839154    37685.8268        
4.918597216    28867.0686        
4.918355302    31978.0314        
4.918113412    35728.4775        
4.917871545    17576.8037        
4.917629702    29702.487         
4.917387884    38118.9123        
4.917146088    36654.1919        
4.916904317    27976.7485        
4.916662569    27724.6869        
4.916420846    29360.9714        
4.916179146    16778.3726        
4.915937469    18992.409         
4.915695817    32737.5505        
4.915454188    13606.71          
4.915212583    27653.5883        
4.914971002    35106.0997        
4.914729444    38889.7209        
4.91448791     37480.9535        
4.9142464      31000.3852        
4.914004914    37710.2168        
4.913763451    31845.871         
4.913522013    35116.9278        
4.913280597    15425.727         
4.913039206    27399.6547        
4.912797838    35655.4643        
4.912556494    36182.0892        
4.912315174    24098.9608        
4.912073878    30350.0048        
4.911832605    38115.0306        
4.911591356    37136.1784        
4.91135013     38818.0452        
4.911108928    36293.4437        
4.91086775     36720.1675        
4.910626596    38217.1715        
4.910385465    38701.3884        
4.910144358    38973.4112        
4.909903275    37732.2816        
4.909662215    12888.895         
4.909421179    30235.9508        
4.909180167    13357.1308        
4.908939178    15624.7619        
4.908698213    33395.3593        
4.908457272    38189.4653        
4.908216354    33908.3697        
4.90797546     12986.32          
4.90773459     21345.8502        
4.907493743    34867.0911        
4.90725292     36706.9695        
4.90701212     25961.484         
4.906771344    19050.0547        
4.906530592    29354.2005        
4.906289864    34758.2456        
4.906049159    22073.0397        
4.905808477    31672.8113        
4.905567819    21147.8342        
4.905327185    14483.0555        
4.905086575    22180.6857        
4.904845988    35286.7909        
4.904605424    35578.7198        
4.904364885    38696.3673        
4.904124369    38591.595         
4.903883876    37693.3664        
4.903643407    38247.2942        
4.903402962    38044.1734        
4.90316254     26940.1514        
4.902922142    37465.5795        
4.902681767    36425.601         
