# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.10198e+06       80235.3750     0099
   4.9997500   1.11398e+06       80235.3750     0099
   4.9995000   1.12606e+06       80235.3750     0099
   4.9992501   1.13907e+06       80235.3750     0099
   4.9990002   1.15131e+06       80235.3750     0099
   4.9987503   1.16458e+06       80235.3750     0099
   4.9985004   1.17880e+06       80235.3750     0099
   4.9982506   1.19400e+06       80235.3750     0099
   4.9980008   1.21066e+06       80235.3750     0099
   4.9977510   1.23151e+06       80235.3750     0099
   4.9975012   1.24452e+06       80235.3750     0099
   4.9972515   1.25998e+06       80235.3750     0099
   4.9970018   1.27703e+06       80235.3750     0099
   4.9967521   1.29554e+06       80235.3750     0099
   4.9965024   1.31539e+06       80235.3750     0099
   4.9962528   1.33689e+06       80235.3750     0099
   4.9960032   1.35998e+06       80235.3750     0099
   4.9957536   1.38018e+06       80235.3750     0099
   4.9955040   1.40318e+06       80235.3750     0099
   4.9952545   1.42831e+06       80235.3750     0099
   4.9950050   1.45574e+06       80235.3750     0099
   4.9947555   1.49441e+06       80235.3750     0099
   4.9945060   1.49470e+06       80235.3750     0099
   4.9942566   1.50074e+06       80235.3750     0099
   4.9940072   1.51084e+06       80235.3750     0099
   4.9937578   1.52292e+06       80235.3750     0099
   4.9935084   1.53719e+06       80235.3750     0099
   4.9932591   1.55387e+06       80235.3750     0099
   4.9930098   1.57302e+06       80235.3750     0099
   4.9927605   1.59498e+06       80235.3750     0099
   4.9925112   1.62029e+06       80235.3750     0099
   4.9922620   1.64815e+06       80235.3750     0099
   4.9920128   1.68025e+06       80235.3750     0099
   4.9917636   1.71727e+06       80235.3750     0099
   4.9915144   1.76106e+06       80235.3750     0099
   4.9912653   1.81636e+06       80235.3750     0099
   4.9910162   1.88852e+06       80235.3750     0099
   4.9907671   1.93747e+06       80235.3750     0099
   4.9905180   1.83813e+06       80235.3750     0099
   4.9902690   1.78547e+06       80235.3750     0099
   4.9900200   1.74492e+06       80235.3750     0099
   4.9897710   1.70732e+06       80235.3750     0099
   4.9895220   1.67558e+06       80235.3750     0099
   4.9892731   1.64801e+06       80235.3750     0099
   4.9890241   1.62243e+06       80235.3750     0099
   4.9887753   1.59987e+06       80235.3750     0099
   4.9885264   1.57930e+06       80235.3750     0099
   4.9882775   1.56142e+06       80235.3750     0099
   4.9880287   1.54609e+06       80235.3750     0099
   4.9877799   1.53310e+06       80235.3750     0099
   4.9875312   1.52199e+06       80235.3750     0099
   4.9872824   1.51309e+06       80235.3750     0099
   4.9870337   1.50627e+06       80235.3750     0099
   4.9867850   1.50141e+06       80235.3750     0099
   4.9865364   1.49886e+06       80235.3750     0099
   4.9862877   1.49793e+06       80235.3750     0099
   4.9860391   1.49760e+06       80235.3750     0099
   4.9857905   1.49946e+06       80235.3750     0099
   4.9855419   1.50325e+06       80235.3750     0099
   4.9852934   1.50895e+06       80235.3750     0099
   4.9850449   1.51662e+06       80235.3750     0099
   4.9847964   1.52624e+06       80235.3750     0099
   4.9845479   1.53793e+06       80235.3750     0099
   4.9842995   1.55173e+06       80235.3750     0099
   4.9840510   1.56762e+06       80235.3750     0099
   4.9838026   1.58575e+06       80235.3750     0099
   4.9835543   1.60655e+06       80235.3750     0099
   4.9833059   1.63165e+06       80235.3750     0099
   4.9830576   1.66235e+06       80235.3750     0099
   4.9828093   1.65174e+06       80235.3750     0099
   4.9825610   1.65364e+06       80235.3750     0099
   4.9823128   1.65929e+06       80235.3750     0099
   4.9820646   1.66810e+06       80235.3750     0099
   4.9818164   1.67918e+06       80235.3750     0099
   4.9815682   1.69327e+06       80235.3750     0099
   4.9813200   1.71009e+06       80235.3750     0099
