#wvl [um]        modulation
5                0.0239572956      
4.99975001       0.0242765796      
4.99950005       0.0243527798      
4.99925011       0.0246107439      
4.9990002        0.0243442328      
4.99875031       0.0239416285      
4.99850045       0.0239329614      
4.99825061       0.023941195       
4.9980008        0.023968712       
4.99775101       0.0247500668      
4.99750125       0.0242874831      
4.99725151       0.0242316362      
4.9970018        0.0243177317      
4.99675211       0.0241570119      
4.99650245       0.0240416029      
4.99625281       0.0241148116      
4.9960032        0.0242058382      
4.99575361       0.0239686266      
4.99550405       0.0241845026      
4.99525451       0.0241612136      
4.995005         0.0240175663      
4.99475551       0.0243603214      
4.99450604       0.0240201898      
4.9942566        0.0239442472      
4.99400719       0.0243818493      
4.9937578        0.0239724675      
4.99350844       0.0240371154      
4.9932591        0.0240395268      
4.99300979       0.0239358319      
4.9927605        0.0239609486      
4.99251123       0.0245683742      
4.99226199       0.0240405901      
4.99201278       0.0239482522      
4.99176359       0.0239838856      
4.99151443       0.0244312109      
4.99126529       0.0242584272      
4.99101617       0.0242636352      
4.99076708       0.0243811356      
4.99051802       0.0239731998      
4.99026898       0.0240531503      
4.99001996       0.024154277       
4.98977097       0.0240058731      
4.989522         0.0242408434      
4.98927306       0.0241329744      
4.98902415       0.0240029403      
4.98877526       0.0241459444      
4.98852639       0.0239534796      
4.98827755       0.0239340025      
4.98802873       0.0239801597      
4.98777994       0.0244749179      
4.98753117       0.0240350411      
4.98728243       0.0239580036      
4.98703371       0.0239622709      
4.98678502       0.0239644357      
4.98653635       0.0240332218      
4.98628771       0.0241155523      
4.98603909       0.024263343       
4.9857905        0.0240259218      
4.98554193       0.0240633566      
4.98529338       0.0240243673      
4.98504487       0.02395442        
4.98479637       0.0240305157      
4.9845479        0.0239469115      
4.98429946       0.0239428862      
4.98405104       0.0239493397      
4.98380264       0.0241156264      
4.98355427       0.0242525792      
4.98330593       0.0240146136      
4.9830576        0.0243499328      
4.98280931       0.0239521234      
4.98256104       0.0240454306      
4.98231279       0.0239506822      
4.98206457       0.0243925166      
4.98181637       0.0239881233      
4.9815682        0.0240592646      
