# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.20319e+01       81209.5000     0075
   4.9997500   1.16860e+01       81554.0820     0065
   4.9995000   1.06228e+01       81657.6950     0062
   4.9992501   1.07266e+01       82074.5830     0050
   4.9990002   1.08817e+01       81623.1330     0063
   4.9987503   1.45037e+01       81174.9710     0076
   4.9985004   1.36826e+01       81174.9710     0076
   4.9982506   1.82591e+01       81209.5000     0075
   4.9980008   1.76107e+01       81312.8990     0072
   4.9977510   1.23136e+01       82284.5950     0044
   4.9975012   1.33232e+01       81588.5930     0064
   4.9972515   1.06302e+01       81450.6740     0068
   4.9970018   1.03191e+01       81588.5930     0064
   4.9967521   1.01329e+01       81416.2390     0069
   4.9965024   1.32783e+01       81243.9880     0074
   4.9962528   1.37605e+01       81381.7870     0070
   4.9960032   1.23217e+01       81588.5930     0064
   4.9957536   1.05042e+01       81312.8990     0072
   4.9955040   1.23149e+01       81312.8990     0072
   4.9952545   1.04022e+01       81485.1250     0067
   4.9950050   2.20892e+01       81312.8990     0072
   4.9947555   1.01014e+01       81761.5340     0059
   4.9945060   3.19140e+01       81347.3370     0071
   4.9942566   5.05614e+01       81209.5000     0075
   4.9940072   1.17124e+01       81692.2820     0061
   4.9937578   1.33254e+01       81209.5000     0075
   4.9935084   1.39022e+01       81278.4480     0073
   4.9932591   1.36128e+01       81174.9710     0076
   4.9930098   1.15777e+01       81174.9710     0076
   4.9927605   1.23058e+01       81209.5000     0075
   4.9925112   1.06867e+01       82004.8150     0052
   4.9922620   1.26777e+01       81243.9880     0074
   4.9920128   2.08557e+01       81174.9710     0076
   4.9917636   2.26483e+01       81209.5000     0075
   4.9915144   1.20695e+01       81761.5340     0059
   4.9912653   1.12426e+01       81657.6950     0062
   4.9910162   1.21719e+01       81657.6950     0062
   4.9907671   1.29470e+01       81761.5340     0059
   4.9905180   1.98649e+02       81278.4480     0073
   4.9902690   1.07814e+01       81347.3370     0071
   4.9900200   1.16406e+01       81519.5930     0066
   4.9897710   1.19717e+01       81278.4480     0073
   4.9895220   1.22108e+01       81554.0820     0065
   4.9892731   1.14570e+01       81485.1250     0067
   4.9890241   1.34407e+01       81278.4480     0073
   4.9887753   1.04981e+01       81450.6740     0068
   4.9885264   1.30779e+01       81209.5000     0075
   4.9882775   1.35679e+01       81174.9710     0076
   4.9880287   1.08986e+01       81243.9880     0074
   4.9877799   1.18174e+01       81830.8970     0057
   4.9875312   1.30489e+01       81312.8990     0072
   4.9872824   1.62876e+01       81174.9710     0076
   4.9870337   1.21108e+01       81174.9710     0076
   4.9867850   1.47911e+01       81209.5000     0075
   4.9865364   1.37738e+01       81312.8990     0072
   4.9862877   1.26116e+01       81450.6740     0068
   4.9860391   1.21227e+01       81450.6740     0068
   4.9857905   1.05514e+01       81312.8990     0072
   4.9855419   1.06309e+01       81209.5000     0075
   4.9852934   1.37695e+01       81209.5000     0075
   4.9850449   1.17911e+01       81174.9710     0076
   4.9847964   1.01415e+01       81209.5000     0075
   4.9845479   1.07257e+01       81174.9710     0076
   4.9842995   1.03209e+01       81174.9710     0076
   4.9840510   1.21768e+01       81174.9710     0076
   4.9838026   1.21138e+01       81243.9880     0074
   4.9835543   1.23724e+01       81450.6740     0068
   4.9833059   3.73582e+01       81347.3370     0071
   4.9830576   1.47496e+01       81726.8870     0060
   4.9828093   2.17808e+01       81312.8990     0072
   4.9825610   1.40295e+01       81278.4480     0073
   4.9823128   2.96607e+01       81174.9710     0076
   4.9820646   1.15338e+01       81692.2820     0061
   4.9818164   1.09452e+01       81209.5000     0075
   4.9815682   1.34509e+01       81347.3370     0071
   4.9813200   1.09585e+01       81312.8990     0072
   4.9810719   2.82507e+01       81312.8990     0072
   4.9808238   1.02840e+01       82425.2050     0040
   4.9805758   1.01771e+01       81416.2390     0069
   4.9803277   1.04272e+01       81588.5930     0064
   4.9800797   2.27325e+01       81278.4480     0073
   4.9798317   1.04620e+01       81416.2390     0069
   4.9795837   1.34487e+01       81243.9880     0074
   4.9793358   1.33826e+01       81450.6740     0068
   4.9790878   1.38392e+01       81519.5930     0066
   4.9788399   1.10569e+01       81830.8970     0057
   4.9785921   1.13966e+01       82004.8150     0052
   4.9783442   1.43879e+01       81278.4480     0073
   4.9780964   1.31983e+01       81209.5000     0075
   4.9778486   1.34802e+01       81174.9710     0076
   4.9776008   1.41750e+01       81243.9880     0074
   4.9773530   1.29662e+01       81312.8990     0072
   4.9771053   1.05377e+01       81243.9880     0074
   4.9768576   1.50134e+01       81347.3370     0071
   4.9766099   1.17612e+01       81278.4480     0073
   4.9763623   1.22577e+01       81209.5000     0075
   4.9761146   1.06491e+01       81174.9710     0076
   4.9758670   1.15774e+01       81278.4480     0073
   4.9756195   1.07296e+01       81278.4480     0073
   4.9753719   1.49039e+01       81140.3890     0077
   4.9751244   1.02233e+01       81243.9880     0074
   4.9748769   1.58415e+01       81140.3890     0077
   4.9746294   1.13258e+01       81174.9710     0076
   4.9743819   1.20499e+01       81174.9710     0076
   4.9741345   1.44946e+01       81209.5000     0075
   4.9738871   1.13341e+01       81312.8990     0072
   4.9736397   1.63512e+01       81312.8990     0072
   4.9733924   1.35887e+01       81209.5000     0075
   4.9731450   1.55840e+01       81174.9710     0076
   4.9728977   1.11310e+01       81243.9880     0074
   4.9726504   1.21798e+01       81450.6740     0068
   4.9724032   1.11777e+01       81416.2390     0069
   4.9721559   4.39902e+01       81209.5000     0075
   4.9719087   5.32575e+01       81278.4480     0073
   4.9716615   1.51896e+01       81692.2820     0061
   4.9714144   1.08485e+01       81519.5930     0066
   4.9711672   6.21544e+01       81209.5000     0075
   4.9709201   3.76972e+01       81174.9710     0076
   4.9706730   1.40013e+01       81209.5000     0075
   4.9704260   1.14502e+01       81381.7870     0070
   4.9701789   1.10178e+01       81347.3370     0071
   4.9699319   1.12195e+01       82074.5830     0050
   4.9696849   1.00443e+01       82004.8150     0052
   4.9694380   1.25748e+01       81588.5930     0064
   4.9691910   1.02728e+01       81381.7870     0070
   4.9689441   1.18979e+01       81485.1250     0067
   4.9686972   1.19788e+01       81243.9880     0074
   4.9684503   1.46048e+01       81347.3370     0071
   4.9682035   1.13804e+01       81485.1250     0067
   4.9679567   1.05835e+01       81657.6950     0062
   4.9677099   1.14494e+01       81450.6740     0068
   4.9674631   1.00848e+01       81312.8990     0072
   4.9672164   1.18621e+01       81519.5930     0066
   4.9669697   1.07834e+01       81726.8870     0060
   4.9667230   1.30048e+01       81726.8870     0060
   4.9664763   1.32281e+01       81519.5930     0066
   4.9662296   1.13495e+01       81450.6740     0068
   4.9659830   1.08200e+01       81450.6740     0068
