#wvl [um]      Flux [erg/s/cm]
5              14763.8581        
4.999750012    17586.8181        
4.99950005     17829.3437        
4.999250112    18343.0392        
4.9990002      17420.7875        
4.998750312    14567.2667        
4.99850045     14532.3352        
4.998250612    14845.5407        
4.9980008      15812.7196        
4.997751012    18417.1534        
4.997501249    17564.3691        
4.997251512    16619.6856        
4.997001799    17227.5743        
4.996752111    16379.8084        
4.996502448    15295.7157        
4.99625281     16345.106         
4.996003197    17592.291         
4.995753609    15374.2793        
4.995504046    16090.6739        
4.995254508    16827.0431        
4.995004995    16041.8937        
4.994755507    18099.908         
4.994506043    16972.2274        
4.994256605    15266.4251        
4.994007191    17982.1048        
4.993757803    14961.0079        
4.993508439    15488.8913        
4.9932591      14690.8998        
4.993009786    14406.9597        
4.992760497    14709.472         
4.992511233    18231.8728        
4.992261994    15147.6949        
4.99201278     14818.029         
4.99176359     15150.9067        
4.991514425    17919.3942        
4.991265286    17705.1731        
4.991016171    17770.1675        
4.990767081    18076.3889        
4.990518016    16068.4119        
4.990268975    16109.1222        
4.99001996     17290.9015        
4.98977097     15429.7759        
4.989522004    17342.5882        
4.989273063    16832.025         
4.989024147    15397.385         
4.988775256    16658.9583        
4.988526389    14720.0254        
4.988277548    14446.9343        
4.988028731    14888.315         
4.987779939    17953.0724        
4.987531172    15556.3876        
4.98728243     14574.7771        
4.987033712    14467.1879        
4.98678502     14801.4627        
4.986536352    15612.5471        
4.986287709    16728.7942        
4.986039091    16213.4024        
4.985790497    15462.2566        
4.985541928    14876.9011        
4.985293385    14836.6956        
4.985044865    14455.1785        
4.984796371    14745.8114        
4.984547902    14416.3393        
4.984299457    14451.9212        
4.984051037    14728.4313        
4.983802641    15645.4298        
4.983554271    16533.5654        
4.983305925    17031.1457        
4.983057604    18061.202         
4.982809308    16000.3902        
4.982561036    15533.5851        
4.98231279     14869.0425        
4.982064568    17591.8536        
4.98181637     14755.039         
4.981568198    16089.9372        
4.98132005     15650.8836        
4.981071927    16020.4044        
4.980823828    18427.5904        
4.980575755    16549.9135        
4.980327706    17401.4376        
4.980079681    15681.6366        
4.979831682    16300.104         
4.979583707    15337.4615        
4.979335757    16612.9861        
4.979087831    17353.6154        
4.97883993     18164.6343        
4.978592054    18264.5126        
4.978344203    15893.1523        
4.978096376    15217.7425        
4.977848574    14943.3351        
4.977600796    15202.6824        
4.977353044    15571.3855        
4.977105316    14874.4078        
4.976857612    15837.4001        
4.976609933    15111.4975        
4.976362279    14786.6348        
4.97611465     14435.2695        
4.975867045    15418.2412        
4.975619465    15474.609         
