# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.09855e+04       80283.1250     0099
   4.9997500   1.11296e+04       80283.1250     0099
   4.9995000   1.12632e+04       80283.1250     0099
   4.9992501   1.14440e+04       80283.1250     0099
   4.9990002   1.15353e+04       80283.1250     0099
   4.9987503   1.16775e+04       80283.1250     0099
   4.9985004   1.18445e+04       80283.1250     0099
   4.9982506   1.20350e+04       80283.1250     0099
   4.9980008   1.22637e+04       80283.1250     0099
   4.9977510   1.27514e+04       80283.1250     0099
   4.9975012   1.27098e+04       80283.1250     0099
   4.9972515   1.28168e+04       80283.1250     0099
   4.9970018   1.29904e+04       80283.1250     0099
   4.9967521   1.32030e+04       80283.1250     0099
   4.9965024   1.34480e+04       80283.1250     0099
   4.9962528   1.37478e+04       80283.1250     0099
   4.9960032   1.41219e+04       80283.1250     0099
   4.9957536   1.43120e+04       80283.1250     0099
   4.9955040   1.46372e+04       80283.1250     0099
   4.9952545   1.50530e+04       80283.1250     0099
   4.9950050   1.55887e+04       80283.1250     0099
   4.9947555   1.69274e+04       80283.1250     0099
   4.9945060   1.62443e+04       80283.1250     0099
   4.9942566   1.61234e+04       80283.1250     0099
   4.9940072   1.62307e+04       80283.1250     0099
   4.9937578   1.63903e+04       80283.1250     0099
   4.9935084   1.66350e+04       80283.1250     0099
   4.9932591   1.69448e+04       80283.1250     0099
   4.9930098   1.73190e+04       80283.1250     0099
   4.9927605   1.77675e+04       80283.1250     0099
   4.9925112   1.83197e+04       80283.1250     0099
   4.9922620   1.89156e+04       80283.1250     0099
   4.9920128   1.96628e+04       80283.1250     0099
   4.9917636   2.06010e+04       80283.1250     0099
   4.9915144   2.18579e+04       80283.1250     0099
   4.9912653   2.37646e+04       80283.1250     0099
   4.9910162   2.67277e+04       80283.1250     0099
   4.9907671   2.92492e+04       80283.1250     0099
   4.9905180   2.43333e+04       80283.1250     0099
   4.9902690   2.23900e+04       80283.1250     0099
   4.9900200   2.11851e+04       80283.1250     0099
   4.9897710   2.01477e+04       80283.1250     0099
   4.9895220   1.93959e+04       80283.1250     0099
   4.9892731   1.87786e+04       80283.1250     0099
   4.9890241   1.81956e+04       80283.1250     0099
   4.9887753   1.77323e+04       80283.1250     0099
   4.9885264   1.72963e+04       80283.1250     0099
   4.9882775   1.69350e+04       80283.1250     0099
   4.9880287   1.66348e+04       80283.1250     0099
   4.9877799   1.63887e+04       80283.1250     0099
   4.9875312   1.61656e+04       80283.1250     0099
   4.9872824   1.59850e+04       80283.1250     0099
   4.9870337   1.58440e+04       80283.1250     0099
   4.9867850   1.57446e+04       80283.1250     0099
   4.9865364   1.56885e+04       80283.1250     0099
   4.9862877   1.56647e+04       80283.1250     0099
   4.9860391   1.56096e+04       80283.1250     0099
   4.9857905   1.56056e+04       80283.1250     0099
   4.9855419   1.56331e+04       80283.1250     0099
   4.9852934   1.56953e+04       80283.1250     0099
   4.9850449   1.57878e+04       80283.1250     0099
   4.9847964   1.59175e+04       80283.1250     0099
   4.9845479   1.60855e+04       80283.1250     0099
   4.9842995   1.62974e+04       80283.1250     0099
   4.9840510   1.65547e+04       80283.1250     0099
   4.9838026   1.68756e+04       80283.1250     0099
   4.9835543   1.72955e+04       80283.1250     0099
   4.9833059   1.79379e+04       80283.1250     0099
   4.9830576   1.91341e+04       80283.1250     0099
   4.9828093   1.81697e+04       80283.1250     0099
   4.9825610   1.80528e+04       80283.1250     0099
   4.9823128   1.81108e+04       80283.1250     0099
   4.9820646   1.82747e+04       80283.1250     0099
   4.9818164   1.85011e+04       80283.1250     0099
   4.9815682   1.88160e+04       80283.1250     0099
   4.9813200   1.91993e+04       80283.1250     0099
   4.9810719   1.96891e+04       80283.1250     0099
   4.9808238   2.06247e+04       80283.1250     0099
   4.9805758   2.08283e+04       80283.1250     0099
   4.9803277   2.15299e+04       80283.1250     0099
   4.9800797   2.20068e+04       80283.1250     0099
   4.9798317   2.28027e+04       80283.1250     0099
   4.9795837   2.38709e+04       80283.1250     0099
   4.9793358   2.53877e+04       80283.1250     0099
   4.9790878   2.78545e+04       80283.1250     0099
   4.9788399   3.42805e+04       80283.1250     0099
   4.9785921   2.99032e+04       80283.1250     0099
   4.9783442   2.62758e+04       80283.1250     0099
   4.9780964   2.43290e+04       80283.1250     0099
   4.9778486   2.29868e+04       80283.1250     0099
   4.9776008   2.19555e+04       80283.1250     0099
   4.9773530   2.11207e+04       80283.1250     0099
   4.9771053   2.04231e+04       80283.1250     0099
   4.9768576   1.98400e+04       80283.1250     0099
   4.9766099   1.93296e+04       80283.1250     0099
   4.9763623   1.88843e+04       80283.1250     0099
   4.9761146   1.85052e+04       80283.1250     0099
   4.9758670   1.81837e+04       80283.1250     0099
   4.9756195   1.79156e+04       80283.1250     0099
   4.9753719   1.76975e+04       80283.1250     0099
   4.9751244   1.75218e+04       80283.1250     0099
   4.9748769   1.73859e+04       80283.1250     0099
   4.9746294   1.72923e+04       80283.1250     0099
   4.9743819   1.72372e+04       80283.1250     0099
   4.9741345   1.72207e+04       80283.1250     0099
   4.9738871   1.72483e+04       80283.1250     0099
   4.9736397   1.73037e+04       80283.1250     0099
   4.9733924   1.73817e+04       80283.1250     0099
   4.9731450   1.75056e+04       80283.1250     0099
   4.9728977   1.76818e+04       80283.1250     0099
   4.9726504   1.79101e+04       80283.1250     0099
   4.9724032   1.81978e+04       80283.1250     0099
   4.9721559   1.85801e+04       80283.1250     0099
   4.9719087   1.91355e+04       80283.1250     0099
   4.9716615   2.04881e+04       80283.1250     0099
   4.9714144   1.97951e+04       80283.1250     0099
   4.9711672   1.94797e+04       80283.1250     0099
