# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.39648e+01       80799.3660     0085
   4.9997500   1.11392e+01       81006.3030     0079
   4.9995000   1.07803e+01       81006.3030     0079
   4.9992501   1.10909e+01       81406.7410     0068
   4.9990002   1.30484e+01       80868.0660     0083
   4.9987503   1.07788e+01       80833.7220     0084
   4.9985004   1.24406e+01       80833.7220     0084
   4.9982506   1.18384e+01       80868.0660     0083
   4.9980008   1.26585e+01       80936.9000     0081
   4.9977510   1.00695e+01       81673.9640     0061
   4.9975012   1.07129e+01       81148.1160     0075
   4.9972515   1.13307e+01       80936.9000     0081
   4.9970018   1.15726e+01       80902.4380     0082
   4.9967521   1.45323e+01       80868.0660     0083
   4.9965024   1.55462e+01       80868.0660     0083
   4.9962528   1.09932e+01       80971.5050     0080
   4.9960032   1.41093e+01       81184.2950     0074
   4.9957536   1.08565e+01       80936.9000     0081
   4.9955040   1.04574e+01       80936.9000     0081
   4.9952545   1.20234e+01       81006.3030     0079
   4.9950050   1.20064e+01       81041.3390     0078
   4.9947555   1.08771e+01       81406.7410     0068
   4.9945060   1.43778e+01       81076.6420     0077
   4.9942566   1.15108e+01       80971.5050     0080
   4.9940072   1.00837e+01       81148.1160     0075
   4.9937578   1.06646e+01       80902.4380     0082
   4.9935084   1.56273e+01       80868.0660     0083
   4.9932591   1.53025e+01       80868.0660     0083
   4.9930098   1.61925e+01       80868.0660     0083
   4.9927605   1.19937e+01       80902.4380     0082
   4.9925112   1.12853e+01       81220.7560     0073
   4.9922620   1.24334e+01       80936.9000     0081
   4.9920128   1.78443e+01       80936.9000     0081
   4.9917636   1.05591e+01       81006.3030     0079
   4.9915144   1.19510e+01       81112.2310     0076
   4.9912653   1.07739e+01       81257.4930     0072
   4.9910162   1.52003e+01       81257.4930     0072
   4.9907671   1.07140e+01       81406.7410     0068
   4.9905180   1.06116e+01       81148.1160     0075
   4.9902690   1.76543e+01       81041.3390     0078
   4.9900200   1.00953e+01       81148.1160     0075
   4.9897710   1.40463e+01       80971.5050     0080
   4.9895220   1.18823e+01       81041.3390     0078
   4.9892731   1.25755e+01       81041.3390     0078
   4.9890241   1.02329e+01       80936.9000     0081
   4.9887753   1.34241e+01       80971.5050     0080
   4.9885264   1.53062e+01       80868.0660     0083
   4.9882775   1.80959e+01       80833.7220     0084
   4.9880287   1.01424e+01       80868.0660     0083
   4.9877799   1.01573e+01       80971.5050     0080
   4.9875312   1.65096e+01       80833.7220     0084
   4.9872824   1.21164e+01       80833.7220     0084
   4.9870337   1.75214e+01       80799.3660     0085
   4.9867850   1.15221e+01       80833.7220     0084
   4.9865364   1.10019e+01       80902.4380     0082
   4.9862877   1.00068e+01       81041.3390     0078
   4.9860391   1.19844e+01       80868.0660     0083
   4.9857905   1.32525e+01       80833.7220     0084
   4.9855419   1.61673e+01       80799.3660     0085
   4.9852934   1.58353e+01       80799.3660     0085
   4.9850449   1.50506e+01       80799.3660     0085
   4.9847964   1.03655e+01       80833.7220     0084
   4.9845479   1.19606e+01       80833.7220     0084
   4.9842995   1.54861e+01       80833.7220     0084
   4.9840510   1.43654e+01       80868.0660     0083
   4.9838026   1.52682e+01       80902.4380     0082
   4.9835543   1.39496e+01       80971.5050     0080
   4.9833059   1.07401e+01       81112.2310     0076
   4.9830576   1.47113e+01       81369.1430     0069
   4.9828093   1.28583e+01       81041.3390     0078
   4.9825610   1.01539e+01       80971.5050     0080
   4.9823128   1.33850e+01       80902.4380     0082
   4.9820646   1.38457e+01       80902.4380     0082
   4.9818164   1.75907e+01       80868.0660     0083
   4.9815682   1.00140e+01       80936.9000     0081
   4.9813200   1.75893e+01       80902.4380     0082
   4.9810719   1.25999e+01       80971.5050     0080
   4.9808238   1.03672e+01       81751.2280     0059
   4.9805758   1.14349e+01       81041.3390     0078
   4.9803277   1.08510e+01       81184.2950     0074
   4.9800797   1.57059e+01       80971.5050     0080
   4.9798317   1.01872e+01       81006.3030     0079
   4.9795837   1.48147e+01       81006.3030     0079
   4.9793358   1.24349e+01       81076.6420     0077
   4.9790878   1.43764e+01       81184.2950     0074
   4.9788399   1.29428e+01       81444.5140     0067
   4.9785921   1.23538e+01       81369.1430     0069
   4.9783442   1.09470e+01       81112.2310     0076
   4.9780964   1.04550e+01       81041.3390     0078
   4.9778486   1.02216e+01       81006.3030     0079
   4.9776008   1.75504e+01       80936.9000     0081
   4.9773530   1.17818e+01       80936.9000     0081
   4.9771053   1.55722e+01       80902.4380     0082
   4.9768576   1.15831e+01       80936.9000     0081
   4.9766099   1.07561e+01       80902.4380     0082
   4.9763623   1.31951e+01       80868.0660     0083
   4.9761146   1.64516e+01       80833.7220     0084
   4.9758670   1.49965e+01       80833.7220     0084
   4.9756195   1.22081e+01       80833.7220     0084
   4.9753719   1.09981e+01       80833.7220     0084
   4.9751244   1.09203e+01       80833.7220     0084
   4.9748769   1.54275e+01       80799.3660     0085
   4.9746294   1.55791e+01       80799.3660     0085
   4.9743819   1.61829e+01       80799.3660     0085
   4.9741345   1.73913e+01       80799.3660     0085
   4.9738871   1.21766e+01       80868.0660     0083
   4.9736397   1.06191e+01       80902.4380     0082
   4.9733924   1.28326e+01       80833.7220     0084
   4.9731450   1.32333e+01       80833.7220     0084
