#wvl [um]        modulation
5                0.023944402       
4.99975001       0.0243832909      
4.99950005       0.024436592       
4.99925011       0.0247250447      
4.9990002        0.024389486       
4.99875031       0.0239242597      
4.99850045       0.0239029517      
4.99825061       0.0239152953      
4.9980008        0.0240272184      
4.99775101       0.0248046721      
4.99750125       0.0243305545      
4.99725151       0.0242796738      
4.9970018        0.024365131       
4.99675211       0.0242075641      
4.99650245       0.0240786584      
4.99625281       0.0241217         
4.9960032        0.0242278954      
4.99575361       0.0239444309      
4.99550405       0.0242475565      
4.99525451       0.024204856       
4.995005         0.0240024696      
4.99475551       0.024483091       
4.99450604       0.0241685693      
4.9942566        0.0239110428      
4.99400719       0.0244699923      
4.9937578        0.0239579447      
4.99350844       0.0240515928      
4.9932591        0.024043277       
4.99300979       0.0239068315      
4.9927605        0.0239580079      
4.99251123       0.0245924861      
4.99226199       0.0240618153      
4.99201278       0.0239415332      
4.99176359       0.0239554884      
4.99151443       0.0244647127      
4.99126529       0.0242999995      
4.99101617       0.0243183422      
4.99076708       0.0244629406      
4.99051802       0.0239699019      
4.99026898       0.0240844527      
4.99001996       0.0242039192      
4.98977097       0.0240020234      
4.989522         0.0242823515      
4.98927306       0.0241457041      
4.98902415       0.024013146       
4.98877526       0.0241690828      
4.98852639       0.023926815       
4.98827755       0.0239062136      
4.98802873       0.0239631614      
4.98777994       0.0244937219      
4.98753117       0.0240440927      
4.98728243       0.0239434823      
4.98703371       0.0239437092      
4.98678502       0.0239549187      
4.98653635       0.0240147592      
4.98628771       0.0241069317      
4.98603909       0.0242573134      
4.9857905        0.0240143084      
4.98554193       0.0241458764      
4.98529338       0.024028749       
4.98504487       0.0239331186      
4.98479637       0.0240528693      
4.9845479        0.0239280324      
4.98429946       0.0239194743      
4.98405104       0.0239294868      
4.98380264       0.0241902764      
4.98355427       0.0242772258      
4.98330593       0.0241662815      
4.9830576        0.0244500787      
4.98280931       0.0239224111      
4.98256104       0.0240447048      
4.98231279       0.0239407963      
4.98206457       0.024425943       
4.98181637       0.023978143       
4.9815682        0.0240590735      
4.98132005       0.0241202069      
4.98107193       0.0240445971      
4.98082383       0.0248585518      
4.98057575       0.0241026013      
4.98032771       0.0242266939      
4.98007968       0.0240228895      
4.97983168       0.0241890276      
4.97958371       0.02404703        
4.97933576       0.0242046729      
4.97908783       0.0242216215      
4.97883993       0.0245256317      
4.97859205       0.0246601062      
4.9783442        0.0240304199      
4.97809638       0.0239957218      
4.97784857       0.0239545195      
4.9776008        0.0240763993      
4.97735304       0.02404347        
4.97710532       0.0239931335      
4.97685761       0.0240358333      
4.97660993       0.0239855621      
4.97636228       0.0240473486      
4.97611465       0.0239754836      
4.97586704       0.0241821179      
4.97561946       0.0241727256      
4.97537191       0.0239172102      
4.97512438       0.0240019071      
4.97487687       0.0239807399      
4.97462939       0.0239848825      
4.97438193       0.0239638125      
4.9741345        0.0239528675      
4.97388709       0.0240264769      
4.97363971       0.0240307367      
4.97339235       0.0241041612      
4.97314502       0.0240439148      
4.97289771       0.0239923273      
4.97265042       0.0242591458      
4.97240316       0.0242334409      
4.97215593       0.0239589483      
4.97190872       0.0240280366      
4.97166153       0.0244018934      
4.97141437       0.0241842413      
4.97116723       0.0239519921      
4.97092012       0.024067937       
4.97067303       0.0239553427      
4.97042597       0.0241496019      
4.97017893       0.0240358534      
4.96993191       0.0246738795      
4.96968492       0.0246471938      
4.96943796       0.0242423322      
4.96919102       0.0241321225      
4.9689441        0.0242943539      
4.96869721       0.0239600224      
4.96845034       0.0240785566      
4.9682035        0.024176616       
4.96795668       0.0243964325      
4.96770989       0.0242156607      
4.96746312       0.0240274153      
4.96721637       0.0243183979      
4.96696965       0.0243934291      
4.96672296       0.0244110112      
4.96647629       0.0243221618      
4.96622964       0.0242514611      
4.96598302       0.0242699475      
4.96573642       0.0240288665      
4.96548985       0.0247532324      
4.9652433        0.0242442214      
4.96499677       0.0239315873      
4.96475027       0.0241026906      
