# Wavelength   Max Optical   Radius at the    Radius
   (microns)         depth   max depth (km)    index
   5.0000000   1.50620e+06       79853.1530     0099
   4.9997500   1.53602e+06       79853.1530     0099
   4.9995000   1.56256e+06       79853.1530     0099
   4.9992501   1.59089e+06       79853.1530     0099
   4.9990002   1.61622e+06       79853.1530     0099
   4.9987503   1.64452e+06       79853.1530     0099
   4.9985004   1.67560e+06       79853.1530     0099
   4.9982506   1.70971e+06       79853.1530     0099
   4.9980008   1.74747e+06       79853.1530     0099
   4.9977510   1.79299e+06       79853.1530     0099
   4.9975012   1.82937e+06       79853.1530     0099
   4.9972515   1.87120e+06       79853.1530     0099
   4.9970018   1.91749e+06       79853.1530     0099
   4.9967521   1.96878e+06       79853.1530     0099
   4.9965024   2.02412e+06       79853.1530     0099
   4.9962528   2.08483e+06       79853.1530     0099
   4.9960032   2.15080e+06       79853.1530     0099
   4.9957536   2.21366e+06       79853.1530     0099
   4.9955040   2.28593e+06       79853.1530     0099
   4.9952545   2.36732e+06       79853.1530     0099
   4.9950050   2.45985e+06       79853.1530     0099
   4.9947555   2.58656e+06       79853.1530     0099
   4.9945060   2.55990e+06       79853.1530     0099
   4.9942566   2.54357e+06       79853.1530     0099
   4.9940072   2.54243e+06       79853.1530     0099
   4.9937578   2.55042e+06       79853.1530     0099
   4.9935084   2.56747e+06       79853.1530     0099
   4.9932591   2.59373e+06       79853.1530     0099
   4.9930098   2.62870e+06       79853.1530     0099
   4.9927605   2.67317e+06       79853.1530     0099
   4.9925112   2.72805e+06       79853.1530     0099
   4.9922620   2.79328e+06       79853.1530     0099
   4.9920128   2.87192e+06       79853.1530     0099
   4.9917636   2.96727e+06       79853.1530     0099
   4.9915144   3.08630e+06       79853.1530     0099
   4.9912653   3.24450e+06       79853.1530     0099
   4.9910162   3.45607e+06       79853.1530     0099
   4.9907671   3.59296e+06       79853.1530     0099
   4.9905180   3.32492e+06       79853.1530     0099
   4.9902690   3.17756e+06       79853.1530     0099
   4.9900200   3.06649e+06       79853.1530     0099
   4.9897710   2.95456e+06       79853.1530     0099
   4.9895220   2.86085e+06       79853.1530     0099
   4.9892731   2.78031e+06       79853.1530     0099
   4.9890241   2.70458e+06       79853.1530     0099
   4.9887753   2.63734e+06       79853.1530     0099
   4.9885264   2.57556e+06       79853.1530     0099
   4.9882775   2.52198e+06       79853.1530     0099
   4.9880287   2.47614e+06       79853.1530     0099
   4.9877799   2.43714e+06       79853.1530     0099
   4.9875312   2.40456e+06       79853.1530     0099
   4.9872824   2.37805e+06       79853.1530     0099
   4.9870337   2.35799e+06       79853.1530     0099
   4.9867850   2.34428e+06       79853.1530     0099
   4.9865364   2.33709e+06       79853.1530     0099
   4.9862877   2.33512e+06       79853.1530     0099
   4.9860391   2.33681e+06       79853.1530     0099
   4.9857905   2.34476e+06       79853.1530     0099
   4.9855419   2.35894e+06       79853.1530     0099
   4.9852934   2.37870e+06       79853.1530     0099
   4.9850449   2.40465e+06       79853.1530     0099
   4.9847964   2.43685e+06       79853.1530     0099
   4.9845479   2.47596e+06       79853.1530     0099
   4.9842995   2.52220e+06       79853.1530     0099
   4.9840510   2.57608e+06       79853.1530     0099
   4.9838026   2.63896e+06       79853.1530     0099
   4.9835543   2.71312e+06       79853.1530     0099
   4.9833059   2.80293e+06       79853.1530     0099
   4.9830576   2.90111e+06       79853.1530     0099
   4.9828093   2.83713e+06       79853.1530     0099
   4.9825610   2.81044e+06       79853.1530     0099
   4.9823128   2.79855e+06       79853.1530     0099
   4.9820646   2.79844e+06       79853.1530     0099
   4.9818164   2.80716e+06       79853.1530     0099
   4.9815682   2.82567e+06       79853.1530     0099
   4.9813200   2.85286e+06       79853.1530     0099
   4.9810719   2.88971e+06       79853.1530     0099
   4.9808238   2.94286e+06       79853.1530     0099
   4.9805758   2.99244e+06       79853.1530     0099
   4.9803277   3.06012e+06       79853.1530     0099
   4.9800797   3.12689e+06       79853.1530     0099
   4.9798317   3.21417e+06       79853.1530     0099
   4.9795837   3.32303e+06       79853.1530     0099
